n1,n2,n3,n4,eng
mch8our,mch8or,,,popular
mi8ani,,,,professional
mobachir,mobaachir,,,direct
mofid,,,,useful
f33al,f33aal,,,effective
wajd,,,,ready
mDllem,mDellem,mDallem,,dark
mosta9ill,,,,independent
t9lidi,,,,traditional
ghrbi,gherbi,gharbi,,western
mo3tabar,,,,considerable
bard,baard,,,cold
ms2oul,ms2ol,,,responsible
kaml,kaaml,,,complete
Tibbi,,,,medical
skhoun,skhon,,,hot
mo8imm,mohimm,,,essential
dakari,,,,male
awwali,,,,primary
madani,,,,civil
most9bali,,,,future
by2i,bi2i,,,environmental
waD7,,,,obvious
lkbir,,,,senior
nawawi,,,,nuclear
sanawi,,,,annual
jihawi,ji8awi,,,regional
tijari,tijaari,,,commercial
llekher,,,,latter
taTbi9i,,,,practical
3amali,,,,practical
3ami9,,,,deep
rsmi,rasmi,resmi,,official
ra2isi,,,,chief
montaDim,,,,regular
m2louf,m2lof,,,usual
zayd,,,,additional
nachT,,,,active
standar,,,,standard
9wi,,,,powerful
wasaT,wsT,,,middle
gddami,,,,front
mosta7il,,,,impossible
mnzili,,,,domestic
fi3li,,,,actual
ti9ni,,,,technical
3adi,3aadi,,,ordinary
dakhili,daakhili,,,internal
momtaz,momtaaz,,,excellent
Tri,,,,fresh
b3id,,,,far
mo7tamal,,,,potential
chamali,,,,northern
dini,dyni,diini,,religious
ta9afi,ta9aafi,,,cultural
mochtarak,,,,joint
bo7do,,,,alone
aamin,2aamin,,,safe
mo7afiD,mo7aafiD,,,conservative
chkli,,,,formal
monasib,,,,proper
bzzaf,,,,very
9arawi,,,,rural
mbda2i,,,,initial
maghaddch,,,,unable
mo3ddal,,,,average
dafi,daafi,,,warm
ghrib,gharib,,,strange
mola2im,molaa2im,,,suitable
m7bob,m7boub,,,lovely
fawri,,,,immediate
ijmali,ijmaali,,,overall
msawi,,,,equal
kafi,,,,sufficient
dimo9raTi,dimou9raaTi,,,democratic
chr9i,cher9i,char9i,,eastern
8adi2,8aadi2,,,quiet
t3limi,t3liimi,,,educational
S7i7,,,,correct
3ilmi,,,,scientific
ontawi,,,,female
39li,,,,mental
khaTir,,,,dangerous
7arij,,,,critical
mDobl,mDoubl,,,double
sri3,,,,quick
mamo7tamalch,,,,unlikely
m2lof,m2louf,,,familiar
tarikhi,taarikhi,,,historical
janoubi,janobi,,,southern
mitaali,mitali,,,perfect
mSro3,mSrou3,,,perfect
yawmi,,,,daily
mota7rrir,,,,liberal
liberali,,,,liberal
7aDari,,,,urban
fogani,fo9ani,,,upper
bayn,bayen,,,apparent
khaD3,khaaD3,,,subject
sghiwwer,sghiwwr,,,tiny
mDwwi,mDoowi,,,bright
akhla9i,akhlaa9i,,,moral
badil,badiil,,,alternative
jddab,,,,attractive
radd lbal,,,,careful
7ayawi,,,,vital
8amaji,,,,wild
khawi,,,,empty
damawi,,,,bloody
khariji,,,,external
charf,,,,elderly
nisbi,,,,relative
9dim,,,,ancient
mkhtaSr,mkhtaSer,,,brief
gadd,9add,,,capable
namoudaji,,,,typical
mtisse3,mtiss3,,,broad
mDyye9,,,,narrow
kollo,,,,entire
ra2i3,raa2i3,,,wonderful
tabt,,,,constant
mitali,mitaali,,,ideal
akadimi,,,,academic
9aaser,9aaSir,,,minor
mamo8immch,,,,minor
was3,,,,vast
naadir,nadir,,,rare
7aadd,,,,severe
asaasi,asasi,,,fundamental
daym,,,,permanent
ra8ib,ra8iib,,,terrible
mriD,,,,ill
ghliD,,,,thick
maSiri,maSiiri,,,crucial
daakhili,dakhili,,,inner
taab3,,,,subsequent
mo3aSir,mo3aaSir,,,contemporary
kbir,,,,grand
sab9,,,,prior
taanawi,tanawi,,,secondary
fchkel,fchkl,fchkal,,odd
8a2il,8aa2il,haa2il,,massive
bo7do,,,,unique
7aadd,,,,sharp
mriD,,,,sick
choyou3i,,,,communist
Saafi,,,,net
mTwwel,,,,long-term
modnib,,,,guilty
chaamil,chamil,,,extensive
Dakhm,,,,enormous
7yy,7eyy,7ayy,,alive
zira3i,ziraa3i,,,agricultural
ra2isi,,,,principal
f33al,f33aal,,,efficient
mz8ar,mz8aar,,,lucky
3orfi,,,,conventional
taTwwo3i,taTawwo3i,,,voluntary
dramatiki,,,,dramatic
mo299at,mow99at,,,temporary
da8abi,,,,golden
7ibbi,,,,friendly
m3tamd,,,,dependent
tanafosi,tanaafosi,,,competitive
jdri,jedri,jadri,,radical
7ssas,7essas,,,sensitive
kharj,khaarij,khaarj,5arj,outside
msTT7,mseTTa7,msaTTe7,msaTTa7,flat
3aaTifi,3aTifi,,,emotional
khaT2,khaaTe2,,,false
monasib,monaasib,,,adequate
Si77i,,,,healthy
chaamil,chamil,,,global
sri3,,,,rapid
idaari,idari,,,administrative
skkouti,skkoti,,,silent
l7dd,l7edd,,,maximum
D3if,,,,weak
ml7ouD,,,,remarkable
sirri,,,,secret
3ziz,,,,dear
jama3i,,,,mass
fazg,faazg,,,wet
9as7,9ase7,,,solid
mota2lli9,mt2elle9,mt2alla9,,brilliant
electroni,iliktroni,elektroni,,electronic
moTla9,,,,absolute
kaytchaf,,,,visual
tlkhcheb,tlkhchab,,,wooden
Saarim,Sarim,,,firm
tDDo,,,,electric
kimya2i,,,,chemical
saami,sami,,,supreme
adabi,,,,literary
khaaliS,,,,pure
9as7,9aas7,,,rough
mojrrad,,,,mere
aSiil,,,,genuine
a9Saa,a9Sa,,,extreme
ba8t,,,,pale
mntachr,mentacher,mntacher,,widespread
katoliki,catoliki,,,catholic
klasiki,classiki,,,classical
mofDDal,,,,favorite
chtiraki,,,,socialist
3rram,,,,numerous
7lo,7low,7lou,,sweet
mkhtalf,mkhtalef,,,distinct
tay9,,,,confident
Dedd,,,,opposite
mofid,,,,helpful
S3ib,,,,tough
mtnas9,mtnase9,,,consistent
sri3,,,,fast
msta9err,msta9arr,,,stable
goud,,,,straight
kaykhle3,,,,awful
stratiji,,,,strategic
momtaz,,,,outstanding
kliniki,,,,clinical
a9all haja,a9all 7aja,,,minimum
wa3i,waa3i,,,conscious
msyTer,msiTer,,,dominant
bard,,,,cool
dostouri,dostori,,,constitutional
ghDban,gheDban,ghaDban,,mad
naDari,,,,theoretical
m8moum,mhmoum,m8mom,,anxious
mo9ddas,,,,holy
sakani,,,,residential
monasib,monaasib,,,fit
7eyy,7ayy,,,live
las9,,,,accurate
mousi9i,mosi9i,,,musical
fo9 l3ada,faw9 l3ada,fo9 l3aada,,extraordinary
khari9 lil3ada,khar9 ll3ada,,,extraordinary
nazih,nazi8,,,honest
d9i9,,,,precise
bayn,,,,visible
9lil,,,,slight
dyal lflous,,,,monetary
3an bo3d,,,,remote
Sari7,Sarii7,,,plain
b3id,,,,distant
chomour,chomor,,,unemployed
mchomer,mchomr,,,unemployed
wagf,,,,still
Drief,Driyef,,,gentle
nefsi,nfsi,,,psychological
SSghir,,,,junior
mles,,,,smooth
3anif,3aniif,,,violent
haykali,8aykali,,,structural
mdwwer,mdowwer,mdowwar,,round
7ssas,,,,sensible
mol99ab,,,,so-called
mttaSel,,,,continuous
9rib,,,,near
momtann,,,,grateful
zwin,,,,pretty
waD7,,,,evident
mawsimi,,,,occasional
momti3,,,,pleasant
kawni,,,,universal
zamil,,,,fellow
klasiki,,,,classic
mossekh,mmossekh,,,dirty
kaykaafe2,,,,equivalent
mrkhi,,,,loose
mobdi3,,,,creative
ni8aa2i,,,,ultimate
loghawi,,,,linguistic
taabt,tabt,,,steady
fikri,,,,intellectual
fa9d l2amal,,,,desperate
9aDaa2i,,,,judicial
tawri,,,,revolutionary
imbraTouri,,,,imperial
ghayr 9anoni,ghayr 9aanouni,ghayr 9aanoni,,illegal
khaam,,,,raw
khaariji,khariji,,,outer
ghayr rsmi,,,,informal
morr,marr,,,bitter
tjribi,,,,experimental
jama3i,,,,collective
kayt3awd,,,,frequent
rou7i,,,,spiritual
mcharji,,,,intense
taarikhi,tarikhi,,,historic
m39oul,m39ol,,,rational
mamnasbch,mamnasebch,,,inadequate
7add,,,,acute
mnTi9i,,,,logical
m9bol,,,,valid
osbou3i,,,,weekly
3chwa2i,,,,random
mtwaD3,,,,modest
mzyyer,mzayyar,mzeyyer,,tight
automatic,,,,automatic
na3s,na3es,,,asleep
dki,dky,,,clever
ms2oul,mes2oul,,,liable
motabaadal,motabadal,,,mutual
moDa3af,,,,multiple
ti9a,,,,reliable
bo7do,,,,sole
nnawa7i,,,,nearby
8aamichi,8amichi,,,marginal
mTab9,,,,identical
bDDbT,bDDebT,bDDabT,,exact
ntikhabi,,,,electoral
momyyiz,,,,distinctive
chafawi,,,,oral
3ryan,,,,bare
ri2aasi,ri2asi,,,presidential
3oDwi,,,,organic
bl7sab,,,,statistical
3ajil,3aajil,,,urgent
mrghoub,,,,desirable
7Sri,7eSri,,,exclusive
yawmi,,,,everyday
ra2i3,,,,superb
Saarim,,,,strict
mamtwe99e3ch,mamto99e3ch,,,unexpected
barii2,bari2,,,innocent
b7ri,be7ri,,,marine
romansi,,,,romantic
mSTane3,,,,artificial
mo2ssasati,,,,institutional
ra2i3,,,,magnificent
bioloji,biologi,,,biological
diplomasi,,,,diplomatic
monaasib,monasib,,,convenient
8a2il,8aa2il,,,tremendous
ra2smali,ra2smaali,,,capitalist
khddam,,,,functional
mikaniki,,,,mechanical
mobaachir,,,,straightforward
mami99ench,mamty99ench,,,uncertain
r9mi,,,,digital
mod8il,,,,spectacular
3odwani,,,,aggressive
3ryan,,,,naked
machi 3aadil,,,,unfair
mtfowwe9,,,,superior
kolla ch8er,,,,monthly
tchri3i,,,,legislative
iDafi,,,,spare
Sarii7,Sari7,,,explicit
mo2lim,,,,painful
mtab3,,,,successive
dki,,,,intelligent
m9lle9,m9alla9,m9ll9,,unhappy
jiini,,,,genetic
maDarorich,,,,unnecessary
mo2ttir,,,,influential
ghir,,,,just
hir,8ir,,,just
just,,,,just
ji3an,,,,hungry
mokttaf,,,,intensive
stiwa2i,,,,tropical
mowazi,mwazi,,,parallel
mabaynch,,,,subtle
2aamin,aamin,,,secure
lt7tani,,,,bottom
ra2i3,,,,marvelous
ftitaa7i,iftitat7i,,,preliminary
joz2i,,,,partial
a9all,,,,lesser
mosa3id,,,,assistant
3amoudi,3amodi,,,vertical
tdriiji,tdriji,,,progressive
9aarri,,,,continental
kay3yyef,kay3yyf,,,nasty
raa9i,,,,elegant
mlmous,melmous,mlmos,,concrete
mo299at,,,,interim
ilzami,ilzaami,,,compulsory
mozmin,,,,chronic
kaytkhlleS,,,,payable
mn8aji,mnhaji,man8aji,,systematic
mawDou3i,moDo3i,mowDo3i,,objective
momyyiz,,,,characteristic
fazg,,,,damp
7ssas,,,,delicate
momill,,,,dull
si7ri,,,,magic
mnirvi,,,,upset
awwal,,,,premier
kayD77ek,,,,fun
ra2i3,,,,splendid
khddam,,,,operational
stichaari,stichari,,,advisory
bida2i,bidaa2i,,,primitive
idioloji,idyoloji,,,ideological
tiknoloji,,,,technological
ani9,,,,neat
mo3akis,,,,contrary
mlas9,,,,adjacent
3odwani,,,,hostile
mitli,,,,gay
2aamn,,,,peaceful
kaykhle3,,,,horrible
joghrafi,,,,geographical
dinamiki,,,,dynamic
mota7rrik,,,,dynamic
momtaz,,,,super
ghayr mobachir,,,,indirect
tamiin,tamin,,,precious
ghali,ghaali,,,precious
ml7ouD,,,,notable
mo7ddad,,,,definite
mo2sif,,,,unfortunate
fnni,fenni,fanni,,artistic
mighnaTisi,mighnaaTisi,,,magnetic
makayt9adach,,,,endless
charis,,,,fierce
khfif,,,,mild
mj88d,mje88ed,,,loud
Tamou7,,,,ambitious
bl8Dra,,,,verbal
naDj,naaDj,,,mature
chr3i,char3i,cher3i,,legitimate
m3rouf,m3rof,,,well-known
mo7rij,,,,awkward
raDi,,,,content
tjribi,,,,empirical
S3ib,,,,harsh
9as7,,,,harsh
mt3aaTf,mt3aTef,,,sympathetic
sti3mari,,,,colonial
khbit,,,,evil
chirrir,,,,evil
b7ri,be7ri,,,naval
mlaa2em,mla2m,,,favorable
wsT,wesT,wasT,,mid
ghayb,,,,absent
was3,waas3,,,vague
3ir9i,,,,racial
tmtiili,tmtili,temtiili,,representative
ba8t,,,,faint
7ayawi,,,,lively
saa7ili,sa7ili,,,coastal
mt7mmes,met7emmes,met7ammes,met7ammas,enthusiastic
feminist,,,,feminist
Solb,,,,rigid
3ami9,,,,profound
8aa2il,,,,immense
nisbi,,,,comparative
gharib,,,,peculiar
mofid,,,,beneficial
motan99il,,,,mobile
montij,,,,productive
sT7i,,,,shallow
7ariiS,7ariS,,,eager
remzi,ramzi,,,symbolic
m3tadl,,,,moderate
9aatil,,,,fatal
mjmou3,,,,compact
morbi7,,,,profitable
monafis,,,,rival
jozay2i,,,,molecular
idaari,,,,managerial
ddakhili,,,,interior
khTTi,,,,linear
makafich,,,,insufficient
mo288al,,,,eligible
m3nfj,,,,uncomfortable
mamori7ch,,,,uncomfortable
mokhliS,,,,loyal
morta9ab,,,,prospective
tlwalidin,,,,parental
maali,,,,fiscal
tlflous,,,,fiscal
khawi,,,,blank
9aasi,,,,cruel
w7chi,we7chi,,,cruel
mtnww3,mtnowwe3,,,diverse
nabil,,,,noble
motaghyyir,,,,variable
mt2aSSel,mt2SSal,,,inherent
kham,,,,crude
mchbou8,mchbo8,,,suspicious
nti9a2i,nti9aa2i,,,selective
mfSSl,,,,elaborate
mtwsseT,mtwesseT,,,intermediate
ghaamiD,ghamiD,,,mysterious
flsafi,falsafi,felsafi,,philosophical
mt3mmed,,,,deliberate
7anoun,,,,tender
m7DouD,m7DoD,,,fortunate
m7mi,,,,protective
mo9ddas,,,,sacred
sa2il,saa2il,,,liquid
chmsi,chmsy,chemsi,,solar
mamofri7ch,,,,unpleasant
ryaDyati,ryaDyaati,,,mathematical
difaa3i,difa3i,,,defensive
mi3maari,mi3mari,,,architectural
ghayr monaasib,ghayr monasib,,,inappropriate
yadawi,,,,manual
da2iri,daa2iri,,,circular
moSirr,,,,persistent
motaabir,,,,persistent
ilaahi,ilaa8i,ilahi,,divine
makaani,,,,spatial
mam9bolch,mam9boulch,,,unacceptable
msmoum,,,,toxic
mo288al,,,,competent
mtkaml,mtkaaml,,,integral
mam9yousch,mam9yosch,,,intact
mkhtar,,,,select
m3awd,,,,redundant
zayd,,,,redundant
za3m,za3em,,,bold
8aawi,8awi,,,amateur
gddami,gddaami,,,forward
9ddami,9ddaami,,,forward
mabaynch,mabayench,mabayanch,,invisible
idraaki,idraki,,,cognitive
m2sawi,m2saawi,,,tragic
mofji3,mofji3,,,tragic
tnDimi,tanDiimi,tenDiimi,tnDiimi,regulatory
7aasim,7asim,,,decisive
i9limi,,,,territorial
mnTa9i,,,,territorial
fay9,faye9,faya9,,awake
daakhili,,,,inland
mo7tamal,,,,probable
3ksi,3eksi,,,adverse
mo7taram,,,,respectable
sakn,saakn,,,resident
mo9iim,mo9im,,,resident
madani,,,,civilian
,,,,gothic
ortodoxi,,,,orthodox
mt3SSeb,,,,orthodox
tabt,taabt,,,static
wagf,,,,static
mtwaf9,mtwaaf9,,,compatible
sababi,,,,causal
Dimni,,,,implicit
mamfrouchch,,,,implicit
9diim,,,,old-fashioned
jamaali,jamali,,,aesthetic
mbogs,,,,aesthetic
mjmo3,mjmou3,,,aggregate
r9i9,,,,slim
Twil,,,,lengthy
mozdawij,,,,dual
machi mawDoo3i,machi mawDo3i,,,subjective
ra2i3,,,,fantastic
mafrasoch,,,,unaware
mawa3ich,,,,unconscious
akhla9i,akhlaa9i,,,ethical
mstili,mstyli,,,fashionable
mjhoul,mj8oul,mj8ol,,anonymous
fchkel,,,,exotic
gharib,,,,exotic
moraa8i9,mora8i9,morahi9,,teenage
ghali,,,,costly
kaariti,kariti,,,disastrous
msta9ll,msta9ell,,,autonomous
automatic,otomatik,,,autonomous
radd lbal,,,,cautious
dyal ddarra,,,,atomic
sirri,,,,confidential
7m9,7me9,,,foolish
mlwwen,mlwwn,,,colorful
bnin,,,,delicious
3ami9,,,,thorough
moghram,,,,fond
jdid,,,,novel
mntaDm,mntaDem,,,uniform
mtnas9,mtnase9,,,coherent
majiid,majid,,,glorious
nfsi,nefsi,,,psychiatric
mo3jami,,,,lexical
tTawwori,,,,evolutionary
kayrbbi,,,,disciplinary
t2dibi,,,,disciplinary
3tibaaTyan,,,,arbitrary
kayfrre7,kayfrr7,kayfarra7,,delightful
mtchrred,,,,homeless
chmkar,,,,homeless
gharib,ghariib,,,weird
fa2iD,,,,excess
zyada,,,,excess
7amimi,7amiimi,,,intimate
8a2il,,,,formidable
tdriji,tdriiji,tedriiji,,gradual
flkharj,,,,outdoor
mi8ani,,,,vocational
tlkhdma,,,,vocational
3aalami,3alami,,,worldwide
7chman,,,,ashamed
tnDimi,,,,organizational
khbit,,,,wicked
takhayyoli,,,,imaginative
3ajib,3ajiib,,,bizarre
ni8a2i,ni8aa2i,,,eventual
mrtajl,,,,spontaneous
makaytSnne3ch,,,,spontaneous
wizari,wizaari,,,ministerial
mobtakar,,,,innovative
mafaa8iimi,,,,conceptual
madani,,,,civic
7eyy,,,,vivid
tnna7w,,,,grammatical
mokhliS,,,,faithful
mtwsseT,mtwesseT,motawssiT,,medium
tkmili,tkmiili,,,supplementary
jyoloji,jyolouji,,,geological
bnnaa2,bnna2,,,constructive
kaybni,,,,constructive
ghayr mnTi9i,ghayr manTi9i,,,unreasonable
Darori,Darouri,,,mandatory
mchmmech,,,,sunny
ta3aawoni,,,,co-operative
solouki,soloki,,,behavioral
mabaghich,,,,unwilling
S7i7,,,,vigorous
khtiyari,khtiari,,,optional
aSli,,,,indigenous
manaje7ch,,,,unsuccessful
mam2ddebch,mam2eddebch,,,rude
mamrbbich,mamrebbich,,,rude
borjwazi,bourjwazi,,,bourgeois
3ilmani,,,,secular
momti3,,,,enjoyable
mo299at,mow99at,,,provisional
mosaa8im,mosa8im,mosaahim,,instrumental
akhir,akhiir,,,terminal
ni8aa2i,ni8a2i,niha2i,,terminal
3amali,,,,handy
mokttaf,,,,dense
fotoghrafi,,,,photographic
tlbaladia,,,,municipal
mt7mmes,mt7mms,mt7emmes,,passionate
m7doud,,,,restrictive
wa7id,,,,lone
daakhili,,,,indoor
mtwetter,mtwtter,mtwttr,,tense
blcontra,,,,contractual
ta3aa9odi,,,,contractual
ftiraDi,ftiraaDi,,,virtual
khaTir,,,,grave
atari,,,,archaeological
bayn,,,,trivial
kay8ezz,,,,portable
tafaa3oli,tafa3oli,,,interactive
w7chi,we7chi,,,vicious
chkli,chekli,,,nominal
makattnsach,,,,memorable
ka2ib,,,,bleak
t7tani,,,,inferior
tlmSaren,,,,intestinal
mokmmil,,,,complementary
mo8oub,mohoub,mow8ob,mow8oub,talented
abadi,,,,eternal
jasadi,,,,bodily
si7ri,,,,magical
mf8oum,mfhoum,mfhom,mf8om,understandable
bayn,,,,noticeable
mawaD7ch,,,,ambiguous
aSli,,,,authentic
momkina,,,,feasible
magaddch,,,,incapable
ma9aderch,ma9adrch,,,incapable
komik,,,,comic
moD7ik,,,,comic
komidi,,,,comic
sti3mari,sti3maai,,,colonial
mn3azl,,,,solitary
3abati,,,,vain
moDirr,,,,harmful
ghamD,,,,obscure
khawi,,,,vacant
chyaTa,,,,surplus
kaytlSS9,kaytlSSe9,,,sticky
khfif,,,,swift
sri3,,,,swift
moSghghara,,,,miniature
bzzaf,,,,ample
machi Tabi3i,,,,abnormal
3orfi,,,,customary
kayDerr,kaydrr,,,sore
mochi33,,,,radioactive
kay9tel,kay9tl,kay9tal,,deadly
m9boul,m9bol,,,plausible
9aabil,,,,prone
jtima3i,jtimaa3i,,,sociological
magaddch,,,,helpless
radd lbal,,,,wary
mam3rofch,,,,unfamiliar
jira7i,jiraa7i,,,surgical
mo3awin,,,,supportive
mo2nnat,,,,feminine
kayfrchekh,kayferchekh,kayfrchkh,,destructive
kiwalo,,,,petty
tonaa2i,tona2i,,,bilateral
baghi,,,,would-be
naatj,,,,consequent
9wi,,,,potent
wa3r,,,,potent
S7i7,,,,potent
fasd,faasd,,,rotten
m3foun,m3fon,,,rotten
waa9i3i,wa9i3i,,,factual
3amali,,,,pragmatic
pragmati,,,,pragmatic
ghayr morDi,,,,unsatisfactory
w9t joz2i,,,,part-time
mi8ani,,,,occupational
marin,,,,flexible
mch8or,,,,prominent
m3aarD,m3arD,,,reluctant
mojrrad,,,,abstract
laa2i9,,,,decent
jjay,,,,forthcoming
mn7adr,,,,steep
kaytTbbe9,kaytTebbe9,,,applicable
kasoul,kasol,,,passive
9bi7,,,,grim
ch8eb,ch8b,,,blond
droka,drok,,,imminent
D3if,,,,vulnerable
mobrziT,,,,rowdy
frra3,,,,talkative
mozwwir,,,,falsifier
mo8jjij,,,,rowdy
mo3nfij,,,,rowdy
msbiTr,,,,crazy
m7chchech,,,,drugged
mSr8eT,mSer8eT,mSer8aT,,scorner
9walbi,,,,trickster
bkkay,,,,crybaby
mokhlwiD,,,,deceitful
7rayfi,,,,skilled
7rayfi,,,,adroit
mawaD7ch,,,,unclear
8aamichi,hamichi,,,peripheral
motaw99a3,,,,predictable
8ojoumi,8ojomi,,,offensive
mtna9D,,,,absurd
mawsimi,,,,seasonal
jbbar,jbbaar,,,mighty
mrowwen,mrwwen,,,uneasy
baSari,,,,optical
