"masculine","feminine","masc_plural","fem_plural"
"","nkhla","nkhel","nkhlat"
"","logha","","loghat"
"fakhour","fakhoura","fakhourin","fakhourat"
"","namousia","","namousiat"
"Se8d","","S8odat",""
"","3aada","","3aadat"
"ntikhab","","ntikhabat",""
"brlaman","","brlamanat",""
"malik","malika","molouk","malikat"
"wzir","wzira","wozara","wzirat"
"brlamani","brlamania","brlamanyin","brlamaniat"
"","charika","","charikat"
"","mo9awala","","mo9awalat"
"Sa7bi","Sa7bti","S7abi","S7abati"
"3chir","3chira","3chran","3chirat"
"khouya","khti","khouti","khwatati"
"dyali","dyalti","dyawli","dyawli"
"3mm","3mma","3mam","3mmat"
"khal","khala","khwal","khalat"
"jedd","jedda","jdoud","jddat"
"marchi","","marchiat",""
"khlaS","kholSa","","khlSat"
"nhar","","lyyam",""
"7bs","","7bosa",""
"7bbas","7bbasa","7bbasa","7bbasat"
"frdi","","frada",""
"","mk7la","mka7l","mk7lat"
"","9rtasa","9rtas","9rtasat"
"mous","","mmas",""
"","m3il9a","m3al9","m3il9at"
"3ach9","3ach9a","3wach9",""
"","frchiTa","","frachT"
"chrjm","","chrajm",""
"jar","jara","jiran","jarat"
"Sda3","","Sda3at",""
"tanffos","","tanffosat",""
"","3oma","","3omat"
"","7araka","","7arakat"
"","t7m7ima","","t7m7imat"
"7mmam","","7mmamat",""
"bit","","byot",""
"","kozina","","kozinat"
"","Twalit","","Twalitat"
"trikko","","trikkowat",""
"","3amalia","","3amaliat"
"","TibibT","","TibibTat"
"mSdar","","maSadir",""
"mnb3","","manabi3",""
"","3adawa","","3adawat"
"","mamlaka","","mamlakat"
"","jomhoria","","jomhoriat"
"jm8or","","jama8ir",""
"mowaTin","mowaTina","mowaTinin","mowaTinat"
"","tsrkila","","tsrkilat"
"msta9ell","msta9ella","msta9ellin","msta9llat"
"3skri","3skria","3skr",""
"3rbi","3rbia","3robia","3robiat"
"chle7","chel7a","chlou7","chl7at"
"ni9ach","","ni9achat",""
"mzyan","mzyana","mzyanin","mzyanat"
"","moSala7a","","moSala7at"
"","ljna","","lijan"
"","dawla","","dowal"
"","9owwa","","9iwa"
"Tbsil","","Tbasl",""
"","clim","","climat"
"mochkil","","machakil",""
"","3afia","","3wafi"
"","l8ja","","l8jat"
"","ksida","","ksayd"
"","Tyyara","","Tyyarat"
"faDa2i","faDa2ia","faDa2iyin","faDa2iat"
"","moghamara","","moghamarat"
"","naSi7a","","naSa2i7"
"atar","","aataar",""
"3mr","","a3mar",""
"lanTir","","lanTirat",""
"i7sas","","a7asis",""
"","nffakha","","nffakhat"
"taSrrof","","taSrrofat",""
"asasi","asasia","asasyin","asasiat"
"","mout","","moutat"
"3id","","a3yad",""
"","7fla","","7afalat"
"","3DDa","","3DDat"
"","mlaya","","mlayat"
"","manTa","","manTat"
"sTl","","sTola",""
"gardkor","","gardkorat",""
"chaff","chaffa","","chaffat"
"","9r3a","","9ra3i"
"Sndo9","","Snad9",""
"","flouka","","floukat"
"","knyya","","knyyat"
"sabab","","asbab",""
"3om9","","a3ma9",""
"tghyir","","tghyirat",""
"","khTwa","khTawi","khTwat"
"","Tari9a","","Toro9"
"","9iSSa","","9iSaS"
"mnchar","","mncharat",""
"","Sara7a","","Sara7at"
"mital","","amtila",""
"","3alama","","3alamat"
"","mSla7a","maSali7","mSla7at"
"safar","tsafira","asfar","tsafirat"
"","mDarba","","mDarbat"
"","mdabza","","mdabzat"
"","mTayfa","","mTayfat"
"Trf","","Trofa",""
"","armala","","armalat"
"","8jjala","","8jjalat"
"","7kma","7ikam","7kmat"
"","mtla","","mtlat"
"","khdma","khdami","khdmat"
"dkr","ntwa","dkora","ntwat"
"","ri7la","","ra7alat"
"rmz","","rmouz",""
"","7aala","","7aalat"
"","sarout","","swart"
"vilaj","","vilajat",""
"nou3","","anwa3",""
"9anoun","","9awanin",""
"","9ima","","9imat"
"m3na","","m3ani",""
"khaTar","","akhTaar",""
"ttiSal","","ttiSalat",""
"","mokalama","","mokalamat"
"3adow","3adowwa","a3da2","3adowwat"
"dkhan","","dkhakhen",""
"masar","","masarat",""
"","7lma","","7lmat"
"mokhyyam","","mokhyyamat",""
"kamio","","kamyowat",""
"iTaj","","iTajat",""
"bab","","biban",""
"s9f","","s9ofa",""
"STa7","","STo7a",""
"sansour","","sansourat",""
"banko","","bankowat",""
"","khamia","","khwami"
"","tilikomond","","tilikomondat"
"DDo","","DDwaw",""
"","chm3a","","chm3at"
"","zrbia","","zrabi"
"","brika","","brikat"
"","chTTaba","","chTTabat"
"","mkhdda","","mkhddat"
"","mraya","","mrayat"
"","mchTa","","mchTat"
"douch","","douchat",""
"","kabina","kwabn","kabinat"
"lavabo","","lavaboat",""
"Sabon","Sabona","Sabon","Sabonat"
"","tllaja","","tllajat"
"frran","","frarn",""
"","mTr9a","","mTr9at"
"msmar","","msamer",""
"dodan","","dodanat",""
"Srb","","Sroba",""
"z7am","","z7amat",""
"","rwina","","rwinat"
"","rwiDa","","rwiDat"
"fran","","franat",""
"ppirmi","","ppirmiat",""
"chifor","chifora","chwafr","chiforat"
"","zyara","","zyarat"
"","dm3a","","dmou3"
"mora8i9","mora8i9a","mora8i9in","mora8i9at"
"chabb","chabba","chabab","chabbat"
"3rs","","3rasat",""
"Sda9","","Sda9at",""
"khaTib","khaTiba","khoTTab","khaTibat"
"3ris","3rousa","3rsan","3rousat"
"Tla9","","Tla9at",""
"mojtama3","","mojtama3at",""
"","7aDara","","7aDarat"
"","9bila","","9bayl"
"","moraja3a","","mraja3at"
"","8owia","","8owiat"
"tSri7","","tSri7at",""
"i3lan","","i3lanat",""
"9arar","","9ararat",""
"","3aryDa","","3aryDat"
"","mobaadara","","mobaadarat"
"9tira7","","9tira7",""
"","khoTTa","","khoTaT"
"khtiar","","khtyarat",""
"maw9if","","mawa9if",""
"","SaDaa9a","","SaDaa9aat"
"","SaDa9a","","SaDa9at"
"","moSiba","","maSa2ib"
"","karita","","kawarit"
"mo8imm","mo8imma","mi8immin","mo8immat"
"kha2in","kha2ina","khawana","kha2inat"
"","Daroura","","Darourat"
"","maw8iba","","mawa8ib"
"","3o9oba","","3o9obat"
"","ra8ina","ra8a2in","ra8inat"
"","imkania","","imkaniat"
"7timal","","7timalat",""
"","mr7ala","","mara7il"
"","cho8a","","cho8at"
"Da7yya","","Da7aya",""
"motta8am","motta8ama","motta8amin","motta8amat"
"3ti9al","","3ti9alat",""
"3tiraf","","3tirafat",""
"","mo7akama","","mo7akamat"
"dalil","","dala2il","adilla"
"modnib","modniba","mdnibin","modnibat"
"bari2","bari2a","bari2in","bari2at"
"","chfra","","chfrat"
"","sr9a","","sr9at"
"ghtiSab","","ghtiSabat",""
"","9tila","","9tilat"
"","rchwa","","rchawi"
"7tyal","","7tyalat",""
"7okm","","a7kam",""
"i3dam","","i3damat",""
"","snsla","snasl","snslat"
"","7okoma","","7okomat"
"","syasa","","syasat"
"7izb","","a7zab",""
"7rrag","7rraga","7rraga",""
"mo8ajir","mo8ajira","mo8ajirin","mo8ajirat"
"sti3mar","","sti3marat",""
"amir","amira","omara","amirat"
"wfd","","wofoud",""
"","jm3ia","","jm3iat"
"","wizara","","wizarat"
"chi3ar","","chi3arat",""
"ra2y","","aara2",""
"nSS","","nSoSa",""
"","7imaya","","7imayat"
"sti9lal","","sti9lalat",""
"","3adaala","","3adaalat"
"","7orria","","7orriat"
"","karama","","karamat"
"Damir","","Dama2ir",""
"mabda2","","mabadi2",""
"kholo9","","akhla9",""
"mi3yar","","ma3aayir",""
"m3your","","m3yorat",""
"","3onSoria","","3onSoriat"
"","mjzara","","mjzarat"
"","mdba7a","","mdba7at"
"","ibada","","ibadat"
"","3oboudia","","3oboudiat"
"n9ilab","","n9ilabat",""
"Sira3","","Sira3at",""
"","mo9awama","","mo9awamat"
"7tilal","","Tilalat",""
"sla7","","asli7a","sla7at"
"sif","","syofa",""
"","8rawa","","8rawat"
"","9nbola","9nabl","9nbolat"
"tfrgi3","","tfrgi3at",""
"nti7ar","","nti7arat",""
"9br","","9bora",""
"","dbbaba","","dbbabat"
"","khasara","","khasarat"
"stistlam","","stislamat",""
"7ll","","7oloul",""
"we9t","","aw9at",""
"ders","","dorous",""
"","blaSa","","blayS"
"mjmo3","mjmo3a","mjmo3in","mjmo3at"
"","m3loma","","m3lomat"
"","7a9i9a","","7a9a2i9"
"dr8m","","dra8em",""
"","n9Ta","","no9aT"
"mchro3","","machari3",""
"gharad","","gharaDat",""
"lil","lila","lyali","lilat"
"","jiha","jwayh","jihat"
"","misa7a","","misa7at"
"","7aja","7wayj","7ajat"
"","3a2ila","","3a2ilat"
"rass","","ryous",""
"yed","","iddin",""
"tertib","","trtibat",""
"niDam","","anDima",""
"","Simana","","Simanat"
"","dowla","","dowal"
"mjliss","","majalis",""
"sti3mal","","sti3malat",""
"","khidma","","khidmat"
"srbiss","","srabs",""
"","m7kama","","ma7akim"
"","jma3a","","jma3at"
"bolisi","bolisia","bolis","bolisyat"
"wjh","","wjoh",""
"","trbia","","trabi"
"","siyasa","","siyasat"
"ba7t","","ab7at",""
"mkteb","","makatib",""
"mktab","mktaba","makatib",""
"jism","","ajsam",""
"chakhS","","achkhaS",""
"","oum","","mmawat"
"so2al","","as2ila",""
"","mer7ala","","mara7il"
"","smia","","smiat"
"mostawa","","mostawayat",""
"Sghir","Sghira","Sghar","Sghirat"
"ber8ouch","","bra8ch",""
"mnDer","","manaDir",""
"sTr","","sTora",""
"","mdina","","modon"
"ilah","","aaliha",""
"reb","","arbab",""
"ab","","aaba2",""
"mrkez","","maakiz",""
"","idara","","idarat"
"fi3l","f3la","af3al","f3lat"
"","fikra","","afkar"
"","l7Da","","la7aDat"
"t9rir","","ta9arir",""
"39el","","39ola",""
"","kanisa","","kana2is"
"Sba7","","Sba7at",""
"","Sina3a","","Sina3at"
"","ard","","araaDi"
"","3inaya","","3inayat"
"9arn","","9oroun",""
"tabadol","","tabadolat",""
"tarikh","","tawarikh",""
"","zn9a","","zna9i"
"","no9ta","","no9aT"
"","klma","","klmat"
"","makla","","maklat"
"","tjriba","","tajarib"
"","natija","","nata2ij"
"","fer9a","","fra9i"
"brnamaj","","baramij",""
"","solTa","","solaT"
"dawr","","adwar",""
"taman","","atmina",""
"mawDo3","","mawaDi3",""
"9ism","","a9sam",""
"itti7ad","","itti7adat",""
"","banka","","bankat"
"3oDw","","a3Da2",""
"7tiyaj","","7tyajat",""
"tdrib","","tdribat",""
"","wr9a","","wra9"
"kaghiT","","kwaghT",""
"ra9m","","ar9am",""
"ra2is","ra2isa","ro2asa","ra2isat"
"nadi","","nawadi",""
"SoT","","aSwat",""
"","khachaba","","khachabat"
"intaj","","intajat",""
"","masira","","masirat"
"","sekritira","","sekritirat"
"fenn","","fonoun",""
"lwwl","lwwla","lwwlin","lwwlat"
"tani","tania","tanyin","tanyat"
"lkhkhr","lkhkhra","lkhkhrin","lkhkhrat"
"talt","talta","taltin","taltat"
"wsTani","wsTania","wsTaniyin","wsTaniat"
"","moSi9a","","mmas9"
"fila7i","fila7ia","fila7yin","fila7yat"
"tiran","","tiranat",""
"","ja2iza","","jawa2iz"
"faSl","","foSol",""
"","lo3ba","mo3ab","lo3bat"
"","kimmiya","","kimmiyat"
"asas","","asasat",""
"","ma3rifa","","ma3arif"
"","mo9araba","","mo9arabat"
"moselsal","","moselsalat",""
"khabar","","akhbar",""
"mosta9bal","","most9balat",""
"7sab","","7sabat",""
"pc","","piciat",""
"","ra7a","","ra7at"
"","binaya","","binayat"
"ch3er","","ch3orat",""
"9anon","","9awanin",""
"9lb","","9loba",""
"naja7","","naja7at",""
"","risala","","rasa2il"
"ttifa9","","ttifa9at",""
"","3aSima","","3awaSim"
"t7lil","","ta7alil",""
"sakn","sakna","sokkan",""
"mo7iT","","mo7iTat",""
"ada2","","ada2at",""
"modil","","modilat",""
"","naDaria","","naDariat"
"","3ala9a","","3ala9at"
"b7er","","b7ora",""
"tsjil","","tsjilat",""
"mlk","","mlakat",""
"faDa2","","faDa2at",""
"","misa7a","","misa7at"
"moSTala7","","moSTala7at",""
"taSarrof","","taSarrofat",""
"3ilaj","","3ilajat",""
"","mo3amala","","mo3amalat"
"","Ta9a","","Ta9at"
"dakhl","dakhla","dakhlin","dakhlat"
"mokhTTaT","","mokhTTaTat",""
"jawab","","ajwiba",""
"DaghT","","DoghoT","DoghoTat"
"","la2i7a","","lawa2i7"
"modir","modira","modara","modirat"
"","contra","","contrat"
"3a9d","","3o9oud",""
"","mo9aTa3a","","mo9aTa3at"
"fer9","","foro9",""
"2oTil","","2oTilat",""
"chmch","","chmocha",""
"prodwi","","prodwiat",""
"mntouj","","mntoujat",""
"8chich","8chicha","ch8ach","8chichat"
"cha3l","cha3la","cha3lin","cha3lat"
"DaSr","Dasra","Dasrin","Dasrat"
"modmin","modmina","modminin","modminat"
"ghabyy","ghabyya","aghbia","ghabyyat"
"mkllkh","mkllkha","mkllkhin","mkllkhat"
"mjllj","mjllja","mjlljin","mjlljat"
"kbir","kbira","kbar","kbirat"
"m8rrs","m8rrsa","m8rrsin","m8rrsat"
"momill","momilla","momillin","momillat"
"Sle3","Sl3a","Sl3in","Sl3at"
"mSll3","mSll3a","mSll3in","mSll3at"
"ghliD","ghliDa","ghlaD","ghliDat"
"Tbbouzi","Tbbouzia","Tbbouzyin","Tbbouziat"
"r9i9","r9i9a","r9a9","r9i9at"
"Twil","Twila","Twal","Twilat"
"9Sir","9Sira","9Sar","9Sirat"
"zwin","zwina","zwinin","zwinat"
"bogoS","bogosS","bbagS","bogoSat"
"mbogS","mbogSa","mbogSin","mbogSat"
"khayb","khayba","khaybin","khaybat"
"8bil","8bila","m8bolin","m8bolat"
"mSTTi","msTTia","msTTyin","msTTyat"
"3aamr","3aamra","3aamrin","3aamrat"
"jdid","jdida","jdad","jdidat"
"9dim","9dima","9dam","9dimat"
"charf","charfa","chrraf","charfat"
"S3ib","S3iba","S3ab","S3ibat"
"9as7","9as7a","9as7in","9as7at"
"sa8l","sa8la","sa8lin","sa8lat"
"m3TTl","m3TTla","m3TTlin","m3TTlat"
"79i9i","79i9ia","79i9yin","79i9yyat"
"3adi","3adia","3adyin","3adiyat"
"gadd","gadda","gaddin","gaddat"
"bsiT","bsiTa","bsaT",""
"m399d","m399da","m399din","m399dat"
"t9il","t9ila","t9al","t9ilat"
"was3","was3a","was3in","was3at"
"nachT","nachTa","nachTin","nachTat"
"n9i","n9ia","n9iyin","n9yyat"
"3aadil","3aadila","3aadilin","3aadilat"
"ghani","ghanyya","aghnya","ghanyyat"
"fa9ir","fa9ira","fo9ara","fa9irat"
"Tabi3i","Tabi3ia","Tabi3yin","Tabi3yat"
"mfrou9","mfrou9a","mfrou9in","mfrou9at"
"mch8our","mch8oura","mch8ourin","mch8ourat"
"fr7an","fr7ana","fr7anin","fr7anat"
"khayf","khayfa","khayfin","khayfat"
"3imla9","3imla9a","3amali9a","3imla9a"
"za8i","za8ia","za8yin","za8yat"
"raDi","raDia","raDyin","raDyat"
"7azin","7azina","7azinin","7azinat"
"ndman","ndmana","dmanin","ndmanat"
"mkta2b","mkta2ba","mkta2bin","mkta2bat"
"mskin","mskina","msakn","mskinat"
"mrta7","mrta7a","mrta7in","mrta7at"
"mchghoul","mchghoula","mchghoulin","mchghoulat"
"mchTon","mchTona","mchTonin","mchTonat"
"m3SSb","m3SSba","m3SSbin","m3SSbat"
"mochaghib","mochaghiba","mochaghibin","mochaghibat"
"ghDban","ghDbana","ghDbanin","ghDbanat"
"7chman","7chmana","7chmanin","7chmanat"
"wa7iid","wa7iida","wa7iidin","wa7iidat"
"mnba8er","mnba8era","mnba8erin","mnba8erat"
"mstghrb","mstghrba","mstghrbin","mstghrbat"
"mchoki","mchokia","mchokyin","mchokyat"
"mrwwn","mrwwna","mrwwnin","mrwwnat"
"mtredded","mtreddeda","mtreddedin","mtreddedat"
"3yyan","3yyana","3yyanin","3yyanat"
"Tmma3","Tmma3a","Tmma3in","Tmma3at"
"anani","anania","ananyin","ananyat"
"skhi","skhia","skhyin","skhyyat"
"s9ram","s9rama","s9rama","s9ramat"
"drief","driefa","driefin","driefat"
"Sbbar","Sbbara","Sbbara","Sbbarat"
"m2ddb","m2ddba","m2ddbin","m2ddbat"
"m3gaz","m3gaza","m3gaza","m3gazat"
"mojta8id","mojta8ida","mojta8idin","mojta8idat"
"choja3","choja3a","chj3an","choja3at"
"za3em","za3ma","za3min","za3mat"
"fDoli","fDolia","fDolyin","fDolyyat"
"mghrour","mghroura","mghrourin","mghrourat"
"mtwaD3","mtwaD3a","mtwaD3in","mtwaD3at"
"ja8il","ja8ila","ja8lin","ja8lat"
"3abiT","3abiTa","3abiTin","3abiTat"
"dki","dkia","dkiyin","dkyyat"
"7akim","7akima","7okama","7akimat"
"nabigha","nabigha","nabighat",""
"amiin","amiina","omana","amiinat"
"kddab","kddaba","kddaba","kddabat"
"ghddar","ghddara","ghddara","ghddarat"
"nSSab","nSSaba","nSSaba","nSSabat"
"mtfa2l","mtfa2la","mtfa2lin","mtfa2lat"
"mtcha2m","mtcha2ma","mtcha2min","mtcha2mat"
"ytim","ytima","ytama","ytimat"
"","7amla","","7amlat"
"ijabi","ijabia","ijabyin","ijabyyat"
"silbi","silbia","silbyin","silbyyat"
"waa9i3i","waa9i3ia","waa9i3iyin","waa9i3iat"
"3ma","3mia","3myin","3myat"
"Smk","Smka","Smkin","Smkat"
"zizon","zizona","zyazn","zizonat"
"mchllel","mchellela","mchellelin","mchellelat"
"mo3wwa9","mo3wwa9a","mo3wwa9in","mo3wwa9at"
"mo3a9","mo3a9a","mo3a9in","mo3a9at"
"3agr","3agra","3agrin","3agrat"
"mj8oul","mj8oula","mj8oulin","mj8oulat"
"m9boul","m9boula","m9boulin","m9boulat"
"m39ol","m39ola","m39olin","m39olat"
"mn7az","mn7aza","mn7azin","mn7azat"
"mo7ayid","mo7ayida","mo7ayidin","mo7ayidat"
"waaD7","waaD7a","waaD7in","waaD7at"
"mojrim","mojrima","mojrimin","mojrimat"
"9ttal","9ttala","9ttalin","9ttalat"
"ghali","ghalia","ghalyin","ghalyat"
"rkhiS","rkhiSa","rkhaS","rkhiSat"
"lakhor","lokhra","lkhrin","lokhrat"
"lkhkher","lkhkhra","lkhkhrin","lkhkhrat"
"mghyyer","mghyyra","mghyyrin","mghyyrat"
"3aDim","3aDima","3oDama","3aDimat"
"ma7lli","ma7llia","ma7lliyin","ma7llyat"
"jtima3i","jtima3ia","jtima3iyin","jtima3iat"
"waTani","waTania","waTaniyin","waTanyyat"
"3ali","3alia","3alyin","3alyat"
"3aamm","3aamma","3aammin","3aammat"
"momkin","momkina","momkina",""
"3omoumi","3omoumia","3omoumiyin","3omoumiat"
"m7dded","m7ddeda","m7ddedin","m7ddedat"
"mojoud","mojouda","mojoudin","mojoudat"
"asaasi","asaasia","asaasiyin","asaasyat"
"ra2isi","ra2isia","ra2isiyin","ra2isiat"
"9tiSadi","9tiSadia","9tiSadiyin","9tiSadiat"
"mo2kkad","mo2kkada","mo2kkadin","mo2kkadat"
"dawli","dawlia","dawliyin","dawliat"
"m2kked","m2kkeda","m2kkedin","m2kkedat"
"mo3yyan","mo3yyana","mo3yyanin","mo3yyanat"
"momyyaz","momyyaza","momyyazin","momyyazat"
"m7loul","m7loula","m7loulin","m7loulat"
"7orr","7orra","7orrin","7orrat"
"markazi","markazia","markaziyin","mzkaziat"
"mochtarak","mochtaraka","mochtarakin","mochtarakat"
"cha2i3","cha2i3a","cha2i3in","cha2i3at"
"mtchab8","mtchab8a","mtchab8in","mtchab8at"
"Darouri","Darouria","Darouriyin","Darouriat"
"S7i7","S7i7a","S7a7","S7i7at"
"3aazib","3aaziba","3ozzab","3aazibat"
"chkhSi","chkhSia","chkhSiyin",""
"maali","maalia","maaliyin","maaliat"
"ajnabi","ajnabia","ajanib","ajnabyyat"
"chdid","chdida","chdad","chdidat"
"naa9S","naa9Sa","naa9Sin","naa9Sat"
"mtnwwe3","mtnwwe3a","mtnwwe3in","mtnwwe3a"
"7aaDr","7aaDra","7aaDrin","7aaDrat"
"malaki","malakia","malakiyin","malakyyat"
"khaT2","khaT2a","khaT2in","khaT2at"
"bo7do","bo7dha","bo7dhom",""
"7aali","7aalia","7aaliyin",""
"9aanouni","9aanounia","9aanouniyin","9aanouniat"
"7aadit","7aadita","7awadit",""
"7adiit","","a7aadit",""
"9rib","9riba","9rab","9ribat"
"sab9","sab9a","sab9in","sab9at"
"mo3tabar","mo3tabara","mo3tabarin","mo3tabarat"
"Sinaa3i","Sinaa3ia","Sinaa3iyin","Sinaa3iat"
"m7dded","m7ddeda","m7ddedin","m7ddedat"
"monaasib","monaasiba","monaasibin","monaasibat"
"mnasb","mnasba","mnasbin","mnasbat"
"3ali","3alia","3aliyin","3aliat"
"myyet","myyta","myytin","myytat"
"mt2ssef","mt2ssfa","mt2ssfin","mt2ssfat"
"naj7","naj7a","naj7in","naj7at"
"7rbi","7rbia","7rbiyin","7rbyyat"
"wa3i","wa3ia","wa3yin","wa3yat"
"mch8our","mch8oura","mch8ourin","mch8ourat"
"mi8ani","mi8ania","mi8aniyin","mi8aniat"
"mobachir","mobachira","mobachirin","mobachirat"
"mofid","mofida","mofidin","mofidat"
"f33al","f33ala","f33alin","f33alat"
"wajd","wajda","wajdin","wajdat"
"mDllem","mDllma","mDllmin","mDllmat"
"msta9ell","msta9ella","msta9ellin","msta9ellat"
"t9lidi","t9lidia","t9lidiyin","t9lidiat"
"ghrbi","ghrbia","ghrbiyin","ghrbiat"
"bard","barda","bardin","bardat"
"ms2oul","ms2oula","ms2oulin","ms2oulat"
"kaml","kamla","kamlin","kamlat"
"Tibbi","Tibbia","Tibbyyin","Tibbyyat"
"skhoun","skhouna","skhan","skhounat"
"dakari","ontawi","dakaria","ontawia"
"awwali","awwalia","awwaliyin","awwalyyat"
"madani","madania","madaniyin","madaniat"
"most9bali","most9balia","most9balia","most9baliat"
"by2i","by2ia","by2iyin","by2yyat"
"waD7","waD7a","waD7in","waD7at"
"kbir","kbira","kbar","kbirat"
"nawawi","nawawia","nawawiyin","nawawiat"
"sanawi","sanawia","sanawiyin","sanawiat"
"jihawi","jihawia","jihawiyin","jihawiat"
"tijari","tijaria","tijariyin","tijariat"
"llekher","llekhra","llekhrin","llekhrat"
"taTbi9i","taTbi9ia","taTbi9iyin","Taba9yyat"
"3ami9","3ami9a","3ami9in","3ami9at"
"rsmi","rsmia","rsmiyin","rsmiat"
"mntaDem","mntaDma","mntaDmin","mntaDmat"
"m2louf","m2loufa","m2loufin","m2loufat"
"zayd","zayda","zaydin","zaydat"
"nachT","nachTa","nachTin","nachTat"
"9wi","9wiyya","9wiyyin","9wiyyat"
"gddami","gddami","gddamiyin","gddamiat"
"mosta7il","mosta7ila","mosta7ila",""
"mnzili","mnzilia","mnzilia",""
"fi3li","fi3lia","fi3liyin","fi3liat"
"ti9ni","ti9nia","ti9niyin","ti9niat"
"dakhili","dakhilia","dakhiliyin","dakhiliat"
"momtaz","momtaza","momtazin","momtazat"
"Tri","Tryya","Tryyin","Tryyat"
"b3id","b3ida","b3ad","b3idat"
"mo7tamal","mo7tamala","mo7tamalin","mo7tamalat"
"chamali","chamalia","chamaliyin","chamalyyat"
"dini","dinia","diniyin","diniat"
"ta9afi","ta9afia","ta9afiyin","ta9afiat"
"mochtarak","mochtaraka","mochtarakin","mochtarakat"
"aamin","aamina","aaminin","aaminat"
"mo7afiD","mo7afiDa","mo7afiDin","mo7afiDat"
"chkli","chklia","chkliyin","chklyyat"
"monasib","monasiba","monasibin","monasibat"
"9arawi","9arawia","9arawiyin","9arawiat"
"mbda2i","mbda2ia","mbda2iyin","mbda2yyat"
"magaddch","magaddach","magaddinch","magaddatch"
"mo3ddal","","mo3ddalat",""
"dafi","dafia","dafyin","dafyat"
"ghrib","ghriba","ghrab","ghribat"
"mola2im","mola2ima","mola2imin","mola2imat"
"m7bob","m7boba","m7bobin","m7bobat"
