"n1","n2","n3","n4","n5","n6","eng"
"9TT3","9aTTe3","qattaa","","","","cut"
"8Dr","8Der","8Dar","hDar","hder","","talk"
"chker","chkar","chkor","","","","thank"
"bddel","bddal","","","","","change"
"kmmel","kmmal","","","","","continue"
"ftarD","","","","","","suppose"
"tmnna","tmenna","","","","","wish"
"tb3","tbe3","tba3","","","","follow"
"9bl","9bel","9bel","","","","accept"
"rfD","rfaD","rfeD","","","","reject"
"w93","w9e3","w9e3","","","","happen"
"gls","gles","glas","","","","sit down"
"rb7","rbe7","rba7","","","","win"
"zad","","","","","","add"
"t3llm","t3allam","t3ellem","","","","learn"
"tsnna","","","","","","wait"
"sifT","SifT","","","","","send"
"ba3","baa3","","","","","sell"
"chra","","","","","","buy"
"7ell","7all","","","","","open"
"bna","","","","","","build"
"khtar","5tar","","","","","choose"
"wSl","wSal","wSel","","","","reach"
"9rrer","9arrar","9arrer","","","","decide"
"nchT","nchaT","ncheT","","","","enjoy"
"tfrrj","itfrrej","tfarraj","","","","watch"
"khsr","khsar","khser","5ser","","","lose"
"tmchcha","tmecha","","","","","walk"
"kbbr","kebber","kabber","","","","raise"
"tkhyyl","tkheyyel","tkhayel","t5ayyal","","","imagine"
"sbbeb","sabbeb","","","","","cause"
"8rrs","harrass","8arres","","","","break"
"sme3","smaa","sma3","","","","listen"
"kbr","kber","","","","","grow"
"mat","","","","","","die"
"twffa","tweffa","toueffa","","","","die"
"zar","zaar","","","","","visit"
"chjje3","chajja3","","","","","encourage"
"7ama","hama","","","","","protect"
"nchr","ncher","nchar","","","","spread"
"9tl","9tal","9tel","qtel","","","kill"
"sag","Sag","Saag","saag","","","drive"
"kdb","kdeb","kdab","","","","lie"
"t9aj7","t9aje7","tqajeh","","","","argue"
"7yyed","7ayyad","7ayyed","","","","remove"
"ddabz","","","","","","fight"
"3mmr","3emmer","3emmar","","","","fill"
"safr","saafr","","","","","travel"
"7Dr","7Dar","7Der","","","","attend"
"9sse7","9ssa7","","","","","hurt"
"3ana","3aana","","","","","suffer"
"zgl","zguel","zgal","","","","miss"
"l9a","","","","","","discover"
"lga","","","","","","discover"
"3bbr","3bber","3bbar","","","","express"
"rkkz","rekkez","rakkaz","","","","concentrate"
"la7","","","","","","throw"
"Sawb","Saweb","","","","","prepare"
"9ra","qra","","","","","study"
"df3","dfe3","dfaa","","","","push"
"wrrk","werrek","","","","","press"
"wSl","wSel","wSal","","","","arrive"
"Sona","Souna","","","","","ring"
"jm3","jme3","jma3","","","","collect"
"8rb","8reb","8rab","hrab","","","escape"
"r77b","r77eb","r77ab","rahhab","","","welcome"
"3wwl","3owwel","3awwel","3wwel","","","rely"
"ta9","taq","","","","","trust"
"3awd","3awed","3awad","aawd","","","repeat"
"khTTeT","khaTTeT","5aTTeT","","","","plan"
"frch","frech","frach","","","","reveal"
"2kkd","2akkad","akked","","","","confirm"
"kr8","kre8","","","","","hate"
"tjwj","tjwwej","tjawwaj","","","","marry"
"9sm","9sam","9sem","","","","split"
"tbnna","tbenna","tbanna","","","","adopt"
"tja8l","tjahl","tja8el","","","","ignore"
"3rrf","3rref","3erref","3arraf","3arref","3arrf","define"
"9ddm","9ddem","","","","","introduce"
"ttrina","trina","","","","","exercise"
"br8n","ber8en","bar8an","bar8en","","","demonstrate"
"9n3","9ne3","9na3","","","","persuade"
"9ll3","9elle3","9alle3","","","","guess"
"Swwt","Sawwt","Sawwat","Sawwet","","","vote"
"nkr","nker","nkar","","","","deny"
"khbba","khebba","khabba","5ebba","","","hide"
"nj7","nje7","nja7","","","","succeed"
"Tlb","Tleb","Tlab","","","","demand"
"3tarf","3taref","aataref","","","","recognize"
"7sb","7seb","hseb","","","","count"
"ntama","intami","","","","ntami","belong"
"chekk","chakk","","","","","doubt"
"ghnna","ghenna","ghanna","","","","sing"
"nwa","","","","","","intent"
"brrer","berrer","barrar","barrer","","","justify"
"daf3","daaf3","","","","","defend"
"z3m","z3em","z3am","","","","dare"
"tsara7","","","","","","rest"
"7km","7kem","7kam","hkem","","","judge"
"chark","chaark","","","","","participate"
"ghsl","ghsel","ghsal","","","","wash"
"la7D","","","","","","observe"
"khddm","khddem","5ddem","","","","employ"
"jm3","jme3","jma3","","","","combine"
"l77","le77","","","","","insist"
"tla7","tlah","","","","","jump"
"Tyyb","Tyyeb","","","","","cook"
"bka","","","","","","cry"
"n3s","n3es","","","","","sleep"
"fa9","faq","","","","","wake up"
"jm3","jme3","jma3","","","","gather"
"nsa7b","nsahab","nsa7ab","nsa7eb","","","withdraw"
"7ll","7ell","7all","","","","resolve"
"khbr","khber","","","","","inform"
"stalzem","","","","","","imply"
"tsllf","tsellef","tsallaf","","","","borrow"
"swwl","sowwel","swwel","","","","question"
"khaTr","5aTer","","","","","risk"
"sm7","sme7","sma7","","","","permit"
"sam7","same7","sameh","","","","forgive"
"9tar7","9tare7","9tara7","","","","propose"
"7tafl","7tafel","7tafal","","","","celebrate"
"Dyy3","Dyye3","Dyya3","","","","waste"
"ghbr","ghber","ghbar","","","","disappear"
"tw993","twe99a3","twe99e3","","","","predict"
"ngr","ngor","nguer","","","","complain"
"9bT","9baT","9beT","qbaT","","","catch"
"gbD","gbeD","gbaD","","","","catch"
"naD","naaD","","","","","get up"
"daz","daaz","","","","","pass"
"7bes","7bas","hbas","hbes","","","stop"
"9yyd","9ayyad","9eyyed","","","","note"
"wllf","wellef","wllaf","wallaf","","","used to"
"khllT","khallaT","khelleT","","","","mix"
"gyyd","gyyed","","","","","mislead"
"7rg","7reg","7rag","","","","burn"
"7r9","7re9","7ra9","","","","burn"
"staghl","staghell","staghall","","","","exploit"
"kma","","","","","","smoke"
"7ddr","7edder","7addar","","","","warn"
"baas","bas","","","","","kiss"
"3ln","3len","3lan","","","","announce"
"khtabr","5taber","khtabar","","","","evaluate"
"tnffs","tneffes","tnaffas","","","","breathe"
"fat","faat","","","","","exceed"
"Saad9","Saade9","","","","","approve"
"7tell","7tall","","","","","occupy"
"7arrar","7errer","7arrer","","","","free"
"btasm","btasem","btassem","btassam","","","smile"
"7fr","7fer","7far","hfer","hfar","","dig"
"7tarm","htarm","7tarem","","","","respect"
"8dded","i8dded","8addad","8added","","","threaten"
"lgha","","","","","","cancel"
"khzn","5zn","khzen","khzan","","","store"
"nDDm","nDDem","naDDam","","","","organize"
"nwwr","nwwer","nwwar","","","","shine"
"7lf","7lef","hlef","","","","swear"
"7lm","7lem","7lam","hlem","","","dream"
"SrT","SreT","SraT","","","","absorb"
"bloka","","","","","","block"
"stab9","stabe9","staba9","","","","anticipate"
"tta8m","tta8em","ttahem","","","","accuse"
"ghwwt","ghwwet","ghowwet","","","","shout"
"2ttr","2atter","2etter","attar","","","affect"
"rttb","rtteb","ratteb","rattab","","","arrange"
"3ta9l","3ta9el","3ta9al","","","","arrest"
"nb7","nba7","nbe7","","","","bark"
"khan","5an","","","","","betray"
"t7aTT","","","","","","bet"
"khtalf","khtalaf","5talef","khtalef","","","differ"
"7tafD","7tafeD","","","","","keep"
"Tar","Taar","","","","","fly"
"ban","","","","","","appear"
"jrr","jarr","jerr","","","","pull"
"df3","dfe3","dfa3","","","","push"
"8zz","hezz","8ezz","","","","lift"
"rj3","rje3","rja3","","","","return"
"Ta7","","","","","","fall"
"3rf","3ref","3raf","","","","know"
"nsa","","","","","","forget"
"wSf","wSef","wSaf","","","","describe"
"trjm","tarjem","terjem","trjam","","","translate"
"w3ed","w3ad","w3d","","","","promise"
"9llb","9elleb","9allab","","","","search"
"7bb","7ebb","","","","","love"
"3ach","3aach","","","","","live"
"skn","sken","skan","","","","live"
"khllS","khalleS","khallaS","","","","pay"
"sdd","sedd","","","","","close"
"w9f","w9ef","w9af","","","","stand up"
"stkhdm","stekhdem","stakhdam","stakhdem","","","use"
"stalm","stalem","","","","","receive"
"fchl","fchel","fchal","","","","fail"
"sbb","sebb","sabb","","","","insult"
"chka","","","","","","complain"
"fD7","fDa7","fDe7","","","","expose"
"3tadr","3tader","3tadar","","","","apologize"
"3nng","3nn9","3nneg","3anna9","","","hug"
"ndm","ndem","","","","","regret"
"t3wwd","t3wwed","t3awwad","t3awwed","","","get used"
"3Tas","3Tes","3Tes","","","","sneeze"
"k7ob","k7eb","","","","","cough"
"2ejjel","ajjal","2ajjal","2jjel","","","postpone"
"t3awn","t3awen","t3aawan","t3awan","","","cooperate"
"tbadl","tbaadel","tbaadl","","","","exchange"
"9aaT3","9aaTe3","9aaTa3","9aT3","","","boycott"
"tTwwe3","TTowe3","taTawwa3","TTowwe3","","","volunteer"
"9oulb","9ouleb","","","","","dupe"
"tjnnb","tjannab","tjenneb","tjanneb","","","avoid"
"8ml","8mel","8mal","","","","neglect"
"tla9a","tlaqa","","","","","meet"
"tjsses","tjassas","","","","","spy"
"nta9m","","","","","","take revenge"
"dfn","dfen","dfan","","","","bury"
"ghlb","ghleb","ghlab","","","","defeat"
"kan","","","","","","be"
"bgha","","","","","","would"
"9der","9dr","","","","","can"
"gdd","guedd","gedd","","","","can"
"imkn","","","","","","may"
"dar","","","","","","make"
"khsso","khesso","","","","","must"
"khda","5da","","","","","take"
"chaf","","","","","","look"
"7TT","7eTT","","","","","set"
"khlla","khella","","","","","let"
"3Ta","","","","","","provide"
"khsso","khesso","","","","","shall"
"ban","","","","","","seem"
"tDmmen","tDemmen","","","","","include"
"t7rrek","t7arrak","","","","","move"
"Dar","Daar","","","","","turn"
"3tabr","3taber","","","","","consider"
"khlla","khella","","","","","allow"
"tmenna","tmnna","","","","","hope"
"ntej","ntj","","","","","produce"
"b9a","","","","","","stay"
"chdd","chedd","","","","","hold"
"to99e3","twe99e3","twe99a3","","","","expect"
"Dmen","Dmn","Dman","","","","ensure"
"8ezz","hezz","","","","","carry"
"3reD","3rD","3raD","","","","offer"
"d3em","d3m","d3am","","","","support"
"hDer","hDr","hDar","8Der","","","speak"
"dwa","","","","","","speak"
"9aad","","","","","","lead"
"b9a","","","","","","remain"
"w9ef","w9af","w9f","","","","stand"
"wgef","wgaf","wgf","","","","stand"
"9tar7","9tare7","","","","","suggest"
"Twwer","Towwer","","","","","develop"
"gles","glas","gls","","","","sit"
"gadd","","","","","","create"
"Sawb","","","","","","create"
"ttaf9","ttafe9","","","","","agree"
"Tbbe9","Tbba9","","","","","apply"
"kowwen","kowwn","kwwn","kwwen","","","form"
"zad","","","","","","increase"
"3bber","","","","","","voice"
"Dyye3","","","","","","spend"
"lta79","","","","","","join"
"n99eS","n99es","n99s","n99S","n99as","","reduce"
"n9ed","n9d","n9ad","","","","save"
"tTelleb","tTallab","tTellab","TTelleb","","","require"
"799e9","h99e9","hqqeq","","","","achieve"
"7bes","","","","","","prevent"
"t3amel","t3aml","t3aamel","","","","deal"
"twaj8","twajh","twajeh","twaje8","","","face"
"ghTTa","gheTTa","","","","","cover"
"Twwer","Towwer","","","","","improve"
"maal","mal","","","","","tend"
"rsem","rsam","","","","","draw"
"t7errek","","","","","","act"
"3zel","3zl","","","","","pick"
"khtar","5tar","khtaar","","","","pick"
"kllef","","","","","","cost"
"swa","","","","","","cost"
"br8en","ber8en","","","","","prove"
"w9e3","w93","w9a3","","","","occur"
"tna9ch","tna9ech","","","","","discuss"
"gabl","gabel","gaabel","gaabl","","","maintain"
"sala","","","","","","end"
"kmmel","kemmel","kammel","kammal","","","end"
"kayn","kayen","","","","","exist"
"9Sed","","","","","","seek"
"9lleb","9elleb","","","","","check"
"nfe3","","","","","","serve"
"9sem","","","","","","share"
"partaja","","","","","","share"
"nche2","nch2","","","","","establish"
"2esses","2assas","asses","","","","establish"
"t7kkem","t7kkm","t7ekkem","t7akkem","","","control"
"jawb","jaweb","","","","","answer"
"7edded","7added","7dded","","","","identify"
"3tana","","","","","","care"
"mkken","mekken","makken","","","","enable"
"Taalb","Taaleb","","","","","claim"
"kseb","ksb","","","","","obtain"
"mttel","mettel","","","","","represent"
"tDemmen","","","","","","contain"
"ghleb","","","","","","beat"
"tchTen","techTen","tchTan","","","","worry"
"t7mmel","t7emmel","","","","","bear"
"sedd","sdd","","","","","shut"
"tsa2el","tsa2l","","","","","wonder"
"naaseb","naasb","","","","","fit"
"t3elle9","t3ll9","","","","","regard"
"7eTT","7TT","","","","","place"
"chmel","","","","","","involve"
"ttaSel","ttaSl","","","","","contact"
"ftarD","ftareD","","","","","assume"
"achaar","","","","","","indicate"
"khdem","khdm","","","","","operate"
"tSerref","","","","","","manage"
"t2e9lem","t2a9lam","t29lm","","","","cope"
"7edded","7dded","","","","","determine"
"3kes","","","","","","reflect"
"achaar","","","","","","refer"
"rbe7","rb7","","","","","gain"
"f7eS","","","","","","examine"
"fDDel","","","","","","prefer"
"3tarf","3taref","","","","","admit"
"redd","rdd","","","","","respond"
"jawb","jaweb","","","","","respond"
"3tamd","3tamed","","","","","depend"
"nja","","","","","","survive"
"la7D","laa7D","","","","","notice"
"ntej","ntj","","","","","result"
"bddel","","","","","","replace"
"kemmel","kmmel","","","","","complete"
"rtaf3","rtafe3","","","","","rise"
"9ddem","9eddem","","","","","present"
"nche2","","","","","","arise"
"achaar","","","","","","point"
"rowwej","","","","","","promote"
"chejje3","chjje3","","","","","promote"
"2edda","2adda","","","","","perform"
"medded","madded","mdded","","","","extend"
"achaar","","","","","","mention"
"khtalef","khtalf","5talf","","","","vary"
"fad","faad","","","","","benefit"
"3aalj","3aalej","","","","","treat"
"3elle9","3lle9","3ll9","","","","hang"
"Tyye7","","","","","","drop"
"bellegh","bllegh","ballagh","","","","report"
"Sbb","Sebb","","","","","cast"
"khtaber","khtabr","","","","","test"
"2emmen","2mmen","","","","","secure"
"Towwel","Towwl","","","","","last"
"waaf9","","","","","","match"
"9dder","9edder","","","","","assess"
"saa8em","sa8em","saa8m","saahem","sahem","","contribute"
"medd","","","","","","supply"
"3len","","","","","","state"
"9dder","9edder","","","","","appreciate"
"rtabeT","rtabT","","","","","relate"
"tghelleb","","","","","","overcome"
"tkhelleS","","","","","","rid"
"7awel","7aawel","7awl","","","","attempt"
"7tafD","","","","","","retain"
"tkellef","","","","","","handle"
"jdeb","","","","","","attract"
"saa3d","sa3d","","","","","assist"
"3awen","3aawen","3awn","","","","assist"
"2etter","2tter","","","","","influence"
"7edded","","","","","","mark"
"fkker","","","","","","recall"
"sina","","","","","","sign"
"khaf","","","","","","fear"
"lSe9","lse9","","","","","stick"
"swwa","","","","","","settle"
"rigl","","","","","","settle"
"9aaren","9aren","","","","","compare"
"7seb","7sb","","","","","account"
"7e99e9","","","","","","investigate"
"n99a","","","","","","clear"
"sjjel","sejjel","","","","","record"
"chjjel","chjjl","","","","","record"
"ktachf","ktachef","","","","","explore"
"laam","lam","","","","","blame"
"3ber","","","","","","cross"
"3a9","","","","","","realize"
"rkkez","rekkez","","","","","focus"
"wSSel","wSSl","","","","","deliver"
"chre3","","","","","","proceed"
"z3ej","","","","","","bother"
"brzeT","berzeT","","","","","bother"
"rfeD","rfaD","","","","","refuse"
"freD","fraD","","","","","force"
"3ta9ed","3ta9d","","","","","reckon"
"ban","","","","","","emerge"
"3zem","","","","","","intend"
"nSe7","nS7","","","","","advise"
"ktaseb","ktasb","","","","","acquire"
"strje3","sterje3","","","","","recover"
"nche2","","","","","","generate"
"tmiyyez","","","","","","distinguish"
"chtabe8","chtab8","","","","","suspect"
"kseb","ksb","","","","","earn"
"mowwel","","","","","","finance"
"8dem","8dm","","","","","destroy"
"tbe3","tb3","","","","","pursue"
"3elle9","","","","","","comment"
"rDa","","","","","","satisfy"
"tnafs","tnaafs","tnafes","","","","compete"
"9aawem","9aawm","9awm","","","","resist"
"laa2em","la2em","","","","","suit"
"khaaTeb","","","","","","address"
"7ell","","","","","","solve"
"bddel","","","","","","alter"
"freD","frD","","","","","impose"
"3reD","","","","","","display"
"naachd","","","","","","appeal"
"Tle9","","","","","","release"
"frez","","","","","","sort"
"rtteb","retteb","","","","","sort"
"khtar","","","","","","select"
"3ber","","","","","","measure"
"wSSa","weSSa","","","","","recommend"
"Tleb","","","","","","order"
"2amer","","","","","","order"
"n9el","","","","","","transfer"
"8jem","hjem","","","","","attack"
"twesse3","ttosse3","","","","","expand"
"tkerkeb","tkrkb","","","","","roll"
"nfajer","nfajr","","","","","burst"
"t3e88ed","","","","","","undertake"
"tsara7","","","","","","relax"
"tSerref","","","","","","behave"
"dkker","","","","","","remind"
"fekker","fkker","","","","","remind"
"raaj3","","","","","","review"
"n8ej","","","","","","approach"
"rejje3","rjje3","","","","","restore"
"Sder","","","","","","issue"
"Sag","","","","","","ride"
"chkkel","chekkel","","","","","constitute"
"gleb","","","","","","switch"
"derreb","drreb","","","","","train"
"stetmer","","","","","","invest"
"khTa","","","","","","step"
"7edd","","","","","","limit"
"weDDe7","","","","","","illustrate"
"mlek","","","","","","own"
"3aalj","3alj","3alej","","","","tackle"
"t7edda","","","","","","challenge"
"chaf","","","","","","view"
"mlek","","","","","","possess"
"7aawer","7awr","7awer","","","","communicate"
"tselle9","tsll9","","","","","climb"
"fSel","","","","","","separate"
"7aafD","","","","","","preserve"
"nffed","neffed","","","","","implement"
"7wwel","7owwel","","","","","shift"
"a9arr","","","","","","acknowledge"
"stentej","stntj","","","","","conclude"
"tira","","","","","","shoot"
"mtatel","mtatl","","","","","comply"
"7essen","","","","","","enhance"
"ra9b","raa9b","","","","","monitor"
"gabl","gaabl","gabel","gaabel","","","monitor"
"chra","","","","","","purchase"
"charja","","","","","","charge"
"b7et","","","","","","research"
"bgha","","","","","","aim"
"stow3eb","sto3eb","sto3b","","","","accommodate"
"chTe7","chT7","","","","","dance"
"fa9","","","","","","wake"
"Slla","Sella","","","","","pray"
"dowwer","","","","","","telephone"
"marka","","","","","","score"
"zle9","zl9","","","","","slip"
"rtakb","rtakeb","","","","","commit"
"kchef","","","","","","detect"
"steb3ed","stb3ed","steb3ad","","","","exclude"
"3der","","","","","","excuse"
"fsser","","","","","","interpret"
"ncher","","","","","","publish"
"laa9a","la9a","","","","","link"
"tfawD","","","","","","negotiate"
"7ellel","","","","","","analyze"
"smma","semma","","","","","name"
"mtedd","","","","","","stretch"
"t9elle9","t9lle9","t9alle9","","","","upset"
"2e88el","","","","","","qualify"
"khsser","khesser","5esser","","","","damage"
"Tle9","","","","","","launch"
"bda","","","","","","launch"
"Sbegh","Sbgh","Sbagh","","","","paint"
"7edded","","","","","","specify"
"mne7","","","","","","grant"
"sellef","","","","","","lend"
"bna","","","","","","construct"
"tfa3l","tfaa3l","tfa3el","","","","react"
"sta7e99","sta799","","","","","deserve"
"sta8el","stahel","stahal","sta8al","","","deserve"
"tre22es","tr22s","tre22s","tr22es","","","head"
"wjje8","","","","","","direct"
"8beT","","","","","","land"
"9aad","","","","","","conduct"
"tkebbed","","","","","","sustain"
"sifT","","","","","","submit"
"tkowwen","","","","","","consist"
"3Sef","","","","","","blow"
"rched","","","","","","guide"
"9ne3","","","","","","convince"
"maars","mares","maares","","","","practice"
"9wwa","","","","","","strengthen"
"do99","d99","","","","","knock"
"3reD","","","","","","invite"
"tkhella","tkhlla","","","","","abandon"
"jaweb","","","","","","reply"
"7errek","7rrek","7rrk","","","","shake"
"Sle7","","","","","","fix"
"tDaa8er","","","","","","pretend"
"chawer","","","","","","consult"
"9sem","","","","","","divide"
"nkhareT","nkharT","","","","","engage"
"7e99e9","","","","","","fulfill"
"7kem","","","","","","rule"
"3aalj","3alj","3aalej","","","","process"
"jab","","","","","","fetch"
"n9el","","","","","","convey"
"dfe3","","","","","","thrust"
"jessed","jssd","jssed","","","","incorporate"
"7Ser","","","","","","restrict"
"steb3ed","stb3ed","","","","","eliminate"
"zowwel","zwwel","","","","","eliminate"
"lgha","","","","","","eliminate"
"7owwel","7wwel","","","","","convert"
"t9a3d","t9a3ed","","","","","retire"
"DbeT","","","","","","adjust"
"3ddel","","","","","","adjust"
"s88el","","","","","","ease"
"kobb","","","","","","pour"
"Sebb","","","","","","pour"
"nsej","","","","","","knit"
"d3em","","","","","","back"
"Trassa","","","","","","trace"
"sejjel","sjjel","","","","","register"
"7seb","7sb","hseb","hsb","","","calculate"
"7ffez","7affez","7effez","","","","stimulate"
"Tbe3","","","","","","print"
"imprima","","","","","","print"
"twetter","totter","twatter","","","","stress"
"3yyen","3iyyen","","","","","appoint"
"tdkhkhel","tdekhel","tdkhl","tdekhkhel","tde55el","td55l","interfere"
"3tarD","3tareD","","","","","object"
"9wwa","9owwa","","","","","boost"
"dfe3","","","","","","boost"
"ysser","yesser","","","","","facilitate"
"s88el","se88el","sehhel","","","","facilitate"
"7taj","","","","","","lack"
"7bes","","","","","","cease"
"nffed","neffed","","","","","enforce"
"t2e9lem","t2a9lam","t29lm","t2e9lm","","","adapt"
"3god","3gd","3ged","3gued","","","tie"
"9tabs","","","","","","quote"
"syTer","siyTer","syTr","","","","dominate"
"frg3","ferge3","","","","","pop"
"3jeb","","","","","","please"
"Semmem","Sammem","Smmem","","","","design"
"tdkhkhel","tdekhel","tdkhl","tdekhkhel","tde55el","td55l","intervene"
"Tlle3","Tll3","Telle3","","","","yield"
"sta9al","sta9aal","","","","","resign"
"t8ejja","","","","","","spell"
"7errek","7rrk","7rrek","","","","stir"
"khSSeS","kheSSeS","","","","","spare"
"9dder","9edder","","","","","estimate"
"Dreb","Drb","","","","","kick"
"rkel","rkl","","","","","kick"
"3dded","3edded","","","","","list"
"lbes","lbs","","","","","dress"
"3len","3ln","","","","","declare"
"diklara","","","","","","declare"
"2ekked","2kked","akked","","","","assure"
"stamdd","","","","","","derive"
"dkhel","","","","","","access"
"2ejjel","2jjel","ajjel","","","","delay"
"wDDe7","weDDe7","wDD7","","","","clarify"
"n9el","n9l","n9ol","","","","copy"
"nsekh","nskh","nse5","","","","copy"
"fDDel","fDDl","","","","","favor"
"medd","mdd","","","","","hand"
"9beT","9bT","9baT","","","","capture"
"3zzez","","","","","","reinforce"
"7owwel","7wwl","7wwel","","","","transform"
"fhem","f8em","","","","","perceive"
"khdem","","","","","","function"
"ghaader","ghadr","ghader","","","","quit"
"raaf9","raafe9","raf9","","","","accompany"
"mowwel","mmwel","mwwl","","","","fund"
"jme3","","","","","","pack"
"S77e7","Se77e7","","","","","correct"
"ab7ar","","","","","","sail"
"3owweD","","","","","","compensate"
"sre9","sr9","sra9","","","","steal"
"chfer","chfr","chfar","","","","steal"
"9owweD","","","","","","undermine"
"mtedd","","","","","","range"
"3aareD","3arD","3aarD","","","","oppose"
"7edded","","","","","","locate"
"zreb","zrb","zrab","","","","hurry"
"ncher","nchr","","","","","broadcast"
"9aaDaa","","","","","","sue"
"miza","","","","","","bid"
"Dowwa","Dwwa","","","","","light"
"tbaT2","tbaaTe2","tbaaT2","","","","slow"
"8emm","","","","","","concern"
"rfeD","","","","","","dismiss"
"rkkez","","","","","","highlight"
"Sle7","","","","","","repair"
"Taabe9","Taab9","Tab9","","","","conform"
"rbeT","","","","","","attach"
"zrreb","zrrb","","","","","rush"
"ghre9","","","","","","sink"
"ntaz3","","","","","","grab"
"kalma","","","","","","calm"
"7tejj","7tjj","","","","","protest"
"waazen","wazn","waazn","","","","balance"
"Tleb","","","","","","beg"
"tbbet","tebbet","","","","","install"
"Towwer","","","","","","advance"
"Tred","","","","","","fire"
"3awn","3aawn","3aawen","3awen","","","aid"
"tdffe9","","","","","","flow"
"jerr","jrr","","","","","drag"
"tTaab9","tTab9","","","","","correspond"
"chkkel","","","","","","pose"
"tt3jeb","","","","","","admire"
"khffef","","","","","","relieve"
"3kes","","","","","","reverse"
"ddabz","","","","","","combat"
"ndamj","ndamej","","","","","integrate"
"mattaf9ch","","","","","","disagree"
"ttaSel","","","","","","connect"
"7iyyen","","","","","","update"
"ghiyyer","","","","","","modify"
"khtar","","","","","","opt"
"amer","2amer","","","","","command"
"mtatel","mtatl","","","","","obey"
"stkhrej","stekhrej","stakhrej","stakhraj","","","extract"
"3aarD","","","","","","counter"
"ste2nef","st2nf","sta2nef","","","","resume"
"chedd","","","","","","grasp"
"stow3eb","stou3eb","sto3eb","stou3b","stow3b","","grasp"
"tze3lel","tz3lel","","","","","swing"
"sllem","sellem","","","","","render"
"zreb","","","","","","speed"
"waaj8","wajh","waajh","waj8","","","confront"
"mne3","","","","","","ban"
"mse7","","","","","","wipe"
"Doubl","Dobl","Double","","","","double"
"chtamel","chtaml","","","","","comprise"
"ch8ed","","","","","","witness"
"ghres","","","","","","plant"
"jzem","","","","","","assert"
"kchef","","","","","","disclose"
"3Ser","3Sr","","","","","squeeze"
"bjegh","bjgh","bjagh","","","","squeeze"
"rbeT","","","","","","bind"
"Derr","","","","","","harm"
"2aada","aada","ada","","","","harm"
"tla9a","","","","","","encounter"
"Tleb","","","","","","request"
"3aana","","","","","","struggle"
"khddem","","","","","","hire"
"khbba","khebba","","","","","conceal"
"khddem","","","","","","recruit"
"t3awen","t3awn","","","","","co-operate"
"sre7","","","","","","wander"
"chdded","chedded","","","","","emphasize"
"3ber","","","","","","weigh"
"wzen","","","","","","weigh"
"tzaamn","tzamn","tzamen","tzaamen","","","coincide"
"7na","","","","","","bend"
"tna","","","","","","bend"
"nDDem","","","","","","regulate"
"n9ed","","","","","","rescue"
"rffe8","","","","","","entertain"
"twe99e3","","","","","","forecast"
