"english","specific1_darija","specific2_darija","general_darija","darija_ar"
"Border_collie","","","kelb","كلب "
"hare","","9nia","arnab","أرنب"
"boxer","","","kelb","كلب "
"silky_terrier","","","kelb","كلب "
"beagle","","","kelb","كلب "
"Leonberg","","","kelb","كلب "
"German_short-haired_pointer","","","kelb","كلب "
"patas","","","9erd","قرد "
"dhole","","","kelb","كلب "
"baboon","","","9erd","قرد "
"macaque","","","9erd","قرد "
"Chesapeake_Bay_retriever","","","kelb","كلب "
"bull_mastiff","","","kelb","كلب "
"kuvasz","","","kelb","كلب "
"capuchin","","","9erd","قرد "
"pug","","","kelb","كلب "
"curly-coated_retriever","","","kelb","كلب "
"Norwich_terrier","","","kelb","كلب "
"flat-coated_retriever","","","kelb","كلب "
"hog","","","7ellouf","حلّوف "
"keeshond","","","kelb","كلب "
"Eskimo_dog","","","kelb","كلب "
"Brittany_spaniel","","","kelb","كلب "
"standard_poodle","","","kelb","كلب "
"Lakeland_terrier","","","kelb","كلب "
"snow_leopard","fehd dial telj","fahd","fehd","فهد "
"Gordon_setter","","","kelb","كلب "
"dingo","","","kelb","كلب "
"standard_schnauzer","","","kelb","كلب "
"hamster","hamster","","hamster","هامستر "
"Tibetan_terrier","","","kelb","كلب "
"Arctic_fox","te3leb dial telj","","te3leb","تعلب "
"wire-haired_fox_terrier","","","kelb","كلب "
"basset","","","kelb","كلب "
"water_buffalo","","jamous","gamous","ڭاموس "
"American_black_bear","doub k7el","dob k7el","doub","دوب "
"Angora","9niya","9nia","arnab","أرنب"
"bison","","jamous","gamous","ڭاموس "
"howler_monkey","","","9erd","قرد "
"hippopotamus","faras nnahr","faras annahr","","فرس النهر"
"chow","","","kelb","كلب "
"giant_panda","panda","","","پاندا "
"American_Staffordshire_terrier","","","kelb","كلب "
"Shetland_sheepdog","","","kelb","كلب "
"Great_Pyrenees","","","kelb","كلب "
"Chihuahua","chihuahua","chiwawa","kelb","كلب "
"tabby","","mch","mech","مش "
"marmoset","","","9erd","قرد "
"Labrador_retriever","","","kelb","كلب "
"Saint_Bernard","Saint Bernard","","kelb","كلب "
"armadillo**********","","","guefoud","ڭنفود ارماديلو"
"Samoyed","","","kelb","كلب "
"bluetick","","","kelb","كلب "
"redbone","","","kelb","كلب "
"polecat","","","sinjab","سنجاب"
"marmot","","","sinjab","سنجاب"
"kelpie","","","kelb","كلب "
"gibbon","","","9erd","قرد "
"llama","","","llama","اللاما "
"miniature_pinscher","","","kelb","كلب "
"wood_rabbit","","9nia","arnab","أرنب"
"Italian_greyhound","","","kelb","كلب "
"lion","sbe3","sb3","","سبع "
"cocker_spaniel","","","kelb","كلب "
"Irish_setter","","","kelb","كلب "
"dugong","","","fo9ma","فقمة"
"Indian_elephant","fil hindi","","fil","فيل "
"beaver","","","9ondous","قوندوس "
"Sussex_spaniel","","","kelb","كلب "
"Pembroke","","","kelb","كلب "
"Blenheim_spaniel","","","kelb","كلب "
"Madagascar_cat","","mch","mech","مش "
"Rhodesian_ridgeback","","","kelb","كلب "
"lynx","","","lynx","لانكس"
"African_hunting_dog","kelb dial SyaDa","","kelb","كلب "
"langur","","","9erd","قرد "
"Ibizan_hound","","","kelb","كلب "
"timber_wolf","","","dib","ديب "
"cheetah","","fahd","fehd","فهد "
"English_foxhound","","","kelb","كلب "
"briard","","","kelb","كلب "
"sloth_bear","","dob","doub","دب"
"Border_terrier","","","kelb","كلب "
"German_shepherd","berger allemand","","kelb","كلب "
"otter","","9ondos","9ondous","قوندوس "
"koala","koala","","koala","كوالا "
"tusker","","","fil","فيل "
"echidna","","9enfoud","guenfoud","ڭنفود"
"wallaby","","","kangaroo","كانڭارو "
"platypus*********","","","platypus","پلاتيپوس "
"wombat","","","sinjab","سنجاب"
"revolver","ferdi","kabous","","فردي "
"umbrella","mdella","mdel","","مضلة"
"schooner","","","bakhira","باخرة"
"soccer_ball","kora","","","كورة"
"accordion","accordeon","","","أكورديون"
"ant","nemla","nmla","","نملة"
"starfish","","nejma dial lma","njma dial lma","نجمة ديال لما"
"chambered_nautilus","","","bouzzroug","بوزّروڭ "
"grand_piano","piano kbir","","","پيانو كبير "
"laptop","pc portable","","","پيسي پورتابل"
"strawberry","friz","fraise","","فريز "
"airliner","","","tiyara","طيارة"
"warplane","","","tiyara","طيارة"
"airship","","","tiyara","طيارة"
"balloon","mintaD","","","منطاد"
"space_shuttle","saroukh","","","صاروخ"
"fireboat","bateau","baTo","","باتو "
"gondola","","","flouka","فلوكا "
"speedboat","","","zodiac","زودياك "
"lifeboat","","","flouka","فلوكا "
"canoe","","","flouka","فلوكا "
"yawl","","","bakhira","باخرة"
"catamaran","","","bakhira","باخرة"
"trimaran","","","bakhira","باخرة"
"container_ship","","","bakhira","باخرة"
"liner","","","bakhira","باخرة"
"pirate","9orSan","pirate","","قورصان "
"aircraft_carrier","7amilat Ta2irat","","","حاملات طائرات"
"submarine","ghawwaSa","","","غوّاصة"
"wreck","","","7oTam","حطام"
"half_track","","","Tengu","طنڭو "
"tank","","","Tengu","طنڭو "
"missile","saroukh","","","صاروخ"
"bobsled","","","bobsled","بوبسلد "
"dogsled","kerrouSa dial lklab","","","كرّوصا ديال لكلاب "
"bicycle-built-for-two","pikala dial jouj","bshkliT dial jouj","bisklit dial jouj","بيسكليت ديال جوج "
"mountain_bike","pikala dial jbel","bshkliT dial jouj","bisklit dial jbel","بيسكليت ديال جبل "
"freight_car","train dial sel3a","","","تران ديال سلعة"
"passenger_car","train dial lmosafirin","","","تران ديال المسافرين"
"barrow","berwita","","","برويتا "
"shopping_cart","chario","","","شاريو "
"motor_scooter","scouter","scooter","","سكوتر "
"forklift","rafi3a","","","رافيعا "
"electric_locomotive","9aTira dial DDo","","","قاطيرا ديال الضو "
"steam_locomotive","9aTira dial lbokhar","","","قاطيرا ديال لبوخار "
"amphibian","barma2i","","","برمائي"
"ambulance","labilance","labilans","","لابيلانس "
"beach_wagon","","chariot","chario","شاريو "
"cab","taxi","","","تاكسي"
"convertible","decapotable","","","دكاپوتابل "
"jeep","jeep","","","جيپ "
"limousine","limousine","limouzine","","ليموزين"
"minivan","minivan","mini van","","مينيڤان "
"Model_T","","tomobila 9dima","tomobil 9dima","توموبيل قديما "
"racer","","","tomobil dial siba9","توموبيل ديال سيباق "
"sports_car","tomobil dial siba9","tomobila dial siba9","","توموبيل ديال سيباق "
"go-kart","tomobil dial karting","tomobila dial karting","","توموبيل ديال كارتينڭ "
"golfcart","tomobil dial lgolf","tomobila dial lgolf","","توموبيل ديال لڭولف "
"moped","","","motor","موتور "
"snowplow","camio dial telj","","","كاميو ديال تلج "
"fire_engine","camio dial lbambia","","","كاميو ديال لبامبيا "
"garbage_truck","camio dial zbel","","","كاميو ديال زبل "
"pickup","pikop","pikob","pickup","پيكوپ"
"tow_truck","depannage","camio dial depannage","","دپانّاج"
"trailer_truck","rmouk","","","رموك "
"moving_van","camio dial r7il","","","كاميو ديال رحيل "
"police_van","laraf","","","لاراف "
"recreational_vehicle","caravane","","","كاراڤان "
"streetcar","Tram","","","طرام "
"snowmobile","motor dial telj","","","موتور ديال تلج "
"tractor","traktour","","","تراكتور "
"mobile_home","dar motana9illa","","","دار متنقلة"
"tricycle","pikala dial tlata trwayd","bisklit dial tlata trwayd","bshkliT dial tlata trwayd","بشكليط ديال تلاتا تروايد "
"unicycle","pikala dial rwida w7da","bisklit dial rwida w7da","bshkliT dial rwida w7da","بشكليط ديال رويدا وحدة"
"horse_cart","kerrouSa","","","كرّوصا "
"jinrikisha","kerrouSa","","","كرّوصا "
"oxcart","kerrouSa","","","كرّوصا "
"bassinet","namoussia dial drari sghar","","","ناموسّيا ديال دراري صغار "
"cradle","namoussia dial drari sghar","","","ناموسّيا ديال دراري صغار "
"crib","namoussia dial drari sghar","","","ناموسّيا ديال دراري صغار "
"four-poster","namoussia","","","ناموسّيا "
"bookcase","mektaba","","","مكتابة"
"china_cabinet","vitrina","","","ڤيترينا "
"medicine_chest","baliza dial dwa","","","باليزا ديال دوا "
"chiffonier","mario","","","ماريو "
"table_lamp","lamba","","","لامبا "
"file","mario","","","ماريو "
"park_bench","korsi dial jerda","","","كورسي ديال جردا "
"barber_chair","korsi dial l7ella9","korsi dial l7ejjam","","كورسي ديال لحلّاق "
"throne","3arsh","","","عرش"
"folding_chair","korsi","","","كورسي "
"rocking_chair","korsi","","","كورسي "
"studio_couch","fauteuil","","","فوتوي"
"toilet_seat","korsi dial TwaliT","","","كورسي ديال طواليط "
"desk","mekteb","","","مكتب "
"pool_table","tbla dial lbiyyar","","","طبلة ديال لبييّار"
"dining_table","salle a manger","","","صال أ مونجي"
"entertainment_center","markaz attarfih","","","مركز الترفيه"
"wardrobe","mario","","","ماريو "
"Granny_Smith","teffa7a","","","تفّاحة"
"orange","limona","","","ليمونة"
"lemon","7amDa","","","حامضة"
"fig","kermoussa","","","كرموسة"
"pineapple","ananaSa","","","أناناصة"
"banana","banana","","","بانانة"
"jackfruit","kakaya","","","كاكايا "
"custard_apple","teffa7a","","","تفّاحة"
"pomegranate","rommana","","","رمانة"
"acorn","bellouT","","","بلّوط "
"hip","fkheD","","","فخض "
"ear","wden","","","ودن "
"rapeseed","zeri3a","","","زريعا "
"corn","mzgour","","","مزڭور "
"buckeye","bellouT","","","بلّوط "
"organ","orgu","","","أُرڭو "
"upright","piano","","","پيانو "
"chime","jaras","","","جرس"
"drum","Tbl","","","طبل "
"gong","Tbl dial chinwa","","","طبل ديال شينوا "
"maraca","","","maraca","ماراكا "
"marimba","","","marimba","ماريمبا "
"steel_drum","Tbl dial l7did","","","طبل ديال لحديد "
"banjo","","","banjo","بانجو "
"cello","","","cello","تشيلو"
"violin","kamanja","","","كامانجا "
"harp","9ithara","","","قيتارة"
"acoustic_guitar","guitar acoustique","","","ڭيتار أكوستيك"
"electric_guitar","guitar electrique","","","ڭيتار إليكتريك"
"cornet","","","saxophone","ساكسوفون"
"French_horn","","","saxophone","ساكسوفون"
"trombone","","","saxophone","ساكسوفون"
"harmonica","harmonica","","","هارمونيكا "
"ocarina","","","ocarina","أُكارينا "
"panpipe","","","banbi","بانبي "
"bassoon","","","bassoon","باسّون "
"oboe","","","oboe","أُبو "
"sax","","","sax","ساكسوفون"
"flute","nay","","","ناي "
"daisy","","","werda","وردة"
"yellow_lady's_slipper","","","werda","وردة"
"cliff","jerf","","","جرف "
"valley","wad","","","واد "
"alp","jbel","","","جبل "
"volcano","borkan","","","بوركان "
"promontory","","","jerf","جرف "
"sandbar","remla","","","رملة"
"coral_reef","","","sho3ab marjania","شعب مرجانية"
"lakeside","plage dial lbo7ayra","","","پلاج ديال بحيرة"
"seashore","plage","","","پلاج"
"geyser","nafoura","","","نافورا "
"hatchet","fas","","","فاس "
"cleaver","saTor","","","ساطور "
"letter_opener","twichia li kat7el lbrawat","","","تويشيا لي كاتحل لبراوات "
"plane","","","mistara dial lbennay","ميستارا ديال لبنّاي "
"power_drill","chnyor","mit9aba","","شنيور "
"lawn_mower","makina dial lgazon","","","ماكينا ديال لڭازون "
"hammer","mTir9a","","","مطيرقا "
"corkscrew","","","tire-bouchon","تير-بوشون "
"can_opener","","","7ellala","حلّالة"
"plunger","ventouz","","","ڤنتوز "
"screwdriver","tournovis","","","تورنوڤيس "
"shovel","bala","","","بالة"
"plow","m7rat","","","محرات "
"chain_saw","menchar dial DDo","","","منشار ديال الضو "
"cock","ferrouj","","","فرّوج "
"hen","djaja","","","دجاجة"
"ostrich","n3ama","","","نعامة"
"brambling","","","twiyer","طويير"
"goldfinch","","","twiyer","طويير"
"house_finch","","","twiyer","طويير"
"junco","","","twiyer","طويير"
"indigo_bunting","","","twiyer","طويير"
"robin","","","twiyer","طويير"
"bulbul","bulbul","","","بولبول "
"jay","","","twiyer","طويير"
"magpie","","","twiyer","طويير"
"chickadee","","","twiyer","طويير"
"water_ouzel","","","twiyer","طويير"
"kite","","","twiyer","طويير"
"bald_eagle","","","nser","نسر "
"vulture","","","nser","نسر "
"great_grey_owl","mouka","","","موكا "
"black_grouse","","","twiyer","طويير"
"ptarmigan","","","twiyer","طويير"
"ruffed_grouse","","","twiyer","طويير"
"prairie_chicken","","","djaja","دجاجة"
"peacock","Taws","","","طاوس "
"quail","","","twiyer","طويير"
"partridge","","","twiyer","طويير"
"African_grey","","","babbagha2","ببّغاء "
"macaw","","","babbagha2","ببّغاء "
"sulphur-crested_cockatoo","","","twiyer","طويير"
"lorikeet","","","babbagha2","ببّغاء "
"coucal","","","twiyer","طويير"
"bee_eater","","","twiyer","طويير"
"hornbill","","","twiyer","طويير"
"hummingbird","","","twiyer","طويير"
"jacamar","","","twiyer","طويير"
"toucan","","","twiyer","طويير"
"drake","","","beTTa","بطّة"
"red-breasted_merganser","","","beTTa","بطّة"
"goose","","","wezza","وزّة"
"black_swan","","","wezza ke7la","وزّة كحلة"
"white_stork","le9la9 byed","","","لقلاق بيض"
"black_stork","le9la9 k7el","","","لقلاق كحل "
"spoonbill","","","twiyer","طويير"
"flamingo","","","twiyer","طويير"
"American_egret","","","twiyer","طويير"
"little_blue_heron","","","twiyer","طويير"
"bittern","","","twiyer","طويير"
"crane","","","twiyer","طويير"
"limpkin","","","twiyer","طويير"
"American_coot","","","twiyer","طويير"
"bustard","","","twiyer","طويير"
"ruddy_turnstone","","","twiyer","طويير"
"red-backed_sandpiper","","","twiyer","طويير"
"redshank","","","twiyer","طويير"
"dowitcher","","","twiyer","طويير"
"oystercatcher","","","twiyer","طويير"
"European_gallinule","","","twiyer","طويير"
"pelican","","","baja3a","بجعة"
"king_penguin","beTri9","","","بطريق "
"albatross","","","twiyer","طويير"
"great_white_shark","","","9irch 3imla9 byed","قرش عملاق بيض"
"tiger_shark","","","9irch","قرش"
"hammerhead","","","9irch","قرش"
"electric_ray","","","rraya","الرايا "
"stingray","","","rraya","الرايا "
"barracouta","","","7outa","حوتا "
"coho","","","saumon","سومون "
"tench","","","7outa","حوتا "
"goldfish","","","7outa","حوتا "
"eel","","","7ench dial lma","حنش ديال لما "
"rock_beauty","","","7outa","حوتا "
"anemone_fish","","","7outa","حوتا "
"lionfish","","","7outa","حوتا "
"puffer","","","7outa","حوتا "
"sturgeon","","","7outa","حوتا "
"gar","","","7outa","حوتا "
"loggerhead","","","fekron dial lma","فكرون ديال لما "
"leatherback_turtle","","","fekron dial lma","فكرون ديال لما "
"mud_turtle","","","fekroun","فكرون "
"terrapin","","","fekroun","فكرون "
"box_turtle","","","fekroun","فكرون "
"banded_gecko","","","ti9lit","تيقليت "
"common_iguana","","","ti9lit","تيقليت "
"American_chameleon","","","ti9lit","تيقليت "
"whiptail","","","ti9lit","تيقليت "
"agama","","","ti9lit","تيقليت "
"frilled_lizard","","","ti9lit","تيقليت "
"alligator_lizard","","","ti9lit","تيقليت "
"Gila_monster","","","ti9lit","تيقليت "
"green_lizard","","","ti9lit","تيقليت "
"African_chameleon","","","ti9lit","تيقليت "
"Komodo_dragon","","","timsa7","تمساح"
"triceratops","","","DaynaSor","ديناصور"
"African_crocodile","","","timsa7","تمساح"
"American_alligator","","","timsa7","تمساح"
"thunder_snake","","","7ench","حنش "
"ringneck_snake","","","7ench","حنش "
"hognose_snake","","","7ench","حنش "
"green_snake","","","7ench","حنش "
"king_snake","","","7ench","حنش "
"garter_snake","","","7ench","حنش "
"water_snake","","","7ench","حنش "
"vine_snake","","","7ench","حنش "
"night_snake","","","7ench","حنش "
"boa_constrictor","","","7ench","حنش "
"rock_python","","","7ench","حنش "
"Indian_cobra","","","cobra","كوبرا "
"green_mamba","","","7ench","حنش "
"sea_snake","","","7ench","حنش "
"horned_viper","","","lef3a","لفعة"
"diamondback","","","lef3a","لفعة"
"sidewinder","","","lef3a","لفعة"
"European_fire_salamander","","","ti9lit","تيقليت "
"common_newt","","","ti9lit","تيقليت "
"eft","","","ti9lit","تيقليت "
"spotted_salamander","","","ti9lit","تيقليت "
"axolotl","","","axolotl","أكسولوتل"
"bullfrog","","","jrana","جرانا "
"tree_frogdarija","","","jrana","جرانا "
"tailed_frog","tailed_frog (jrana)","","","تايلد_فروڭ (جرانا) "
"whistle","Sffara","","","صفّارا "
"wing","jna7","","","جناح "
"paintbrush","chita t rrasm","","","شيتا ت الراسم "
"hand_blower","sichwar","chichwar","sechoir","سشوار"
"oxygen_mask","mask tl oxygen","","","ماسك تل أُكسيجين"
"snorkel","onboub t ttanffous","","","أُنبوب ت التنفّس"
"loudspeaker","Baaf","baf","","باف "
"microphone","mikro","micro","","ميكرو "
"screen","chaacha","chacha","","شاشة"
"mouse","fara","far","","فارة"
"electric_fan","frfara t DDo","","","فرفارة ت الضو"
"oil_filter","filtr t zzit","filter t zzit","","فيلتر ت الزيت "
"strainer","Sffaya","Seffaya","","صفّايا "
"space_heater","chofaj","","","شوفاج "
"stove","boTa","bouTa","","بوطا "
"guillotine","mi9Sala","","","مقصلة"
"barometer","baromitr","barometre","","باروميتر "
"rule","misTara","","","ميسطارة"
"odometer","kountour t ssor3a","kontour","","كونتور ت السورعة"
"scale","mizan","","","ميزان "
"analog_clock","magana","","","ماڭانة"
"digital_clock","magana r9mia","","","ماڭانة رقمية"
"wall_clock","magana t l7iT","","","ماڭانة ت لحيط"
"hourglass","magana t rrmla","","","ماڭانة ت الرملة"
"sundial","magana t chmch","","","ماڭانة ت شمش"
"parking_meter","makina t lparking","","","ماكينة ت لپاركينڭ"
"stopwatch","krono","","","كرونو "
"digital_watch","sa3a r9mia","","","ساعة رقمية"
"stethoscope","smma3a t Tbib","","","سمّاعة ت طبيب"
"syringe","nfta7a","nefta7a","","نفتاحة"
"magnetic_compass","bawSala","bouSala","","باوصالا"
"binoculars","minDaar","","","مينضار "
"projector","projiktour","","","پروجيكتور "
"sunglasses","nDaDr t chmch","","","نضاضر ت شمش "
"loupe","mokbbira","","","مكبّيرة"
"radio_telescope","telescop radio","","","تلسكوپ راديو "
"bow","9aws","","","قوس"
"cannon","mdfe3","medfe3","madfa3","مدفع"
"assault_rifle","mk7la","","","مكحلة"
"rifle","mk7la","","","مكحلة"
"projectile","9adyfa","9adifa","","قديفة"
"computer_keyboard","klavi t pc","","","كلاڤي ت پيسي"
"typewriter_keyboard","2ala kaatiba","","","ألة كاتبة"
"crane","grouwa","grwa","grwwa","ڭروّة"
"lighter","brika","","","بريكة"
"abacus","mi3daad","","","معداد"
"cash_machine","giche","guiche","gichi","ڭيشي "
"slide_rule","misTara tatzll9","","","ميسطارا تاتزلّق "
"desktop_computer","pc fix","","","پيسي فيكس"
"hand-held_computer","makina t lidd","","","ماكينا ت ليدّ "
"notebook","dftar","deftar","daftar","دفتر"
"web_site","maw9i3 electroni","","","موقع إلكتروني"
"harvester","makina t l7Sad","","","ماكينا ت لحصاد "
"thresher","makina t ddras","","","ماكينا ت الدراس "
"printer","imprimante","","","إمپريمانت "
"slot","makina t l9mr","","","ماكينا ت لقمر "
"vending_machine","makina t lbi3","","","ماكينا ت لبيع "
"sewing_machine","makina t lkhyaTa","","","ماكينا ت لخياطا "
"joystick","3Sa t ta7kkom","","","عصا ت تحكّم"
"switch","sarout t DDo","","","ساروت ت الضو "
"hook","Snnara","","","صنّارة"
"car_wheel","rwiDa t Tomobil","","","رويضا ت طوموبيل "
"paddlewheel","naa3ora","","","ناعورة"
"pinwheel","frfara","","","فرفارة"
"potter_s_wheel","rwiDa t lf55ar","","","رويضا ت لفخّار "
"gas_pump","bomba t liSanS","","","بومبا ت ليصانص "
"carousel","l3ba t ddowwara","","","لعبة ت الدوّارة"
"swing","z3loula","","","زعلولة"
"reel","bkkara","","","بكّارة"
"radiator","mobrrid","","","مبرّد"
"puck","9orS","","","قرص"
"hard_disc","disk dur","","","ديسك دير"
"sunglass","nDDara t chmch","","","نضّارة ت شمش"
"pick","fas","","","فاس "
"car_mirror","mraya t ttomobil","","","مرايا ت الطوموبيل"
"solar_dish","Sa7n t chmch","","","صحن ت شمش"
"remote_control","tilikomond","","","تيليكوموند "
"disk_brake","ddisk t lfran","","","الديسك ت لفران "
"buckle","bzim t smTa","","","بزيم ت سمطة"
"hair_slide","m9bT t ch3er","","","مقبط ت شعر "
"knot","3ogda","3gda","3o9da","عقدة"
"combination_lock","9fel r9mi","","","قفل رقمي "
"padlock","9fel","","","قفل "
"nail","msmar","","","مسمار "
"safety_pin","filil","filoul","","فيليل "
"screw","vis","vys","","ڤيس "
"muzzle","kmmama","","","كمّامة"
"seat_belt","SmTa t lkorsi","","","صمطة ت لكورسي"
"ski","ski","","","سكي "
"candle","chm3a","chem3a","cham3a","شمعة"
"jack-o-lantern","gr3a t halloween","","","ڭرعا ت هالّووين "
"spotlight","tSlit DDaw2","","","تسليط الضوء"
"torch","ppil","","","الپيل "
"neck_brace","da3ama tl 3ong","","","دعامة تل عنڭ"
"pier","Tri9 f lb7r","","","طريق ف لبحر "
"tripod","tolaati l9awa2im","","","تلاتي القوائم"
"maypole","3amoud t chTi7","","","عمود ت شطيح"
"mousetrap","mSyda t lfiran","","","مصيدا ت لفيران "
"spider_web","chbka t l3ankabout","","","شبكا ت لعنكبوت"
"trilobite","tolaatiat l foSouS","","","تلاتية الفصوص"
"harvestman","harvestman (3ankabout)","","","هارڤستمان (عنكبوت)"
"scorpion","3grba","","","عڭربة"
"black_and_gold_garden_spider","black_and_gold_garden_spider (3ankabout)","","","بلاكك_اند_ڭولد_ڭاردن_سپيدر (عنكبوت)"
"barn_spider","barn_spider (3ankabout)","","","بارن_سپيدر (عنكبوت)"
"garden_spider","garden_spider (3ankabout)","","","ڭاردن_سپيدر (عنكبوت)"
"black_widow","black_widow (3ankabout)","","","بلاكك_ويدوو (عنكبوت)"
"tarantula","rtila","","","رتيلة"
"wolf_spider","wolf_spider (3ankabout)","","","وولف_سپيدر (عنكبوت)"
"tick","grad","","","ڭراد "
"centipede","omm l2arba3a w l2arba3in","","","أُمّ لأرباعا و لأرباعين "
"isopod","motasawi l arjoul (7achara)","","","متساوي ل أرجل (حشرة)"
"Dungeness_crab","boujniba Dungeness","","boujniba","بوجنيبة"
"rock_crab","boujniba t SSkhra","","boujniba","بوجنيبة"
"fiddler_crab","boujniba lkwamanji","","boujniba","بوجنيبة"
"king_crab","boujniba lmalik","","boujniba","بوجنيبة"
"American_lobster","karkand 2amriki","","","كاركاند أمريكي "
"spiny_lobster","karkand chaouki","","","كاركاند شوكي"
"crayfish","jaraad lba7r","","","جراد لبحر"
"hermit_crab","boujniba lf9i8","","boujniba","بوجنيبة"
"tiger_beetle","khnfousa t nnmer","","khnfousa","خنفوسة"
"ladybug","d3sou9a","","","دعسوقة"
