english,darija,darija_ar
"Yes, thank you very much for your advice.","ah, chokran bzzaf 3la nnaSi7a dyalk.","أه, شوكران بزّاف علا الناصيحا ديالك. "
I do think that could be a solution,tanDenn anna hadchi i9dr ikon 7ell,تانضنّ أنّا هادشي إقدر إكون حلّ 
or at least a step in the right direction,olla 3ll a9all khTwa fl ittija8 SSa7i7,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح 
I'm sorry,kan3tader,كانعتادر 
we don't know much about them,makan3rfoch 3lihom bzzaf,ماكانعرفوش عليهوم بزّاف 
Are there any other managers on her level,wach kaynin modirat khrin fnfs lmostawa dyal8a,واش كاينين موديرات خرين فنفس لموستاوا ديالها 
do you know people you can talk to easily?,wach kat3rfi nas imkn t8Dri m3ahom bso8oula,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا 
I'd say yes,kangoul ah,كانڭول أه 
"Ah yes, that is a lot of people","wayeeh, bzzaf dyal nnas","واييه, بزّاف ديال الناس "
We're about 50.,7na chi 50,حنا شي 50 
we were about twenty people,knna chi 3chrin wa7d,كنّا شي عشرين واحد 
maybe one of them,imken chi wahd fihoum,إمكن شي واهد فيهوم 
I see!,m39oula,معقولا 
but I don't have anything to celebrate,walakin ana ma3ndi tta 7aja n7tafl biha,والاكين أنا ماعندي التا حاجا نحتافل بيها 
I'm just an employee among others,ana rah ghir wa7d mn lkhddama,أنا راه غير واحد من لخدّاما 
I agree with you,mttaf9 m3ak,متّافق معاك 
if one of the team-members has something to say,ala kan chi wahd mn lfr9a 3ndo chi haja maygoul,ألا كان شي واهد من لفرقا عندو شي هاجا مايڭول 
you could suggest it at lunchtime,imkn lik t9tar7ha f w9itt lghda,إمكن ليك تقتارحها ف وقيتّ لغدا 
this is an excellent way to improve work relationships,hadi Tari9a ra2i3a bach t7ssen l3ala9at tlkhdma,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما 
"But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.","walakin hia matatchrebch l98wa, o matatkmich, dakchi 3lach katgles fl biro.","والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو. "
It's a shame,7chouma,حشوما 
"if we have a good reason to talk to her, she's always ready to talk.","ala 3ndna sabab m39oul bach n8Dro m3aha, hia rah dima msta3dda t8Der.","ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر. "
"Literally, his door is locked.","7rfyyan, lbab dyalo msdoud","حرفيّان, لباب ديالو مسدود "
what do you think?,ach ballik?,أش بالّيك? 
one or two of you could discuss this situation with her,wa7d olla joj mnnkom i9dr ina9ch m3aha had lms2ala,واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا 
she does not have enough confidence in the team,ma3ndhach ti9a kafia fl fer9a,ماعندهاش تيقا كافيا فل فرقا 
"All right, I'll try to discuss it discreetly","Safi, daba n7awel nna9ch8a bla man3yye9","صافي, دابا نحاول الناقشها بلا مانعيّق "
Do you think I should take a vacation?,tayban lik khess nchedd 3oTla?,تايبان ليك خسّ نشدّ عوطلا? 
May I suggest you speak to you colleagues,momkin n9tar7 3lik t8Der m3a nnas lli khddamin m3ak,مومكين نقتارح عليك تهضر معا الناس اللي خدّامين معاك 
What do I do?,ach ghandir?,أش غاندير? 
This is very common and nothing to worry about.,hadchi 3adi w tta haja makat9elle9,هادشي عادي و التا هاجا ماكاتقلّق 
the pressure has indeed affected your general emotional state,DDaghT blfi3l 2etter 3la l7ala l3aTifia l3amma dyalk,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك 
"ok, I get it.","Safi, fhmtek.","صافي, فهمتك. "
"Yeah, probably.","ah, ghaaliban","أه, غاليبان "
Yes but the translation was wrong,ah walakin tterjama kant ghalTa,أه والاكين الترجاما كانت غالطا 
Do you feel she herself is under pressure from her director?,wach kayballik anna8a hia t7t DDaghT mn lmoudir dyalha?,واش كايبالّيك أنّاها هيا تحت الضاغط من لمودير ديالها? 
I admire him very much.,kay3jbni bzzaf.,كايعجبني بزّاف. 
Maybe she is constantly worried about not meeting her targets.,imkn hia dima khayfa mat7e99e9ch l a8daf dyalha.,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها. 
Do you have colleagues who feel stressed like you?,wach nnas lli khddamin m3ak tay7sso bttawttor b7alek?,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك? 
Is your boss a lady or a man?,chef dyalk mra olla rajl?,شف ديالك مرا أُلّا راجل? 
I think we're all stressed and at the same time all admire her.,tayballia 7na kollna mstressyin w fnfs lw9t kollna tat3jebna.,تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا. 
"A lady, I think.","mra, tayballia","مرا, تايبالّيا "
"I told you, it's a woman.","gltha lik, rah mra.","ڭلتها ليك, راه مرا. "
Very beautiful,zwina bzzaf,زوينا بزّاف 
But his reviews are always justified.,walakin lmola7aDat dyalo dima mberrerin.,والاكين لمولاحاضات ديالو ديما مبرّرين. 
when I'm running a little late or I don't do whatever she wants,fach tankon m3TTel chwia olla matandirch chi haja bghat8a,فاش تانكون معطّل شويا أُلّا ماتانديرش شي هاجا بغاتها 
I hit my targets.,799e9t l a8daf dyali.,حقّقت ل أهداف ديالي. 
"I work a lot, which allows me to do my job properly.","tankhdm bzzaf, dakchi lli taykhllini ndir khdmti mzyan.","تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان. "
"Tell me, are you able to do your work with confidence?","gollia, wach nta 9add tdir khdmtk bkoll ti9a?","ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا? "
do you feel unable to reach the expected targets?,wach kat7ess brask ma9addch tossel l a8daf lli 3wwlti 3liha?,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها? 
I'm talking about the manager of my department,tan8Der 3la lmoudir dyal lmSla7a dyali,تانهضر علا لمودير ديال لمصلاحا ديالي 
"Yes, it is.","ah, kayna.","أه, كاينا. "
She doesn't tolerate mediocrity.,makattsame7ch m3a lbsala,ماكاتّسامحش معا لبسالا 
"Yes, sir.",ayeh amoulay,أيه أمولاي 
Are there any women around you that you find difficult to deal with?,wach kaynin chi 3yalat dayrin bik lli S3ib 3lik tt3aml m3ahom?,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم? 
in your work or elsewhere,flkhdma dyalk olla 3la brra,فلخدما ديالك أُلّا علا برّا 
"Yes, I understand.","ah, fhemtek.","أه, فهمتك. "
"No, nothing special, I think.","lla, tta haja maghriba, fnaDari.","اللا, التا هاجا ماغريبا, فناضاري. "
Have you had any unusual or unpleasant experiences recently?,wach dwwzti chi tajarib ma3adyyach olla fchkel mo2kharan?,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران? 
things that you feel may have been caused by something you did,chi 7wayj lli kat7ess i9dr ikono bsbab chi haja drtiha,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي هاجا درتيها 
Of course not.,Tab3an lla.,طابعان اللا. 
You think I'm going crazy?,kayballik ana kan7ma9?,كايبالّيك أنا كانحماق? 
"No, no one I recognize.","lla, tta wahd makan3arfo.","اللا, التا واهد ماكانعارفو. "
"Your sister, your mother, a friend?","khtek, lwalida dyalk, chi Sadi9?","ختك, لواليدا ديالك, شي صاديق? "
Can you recognize anybody you know?,t9der tjbed chi wahd kat3arfo?,تقدر تجبد شي واهد كاتعارفو? 
Is it always the same voice?,dima nefs SSout?,ديما نفس الصوت? 
"Often, it's to criticize me.","ghaliban, bach inta9doni","غاليبان, باش إنتاقدوني "
A female voice who sometimes comment on what I'm doing.,Sout dyal l3yalat hoa li mrra mrra kay3elle9 3la dakchi lli kandir.,صوت ديال لعيالات هوا لي مرّا مرّا كايعلّق علا داكشي اللي كاندير. 
"For a few months, sometimes I feel like I hear a voice talking in my head.","chi ch8oura hado, b3d lmrrat kan7ess b7al ala kansme3 chi Sout kayhder fost rasi","شي شهورا هادو, بعد لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهدر فوست راسي "
I'm here to see you because I don't understand what's happening to me,ana 8na bach nchoufk 7it makanf8emch ach kayo93 lia,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا 
How may I assist you?,kifach n9der n3awnek?,كيفاش نقدر نعاونك? 
I believe this is the first time we have met.,kanDenn hadi awwal mrra kantla9aw.,كانضنّ هادي أوّال مرّا كانتلاقاو. 
Good-bye,bslama,بسلاما 
Feel free to come back if you still have questions.,3awd douz ala ba9i 3ndk chi as2ila.,عاود دوز ألا باقي عندك شي أسإلا. 
You're welcome.,mr7ba.,مرحبا. 
I'll send it over to you as soon as it's finished.,daba nSiftha lik o9tmma kmlat.,دابا نصيفتها ليك أُقتمّا كملات. 
Good luck.,Layesser.,لايسّر. 
Perfect.,naDi.,ناضي. 
I promise.,kanwa3dek.,كانواعدك. 
But you must respect that new deadline,walakin khssk t7tarm had lw9t jjdid,والاكين خسّك تحتارم هاد لوقت الجديد 
"Would it be possible for you to give me an extension to the deadline, say another two weeks?","wach momkin lik tzidni chwia tlwe9t, goul chi joj simanat hakkak?","واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك? "
2000 words,2000 klma,2000 كلما 
How many words is a short paragraph?,ch7al mn klma fchi f9ra Sghira?,شحال من كلما فشي فقرا صغيرا? 
"This is really helping me think through what I need to write, thank you.","hadchi SSara7a kay3awnni nfkker f ach khssni nkteb, lay7fdek","هادشي الصاراحا كايعاونّي نفكّر ف أش خسّني نكتب, لايحفدك "
What happened back then?,ach w9e3 fdak lwe9t?,أش وقع فداك لوقت? 
Do I present the essay as factual or do I take a political view point?,wach n9ddem lma9al 3la annaho waa9i3i olla nakhod wij8at naDar siyasia?,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا? 
That could be interesting.,hadchi tayban mo8imm.,هادشي تايبان موهيمّ. 
I've just checked that date on Google,yallah cheft ttarikh f Google,يالّاه شفت التاريخ ف ڭوڭل 
"Ah, ok.","ah, wakha.","أه, واخا. "
So the first thing you do is choose.,idan awwal haja ddirha hia tkhtar,إدان أوّال هاجا الديرها هيا تختار 
This one may be historic,hadi t9dr tkon taarikhia,هادي تقدر تكون تاريخيا 
we're hearing a lot about it right now,tansm3o 3lih bzzaf daba,تانسمعو عليه بزّاف دابا 
But there are so many options to choose from.,walakin rah kaynin 3rram tlkhtyarat lli tkhtar mnnhom.,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم. 
you have to start by asking about it,khssk tbda b3da tsowwel 3lih,خسّك تبدا بعدا تسووّل عليه 
explain and define the field,fsser o 3erref lmaydan,فسّر أُ عرّف لمايدان 
it's up to you to define it.,nta li khssek t3errfo.,نتا لي خسّك تعرّفو. 
Are we talking about British or French politics?,wach tan8Dro 3la ssyasa lbriTania ola lfransawia?,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا? 
I've been asked to write an essay on politics but I don't know where to start,ttgal lia nkteb wahd lma9al 3la ssyasa walakin ma3rftch mnin nbda,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا 
Can you explain what you don't understand?,momkin tchre7 chno lli mafhemtich?,مومكين تشرح شنو اللي مافهمتيش? 
I've been told that I can't drive,ttgal lia annaho maymknch nSoug,التڭال ليا أنّاهو مايمكنش نصوڭ 
We're going back to work together,ghankhdmo mjmou3in,غانخدمو مجموعين 
"Well, that's okay","Safi, chi bas makayn","صافي, شي باس ماكاين "
I've really struggled to understand what it is I have to do,wa tkerfeSt blm39oul bach nfhem ach khssni ndir,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير 
"Hi, I'm sorry my homework is late","salam, sme7 lia 3TTelt tamarin dyali","سالام, سمح ليا عطّلت تامارين ديالي "
Carry on -I have to go now.,kmmel -khessni nmchi daba.,كمّل -خسّني نمشي دابا. 
It's early!,ba9i l7al!,باقي لحال! 
"Oh, I think the first guests are coming","Oh, tayballia DDyaf llowlin jayyin","أُه, تايبالّيا الضياف اللوولين جايّين "
"Yes, sir.",ayeh amoulay.,أيه أمولاي. 
"Don't worry, but make sure you know what's what tomorrow","kon hani, walakin ti99en annak 3arf chno kayn ghedda","كون هاني, والاكين تيقّن أنّاك عارف شنو كاين غدّا "
"Yes, sorry.","ah, ssmou7at.","أه, السموحات. "
You will have to get to know the kitchen better or you will slow us all down,ghaykhssek t3ref lkouzina mzyan olla ghat3TTlna kamlin,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين 
I believe this is the first time we've used this thing,kayballia hadi hia lmerra llowla li khddmna fiha had ll3iba,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا 
I don't know the location of all the ingredients yet,ana ma3arefch lblasa dyal ga3 lma9adir 7ttal daba,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا 
"Oh, sorry","a7, smou7at","أح, سموحات "
I can't find it!,ma9dertch nl9ah!,ماقدرتش نلقاه! 
"Yes, sir, no problem.","wakha amoulay, makaynch lmouchkil.","واخا أمولاي, ماكاينش لموشكيل. "
you thought it was over,S7ablik salina,صحابليك سالينا 
I can peel the potatoes.,n9der n9echcher bTaTa.,نقدر نقشّر بطاطا. 
It makes me hungry!,kayjib lia jjou3!,كايجيب ليا الجوع! 
Excellent.,ra2i3.,راإع. 
I'll go to Tangier,ghanmchi l Tanja,غانمشي ل طانجا 
What about the other one?,ach ballik flakhor?,أش بالّيك فلاخور? 
That should be good.,hadchi kayban mzyan.,هادشي كايبان مزيان. 
Please remember to clear away after you have finished,3afak matnsach tn99i lblaSa mora matsali,عافاك ماتنساش تنقّي لبلاصا مورا ماتسالي 
That's fine,makayn bas,ماكاين باس 
"I'll start with the fennel, it takes longer","ghanbda bl bsbas, kayakhod lwe9t","غانبدا بل بسباس, كاياخود لوقت "
may God have mercy on your parents,allah ir7m lik lwalidin,الله إرحم ليك لواليدين 
may God protect your loved ones,lah ikhelli lik ma3zz 3lik,الله إخلّي ليك ماعزّ عليك 
God help you,llah i3awnek,اللاه إعاونك 
"Yeah, no problem.","ah, makayn tta mochkil.","أه, ماكاين التا موشكيل. "
Could you start chopping the vegetables please,wakha tbda t9TTe3 lkhDra 3afak,واخا تبدا تقطّع لخضرا عافاك 
I'm fine.,ana bikhir.,أنا بيخير. 
"They're different sizes, colors and flavor",homa mkhtalfin fl9edd o flloun o flmada9,هوما مختالفين فلقدّ أُ فلّون أُ فلماداق 
I came with these tomatoes that I found at the market this morning,jbt had maTicha lli l9it f ssou9 had Sba7,جبت هاد ماطيشا اللي لقيت ف السوق هاد صباح 
How are you tonight?,kidayr had llila?,كيداير هاد الليلا? 
"Good morning, sir.",Lah is3d SSaba7 a chrif.,الله إسعد الصاباح أ شريف. 
let's jump and celebrate our victory,yalah nn9zo on7taflo b rrbe7 dyalna,يالاه النقزو أُنحتافلو ب الربح ديالنا 
If we survive maybe we can get back home early,ala b9ina 3aychin imkn nrj3o lddar bkri,ألا بقينا عايشين إمكن نرجعو لدّار بكري 
"Okay, you convinced me",Safi 9ne3tini,صافي قنعتيني 
Grab the bottle in your other hand,hezz l9er3a flidd lokhra,هزّ لقرعا فليدّ لوخرا 
Forget about the children it is too late for them,nsa 3lik ddrari rah mcha 3lihoum l7al,نسا عليك الدراري راه مشا عليهوم لحال 
The only thing I'm asking you to do is keep the bottle of red,l7aja lwa7ida li kanTlb mnnek tdirha hia tchedd l9r3a t rrouj,لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج 
"Go, take two young children with you, jump, I stay here","sir, ddi m3ak joj bra8ch, n99ez, ana ghanb9a 8na","سير, الدي معاك جوج براهش, نقّز, أنا غانبقا هنا "
It's terrifying,hadchi taykhle3,هادشي تايخلع 
I feel very good,kan7ess brasi biikhir,كانحسّ براسي بيّخير 
What?,chnahoa?,شناهوا? 
Can you feel that?,wach kat7ess bih?,واش كاتحسّ بيه? 
"Besides, I'm sure there are people who deserve more than me not to die",3ad zid ana mt2ekked kaynin nas kaysta799o kter mnni annahom maymoutouch,عاد زيد أنا متءكّد كاينين ناس كايستاحقّو كتر منّي أنّاهوم مايموتوش 
Let me check the parachute to see if it is capable to hold two people,bllati n9lleb l parachute wach gadd i8ezz joj tnnas,بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس 
"And frankly, do you think they'll open the plane doors and let us jump?","w Sara7atan, wach katDenn ghay7ello lbiban t Tyyara wikhlliwna nne99zo?","و صاراحاتان, واش كاتضنّ غايحلّو لبيبان ت طيّارا ويخلّيونا النقّزو? "
Now isn't the time for such questions,daba machi lwe9t dyal b7al had l as2ila,دابا ماشي لوقت ديال بحال هاد ل أسإلا 
We're gonna land in Pakistan,ghannzlo f Pakistan,غانّزلو ف پاكيستان 
"But, wait!","walakin, bllati!","والاكين, بلّاتي! "
Can it carry two people?,wach imken i8ezz joj tnnas?,واش إمكن إهزّ جوج تنّاس? 
Are you sure?,wach mti99en?,واش متيقّن? 
But why are you walking around with a parachute on you?,walakin malk katmechcha o labs l parachute?,والاكين مالك كاتمشّا أُ لابس ل پاراشوت? 
Hug me close and we can land safely together,3nne9ni mzyan o rah ghan8bTo bisalam mjmou3in,عنّقني مزيان أُ راه غانهبطو بيسالام مجموعين 
We did have a chance if we crashed into the ocean,kant 3ndna forSa kon T7na flb7er,كانت عندنا فورصا كون طحنا فلبحر 
oh what is this,ahya ach hadchi,أهيا أش هادشي 
"You know, from where we fall, it doesn't make much difference","3rfti chno, mn lblaSa mnach T7na, makaynch chi fr9 kbir","عرفتي شنو, من لبلاصا مناش طحنا, ماكاينش شي فرق كبير "
"There is no ocean below us, only Pakistan","makayn tta b7er t7t mnna, hir Pakistan","ماكاين التا بحر تحت منّا, هير پاكيستان "
We'll talk about our crash in the newspapers,ghan8Dro 3la lksida dyalna fl jara2id,غانهضرو علا لكسيدا ديالنا فل جاراإد 
right?,yak?,ياك? 
"But you know we don't have a chance, right?","walakin 3rfti ma3ndach chi forSa, yak?","والاكين عرفتي ماعنداش شي فورصا, ياك? "
If we survive I'm going to make a complaint to the airline,ala njina ghadi ndir chikaya l charika t Tayaran,ألا نجينا غادي ندير شيكايا ل شاريكا ت طاياران 
If we are going to die,ala kenna ghanmoutou,ألا كنّا غانموتو 
But drinking is probably a good idea,walakin chchrab imken fikra mzyana,والاكين الشراب إمكن فيكرا مزيانا 
"I'm like most people, I don't believe in God except five minutes from the end","ana b7al bzzaf tnnas, makan2amen b Lah illa khmsa tdd9ay9 9bl nni8aya","أنا بحال بزّاف تنّاس, ماكانأمن ب الله إلّا خمسا تدّقايق قبل النيهايا "
Shall we pray together,wach nSelliw mjmou3in,واش نصلّيو مجموعين 
Do you believe in god?,wach kat2amen b Lah,واش كاتأمن ب الله 
"At least it'll probably be instant, no pain, right?","3ell a9all ghatkon blkheff, bla Sda3, safi?","علّ أقالّ غاتكون بلخفّ, بلا صداع, سافي? "
I'm gonna turn my phone back on,ghan3awd nch3el tilifoni 3awtani,غانعاود نشعل تيليفوني عاوتاني 
I will tell them I love them,ghangollihom rah tan7bb8om,غانڭولّيهوم راه تانحبّهوم 
Or are you just saying that to make fun of me?,olla tatgoul dakchi hir bach tD7ek 3lia?,أُلّا تاتڭول داكشي هير باش تضحك عليا? 
You really think so?,wach bSSe7 katfkker hakka?,واش بصّح كاتفكّر هاكّا? 
"Oh, my God, that's horrible",nari hadchi kaykhle3,ناري هادشي كايخلع 
I don't want to scare you but I think we may be about to plummet to our death,mabghitch khl3kom walakin tayballia 7na imkn ghadyin ll8awia,مابغيتش خلعكوم والاكين تايبالّيا حنا إمكن غاديين اللهاويا 
"I'm sorry to bother you with this, but I'm really scared","ssmou7at tanbrzTk, walakin ana rah mkhlou3 bSS7","السموحات تانبرزطك, والاكين أنا راه مخلوع بصّح "
"I don't know anything about airplanes, but I'm terrified every time I fly",matanfhem tta zfta f TTyyarat walakin kantkhl3 kolla mrra tanTir f ssma,ماتانفهم التا زفتا ف الطيّارات والاكين كانتخلع كولّا مرّا تانطير ف السما 
"Yes, it is weird, it sounds like the engine is failing","wayeeh, fchkel, tayban b7ala lmoTour khasr","واييه, فشكل, تايبان بحالا لموطور خاسر "
I can also hear a lady screaming,tansm3 7tta chi mra katghowwet,تانسمع حتّا شي مرا كاتغووّت 
