"english","darija"
"It's a bit embarrassing, but I've never been any good at my times tables...","7chmt chwia, walakin ma3mrni kent kan3rf mezian l jadawil Darb"
"The multiplication tables?","jadawil DDarb?"
"Yeah, I know it's stupid.","ayeh, 3reft fchkel had l9adia"
"But my teacher back in school used to spend all her time knitting in class and would never explain anything properly.","walakin l ostada diali dik lw9t kant kadowwez lw9ta dialha kaml katkhiyyet fl9ism o ma3mrha cher7at lina chi 7aja"
"And now, years later, look where I am!","o daba, ch7al men 3am men b3d, chouf fine ana!"
"So we'll take a little time every day of the next week to review tables.","idan ghadi nakhdo chwia dial lw9t kolla nhar ssimana ajjayya bach nraj3o jadawil darb"
"What other parts of the program seem to be difficult?","achmen 7wayj khrin fl mo9errar kayjiwk S3ab?"
"You would do that for me?","tbghi dir hadchi m3aya?"
"Wow, you're the first teacher who's ever done anything nice for me!","wow, nta awwal ostad li kaydir m3aya chi 7aja meziana!"
"I do struggle with French too...","3ndi mochkil m3a lfronsi tahia!"
"I just can't get the grammar.","ma3mer batfhm lia dik lgrammir"
"My teacher keeps telling me that I sound like I'm translating word by word.","lostad diali dima kaygoulia annani kanhder b7ala kanterjem kelma b kelma"
"Which is sort of true...","o hadchi kayn sara7a..."
"Maybe you can use a computer translator to help you?","jerrebti tst3ml chi program dial terjama fl pissi bach y3awn?"
"There's some more advanced software in the field.","kaynin chi programat mjehdin f had Domin"
"Isn't that cheating?","wach machi ghech hada?"
"They might notice if I bring my laptop to the exam.","rah ghadi y3i9o bia ila jebt m3aya l pissi llmti7an"
"And you?","o nta?"
"What brings you here?","achno lli jabk hna?"
"Hello, yes it's a lovely day.","Salam, ayeh lyouma ljow zwin"
"I work from home and it's nice to get out and be with people as it's quite lonely not seeing anyone all day.","kankhdem men ddar o mezian lwa7d ykhrj ytla9a m3a bnadm 7it ka2iba matchouf tawa7d nhar kaml."
"That's for sure!","hadi mafiha chek!"
"What do you do for a living?","ach kaddir fl7ayat?"
"My favourite water bird is the swan.","a7san Tir dial lma 3ndi howa lwez"
"They're nesting over there and it looks as if the babies will hatch out soon.","rahom m3echchechin hna o ban lia 9rib ykhrjo lfrakh dialhom men lbiD"
"I'm a journalist, so a very solitary profession.","ana Sa7afi, mihna w7dania bezzaf."
"I prefer ducks, I think that swans can be mean.","ana kanfeDDel lbeT, lwez chi merrat kaykon 9bi7"
"But it's true that babies are cute.","walakin bessa7 lfrakh zwinin"
"Yes the swans can be quite aggressive.","wayeh, lwez kaykono 9ba7 chi merrat"
"The ducks are pretty, particularly the males.","lbeT zwinin, khoSoSan ddkora"
"What do you do for a living?","ach kaddir fl7ayat?"
"Journalist, must be a tough job, huh?","Sa7afi, atkon khdma s3iba, yak?"
"The advantage is freedom.","lavantaj howa l7orria"
"It can be difficult at times, particularly when I have too many deadlines, but it's rewarding when you see your article in print.","kayn tkerfiss chi merrat, khoSoSan fach katkon 3ndi bezzaf dial lkhdma, walakin i7sas zine fach katchouf lma9al dialk mTbo3. "
"You print under an alias or your real name?","katnchr b chi ism mosta3ar wla b smiytek l7a9i9ia?"
"Yes there is that.","ayeh kayna."
"I can do the odd jobs round the house in-between writing.","o ymken ndir bricolat f ddar fach kankon kankteb"
"I use an alias, as there are a lot of weird people out there.","kankhdem b ism mosta3ar, 7it kayn bezzaf dial bnadm fchkel hna"
"It protects me from social media intrusion.","kay7mini hadchi men lfdol fli riso SoSio"
"What does your job involve?","achno kadir f khdmtek b debt?"
"I'm developing software for companies.","kansayb logicielat l chcharikat."
"I specialize in artificial intelligence.","khantkheSeS f daka2 lsTina3i"
"But I also do Web development, it pays the bills.","walakin kandir 7ta devlopmon web, fih sserf"
"What subjects do you write about?","achnahoma lmawaDi3 lli katkteb 3lihom"
"Your job sounds very interesting","lkhdma dialk katban lia momti3a"
"That's a real problem.","hada mochkil 7a9i9i"
"If we keep it that way, we'll go into the wall, for sure.","ila b9ina hakka, ghadi ndkhlo f chi 7iT, mafiha chek"
"I'm gonna have to leave you two alone.","ghadi ykhSni nkhelikom ntoma bjouj bo7dkom"
"I'm out of bread and it's getting late.","t9ada lia lkhobz o mcha l7al."
"It's been a pleasure.","nhar kbir hada"
"Thanks for chatting.","chokran 3la lmo7adata"
"Enjoy the rest of your day","nharek mbrouk"
"You too, see you soon.","tanta, nchoufouk"
"You don't look so good.","katban lia machi howa hadak"
"I'm not feeling too well.","kan7ess brassi machi howa hadak"
"Are you an engineer?","wach nta mohandis?"
"No, but the engineers who do the planes know what they're doing!","lla, walakin lmohandissin li kaySaybo Tiyarat 3arfin ach kaydiro!"
"And pilots!","o lpiloTat"
"true.","bessa7"
"but it is still very scary.","walakin wakha hakkak mazal hadchi kaykhle3."
"have you ever flown in a plane before?","wach 3mrek rkbti f chi Tiyara men 9bel?"
"Yes, I take the plane very often.","ayeh, kanrkeb f Tiyara bezzaf."
"Look out the window!","Tel men cherjem."
"Look how beautiful it is, this sea of clouds...","chouf 3la menDer ch7al zine, had lb7er dial Dbab..."
"really?!","bessa7?!"
"wow!","wow!"
"the clouds are beautiful but we are so high up!","s7ab zwin walakin 7na lfoug bezzaf!"
"a sea of clouds to drown in","b7er dial s7ab ngher9o fih"
"It's poetic what you say, but it's not very positive!","hadchi cha3iri li katgoul, walakin rah machi ijabi!"
"i'm sorry, i'm just not used to being in a plane.","sme7 lia, ghir mamwellefch nrkeb f tiyara."
"12:30... i don't get it?","12:30... mafemtch"
"I mean, before we get to Australia, we've only got 12 or 13 hours left.","z3ma, 9bel manwslo l Australia, mazal lina ghi chi 12 wla 13 l sa3a."
"It's quiet, isn't it?","skaat, lla?"
"12 or 13 hours?!","12 wla 13 l sa3a?!"
"are you kidding me?!","wach katfella 3lia?"
"Oh sweet jesus.","yarbi ssalama!"
"we're all going to die","ghadi nmoutou kamlin!"
"Haha!","hhhh!"
"You know, the length doesn't change anything!","3refti annaho Tol dial ri7la makaybeddel walo."
"Statistically, accidents usually happen at takeoff or landing.","i7Sa2ian, lksayd kaytraw flghalib fl i9la3 o lhoboT."
"Thanks for your help.","llah yr7em lwalidin 3la lmosa3ada."
"I'm going to talk to someone who actually cares.","ghadi nhDer m3a chi wa7d li mSowe9 blm39ol"
"As you wish.","lli ban lik."
"Go on, have fun!","sir, tberre3 m3a rask!"
"Hello Sandra, I have something to ask you for the next class","Salam sandra, bit nsowlk 3la chi 7aja 3la 9bel l7iSSa jjayya."
"Can't you ask me now, I might not be here at the next class","maymkench lik tsowlni daba? mo7al nkon hna fl 7iSSa jjayya"
"The weather is so nice I fancy taking a day off","ljow zine, kayban lia annakhod chi conji."
"I remind you that class is required.","kandekrek anna had l7iSSa Daroria."
"You'll be enjoying the weather in a few weeks.","ghadi tmet3i bl jow men daba chi simanat."
"But I can revise outside, there is not a lot of point being stuck in here","walakin rah ymken lia nraj3 berra, makaynch lach nb9a 7aSla hna."
"Besides the weather might break","o men fo9 hadchi ljow y9der ykhser."
"Especially for next week, I need you to do a presentation on your favorite subject:","khoSoSan simana jaya, m7tajek diri wa7d l prezentaSion 3la lmawDo3 lli 3ziz 3lik."
"And what do you think is my favourite subject?","o achnahowa lmawDo3 lli 3ziz 3lia f naDarek?"
"I'm sure, given the quality of your memory on this subject, that you are passionate about the future of worms.","ana mt2ekked, 3la 7asab ddakira dialk f had lmawDo3, annak 3ziz 3lik lmawDo3 dial lmoste9bal dial ddoud."
"I want all of the students to benefit from your expertise.","bghit ga3 tlamd ystafdo men lkhibra dialk."
"Have you been drinking?","wach kenti katchreb?"
"I remind you we're in college!","kandekkrek annana fla fac"
"I'm not interested in child songs.","ma3ndi mandir bl aghani dial ddrari SSghar"
"It would be funny though and it would get other students to pay attention","ghadi ykon hadchi koumik o ghadi yjib lntibah dial tlamd lkhrin."
"Often students fall asleep so something to grab their attention might be just the thing","Talaba flghalib kayn3so idan chi 7aja li ghadi tjbed lntibah dialhom hia li khaSSana."
"I see you have a lot of mind.","ban lia dmaghek nacht."
"We'll see if you have so much on the next exam!","daba nchoufo wach ayb9a hakka flmti7an jjay!"
"I warn you, I'll be particularly demanding towards you.","hani kan3elmek, ghadi nketter 3lik Talabat."
"Do listen, you might enjoy it.","tsenneT lih, ay9der y3jbek."
"You don't smile very often","makad7ekch bezzaf."
"I appreciate your advice, but I remind you that I'm the teacher, and you're the student.","kan9eDDer nnasi7a dialk, walakin kanfekrek annaho ana howa lostad, o nta howa tilmid."
"So I'm the one giving the advice.","idan ana howa li kay3Ti nnasa2i7."
"And now, I advise you to work hard and come next week with a report for your comrades.","o daba, kaneSS7ek tkhdem mezian o tji simana jayya b rappor l zomala2 dialk."
"Your offer makes me very uncomfortable.","ma rta7itch l l3arD dialk."
"I'd rather stop this conversation.","kayban lia 7sen n7bso had ni9ach."
"See you in a week, your job will have better be good!","nchoufouk men daba simana, ntmenna lkhdma dialk tkoun meziana!"
"Hi, how are you?","salam, kidayr?"
"It's been a few weeks since we've seen each other.","hadi ch7al men simana machefna b3Diyatna."
"I am ok, I find some of the other residents a bit annoying","bikhir hamdollah, jawni bezzaf dial sokkan mrad"
"you are very kind to visit me so often","nta driyef 7it katzourni merra merra"
"Really?","bessa7?"
"You don't find conversation issues with them?","ma3ndekch machakil fl hDra m3ahom?"
"They can be much older than you.","ymken ykouno kber mennek bezzaf."
"I don't think its an age thing, its an attitude of mind","makanDench annaho mochkil dial l3mer, hadi ms2ala dial 39lia"
"I don't know why some old people have to grumble and moan so much","ma3reftch 3lach chi nass charfin dima khasshom yngro o ytchekkaw bezzaf"
"I understand.","fhemt."
"But do you guys have any activities where you're all together: Walk, board games, shows...?","walakin wach 3ndkom chi nachaTat li katkono fihom mjmo3in: la marsh, al3ab, moselsalat...?"
"Just because we are old does not mean we have lost all sense of taste","ghir 7it 7na kbar fl3mer makay3nich annaho mab9ach 3ndna daw9"
"No, of course.","lla, b Tabi3t l7al."
"I hope in this case you go out, even alone, take walks.","iwa f had l7ala kantmenna annak tkhroj, wakha ghi bou7dek, tmechcha."
"And I hope you still play the guitar!","o kantmenna annak tkon mazal katl3b l guitar!"
"My hands are a bit too arthritic now for making music but my grandson does visit and play for me sometimes","ydiya 9herhom romatizm man9derch ba9i nl3b l mossi9a walakin 7fidi kayji 3ndi merra merra o kayl3b lia lmossi9a"
"The staff are very strict about allowing residents to go out on their own","nnass li kheddamin hna mziyrin makaykheliwch nnozala2 ykherjo bo7dhom"
"they worry about health and safety; falls etc and then having to fill in lots of paperwork I guess","kayhezzou lhem l se77a o ssalama; ila Ta7 chi wa7d 2ila akhirih mn b3d aykhaShom y3mro bezzaf dial lwra9"
"That's very nice of your grandson.","hadchi zine bezzaf lli dar 7fidk."
"Even if the staff is strict, for security reasons, you still get along well with them?","wakha nass lli kheddamin hna mziyrin, 3la 9bel sikiriti, katb9a 3ala9tek m3ahom meziana?"
"they are fine and I make them laugh","llah y3emerha dar o kanDe77ekhom"
"you know I ve a wicked sense of humour, mind you, I am not sure they always get me","3refti 3ndi wa7d rou7 dou3aba fchkel, ma3reftch wach dima kayfehmouni"
"If you make them laugh, it's a good sign.","ila kenti kaDe77ekhom, hadi 3alama meziana."
"What about the food?","o lmakla?"
"I can bring you some cookies if you want!","n9der njib lik chi kookizat ila bghiti!"
"Oooh I love cookies, yes please.","ooooh kay3jboni l kookiz, ayeh 3afak."
"I thik the cook thinks everybody has dodgy false teeth or even no teeth at all","kanDen anna Tebbakha kayban liha kolchi imma mrekkeb lfom imma ma3ndoch ssnan ga3"
"the food is just mushy","lmakla reTba"
"Well, it doesn't have to be too bad.","lmohim, makhaSch ykon hadchi khayb tal had daraja."
"There's a restaurant nearby, you could go from time to time, even if the staff doesn't like to go out.","kayna wa7d resTora 9riba, ymken lik tmchi liha merra merra, wakha lpersonel makaybghich ykhrj."
"What a surprise to see you.","mofaja2a hadi melli chefnak."
"Were you passing by or have you made a special trip to see me?","wach knti ghir dayz men hna wla jiti khoSoSan bach tchoufni?"
"I came to see you.","jit bach nchoufek."
"It's been over a month since we met.","chher hada bach ma tla9ina."
"How are you?","kidayr?"
"Health?","S7i7a?"
"I'm very well thank you.","ana bikhir hamdollah chokran."
"The doctor gave me a check-up last week and said I was as fit as a fiddle.","Tbib dowz lia dik simana o galia rani S7i7 fSi7."
"Not bad for someone eighty five years old.","meziana b nisba l chi wa7d f3mro khmsa o tmanin 3am."
"I've just had my lunch but would you like me to ask someone to get a cup of tea or coffee for you?","yallah tgheddit walakin wach bghitini ngoul l chi wa7d yjib lik chi kwiyess dial atay wla l9hwa?"
"It makes me happy to know your health is good.","fre7t fach 3reft anna Se7tek meziana."
"Yes, I'll have a cup of coffee.","ayeh, chi kass dial l9ehwa."
"And how are things here?","o kidayra l omor hnaya?"
"I'll ring the bell to get someone to get you a coffee.","ghadi nde9 ljaras bach yji chi wa7d yjib lik l9hwa."
"I was apprehensive about moving here from my old house, but I have settled in now.","flowl makentch baghi nkhrj men dari l9dima o nji lhna, walakin welleft daba."
"There is no way that I could have stayed any longer at home and looked after myself","makanch ymken nb9a bo7di f ddar o n9abl rassi"
"The food though is not very good.","lmakla men jiha khra machi chi 7aja."
"Yeah, that's what I remember about food.","ayeh, hadchi li b9it 3a9l 3lih 3la lmakla."
"Do you go out once in a while?","wach katkhrj merra merra?"
"I hope the retirement home is about various activities.","kantmenna anna had dar l3ajaza fiha anshiTa mokhtalifa."
"I go out once a week.","kankhrj merra f simana."
"They arrange a mini-bus which takes us somewhere interesting.","kayjibo lina mini-bus kayddina l chi blassa meziana."
"last week we had a trip to Windsor Castle.","dik simana mchina l l9el3a dial Windsor"
"There are activities too.","kaynin 7ta l anshiTa."
"I can throw a ball to other people here or I can go to poetry classes.","ymken nl3b bl kora m3a nass khrin hna wla ymken nmchi l doross dial chi3r."
"It is very varied.","dakchi motanawwi3."
"Oh, right.","Oh, bessa7."
"And the music?","o lmossi9a?"
"You still playing the piano, I hope?","mazal katl3b lpiano? kantmenna"
"I do play the piano","kanl3b lpiano"
"I do the piano sometimes.","kandir piano merra merra."
"And once in a while someone comes in to entertain us.","o merra fch7al kayji chi wa7d ydir lina chi spectacle."
"Anyway, that's enough about me.","f jami3 l7alat, hadchi kafini."
"How are you doing?","kidayr nta?"
"I'm fine and hoping to be as alert as you at 85 years old!","ana bikhir o kantmenna nkon chad f rassi b7alk fach tkon 3ndi 85 3am!"
"That's good to know.","hadchi mezian."
"I hope you can come again.","kantmenna tji merra khra."
"My best wishes to your family","sellem 3la 2a2iltek"
"Good evening, my dear!","msa lkhir, 3azizi!"
"How are you?","kidayr?"
"How was your day?","kidaz nharek?"
"Hello!","Salam!"
"I'm so glad to be home","ana fer7an annani f ddar"
"I've had a horrible day","daz 3ndi nhar mfelles"
"Oh, my poor darling.","llah 3la 7bibi mskin."
"What happened to you?","ach w9e3 lik?"
"I had to go to this retirement home and see an old friend and pretend to be in love with him, just to try and get his money in his will","mchit l wa7d dar l3ajaza bach nchouf wa7d sa7bi 9dim o ndir rassi rah 3ziz 3lia, ghi bach n7awl nakhd flousso fl waSSia"
"He is on his last legs you see","3refti rah fyamato llekhra"
"And we so badly need the money","o 7na khaSna lflouss bezzaf"
"But it smelt so badly of old people there - I'm glad to be home","walakin kant ri7a dial cherraf 3aTia temma - hamdollah rj3t l ddar"
"How was your day, sweet one?","kidaz nhark, 7abibi?"
"I'm fine, nothing special.","bikhir, kolchi 3adi."
"Was it your dad's old friend, the kind of pervert who looks at all the girls with his fat-ass eyes?","wach sa7b bbak l9dim, dak lmota7arrish li kayb9a ychouf fl bnat b douk l3inin lkbar dialo?"
"Yes, it was him!","ayeh, howa hadak!"
"There was a poor girl there called Anya who we wouldn't leave alone","kant wa7d lbnia sghira smitha Anya makennach kantkheliwha bou7dha"
"I remember him, and it's true that he was always looking at you in a very inappropriate way.","39elt 3lih, o beSSa7 kan dima kaydir fik chi choufat fchkel."
"A young girl who works at the nursing home?","bent sghira kheddama f dar l3ajaza?"
"Poor thing, spending her life in the middle of old, frustrated and old.","msikina, douwz 7yatha wsT chchorraf, m7roumin o cherraf."
"Yes, but I never minded.","ayeh, walakin ma3mrni tsow9t."
"He is so rich, I always thought I would get something out of it when he passed away.","howa mreffe7 bejjehd, dima kent kangoul anched chi 7aja fach aymout."
"But now this Anya seems to be getting in there instead","walakin daba hadik Anya katban lia hia lli wellat batched had lblaSSSa"
"I don't feel that sorry for Anya, he will leave her lots of money I imagine","makatb9ach fia had Anya, ghadi ykheli liha bezzaf dial lflouss tkhiyel"
"In a way, she's gonna deserve it.","men wa7d na7ia, testahel hadchi."
"But we really don't have much money these days.","walakin rah ma3ndnach bezzaf dial lflouss had liyamat."
"I know, but who's fault is that?","3reft, walakin chkon moul lfalTa f hadchi?"
"You do like to gamble and drink a lot","3ziz 3lik t9emmer o tchreb bezzaf"
"Yes, those are my little pleasures.","ayeh, hado homa chhiwat diali."
"But you also like a few glasses of good French wine for drinks.","walakin 3ziz 3lik chi kwiysat dial l vin dial fransa tchrbhom."
"You have to enjoy life.","khass t3ich l7ayat."
"I need to turn him against Anya, and show him what a money-grabber she is","khaSni n9lbo 3la had Anya, o nwerrih annaha baghia ghi flousso"
"Exactly!","blfi3l!"
"I might go call him now and start planting the seed of that idea","kayban lia nmchi n3iyet lih daba o nbda nzr3 lih had lfikra f rasso"
"Awesome!","meziana!"
"Soon, we will not be poor anymore!","9ariban, maghadich nb9aw fo9ara2!"
"In the meantime, shall we open a bottle?","b had lmonassaba, n7ello chi 9ri3a?"
"Oh go on then, we do deserve it I suppose, it's been such a hard day","Oh sir 3ellah, kayban lia kansta79oha, kan lyouma s3ib"
"Good evening, how was your day?","msa lkhir, ki daz nharek?"
"Rubbish... I got soaked on the way to work, and then there was no way to dry my stuff, so I've been walking around in damp clothes all day.","daz ki lwil... Sebbat 3lia chta f Tri9 lkhdma, o makan 3ndi bach nechchef 7wayji, iwa o b9it kandour nhar kaml b 7wayji fazguine."
"I just want to take a long hot shower and have a cup of tea.","bghit ghir nDreb chi tdwicha skhouna o nchreb chi kwiyess dial atay."
"How about you?","o nta?"
"How was your day?","kidaz nharek?"
"My poor baby, he was all wet all day long, I hope you didn't catch cold.","llah 3la 7bibti mskina, b9at fazga nhar kaml, 3ellah maykounch Drbek lberd."
"I told you to dress up.","guelt lik lbsi mezian."
"The mini-skirt and the summer shoes, in April and in a long time, it's a risk.","l mini jip o sebbaT dial SSif, f chher 4, rah katghamri o Safi."
"As long as you're not asking me to watch football and warm up a frozen pizza, you can stay as long as you want in the shower and drink your tea.","ghi matgoulch lia biti tferrej fl kora o tsekhkhen chi pizza mjemmda, ymken lik tb9a ch7al ma bghiti f douche o tchreb atay."
"Yeah, but they're so comfortable, and when I left the house the sun way shining!","beSSa7, walakin rah mori7in, o fach khrejt men ddar kant chemch!"
"Ouf... I wish I could have spent the day at home with the dog...","Ouf... kantmenna kon dowzt nhar ghi f ddar m3a lkelb..."
"He makes far better company than the people at work.","b3da howa kaywenessni 7sen men hadok li f lkhdma."
"You know I can't stand the football, and frozen pizza... I'd rather order in Indian food","3refti ma3ndich m3a kora o pizza mjemmda... 7sen lia n commandi lmakla dial lhnoud,"
"Will you order it while I'm in the shower... I'll have my usual.","ghadi tcommandiha fach nkon kandowech... ana bghit dakchi li mwalfa kannakhd."
"Since you're all wet, take the time to get the dog out, I'll run you a bath and order Indian.","meli mazal fazg, staghl lforSa o kherrej lkelb, ana ansekhkhen lik l7emmam o ncomandi lmakla dial lhnoud."
"Ok, it can't really make it any worse than it already is, and it's not good for him to be inside all day!","wakha, maymkench tzid tkeffess 3lia l9adia kter men hakka, o mamezianch lkelb yb9a f ddar nhar kaml!"
"You're kidding, he's an apartment dog, when I tried to get him out in the rain, he just wouldn't come out, he just peed on the corner, and he was already shooting on his leash to get home.","wach men niytek, hada rah kelb dial ddar, fach bghit nkherjo f chta mabghach, o bal lia ghir fl9ent, o b9a kayjerr f sensla dialo bach yrj3 l ddar. "
"He didn't used to be, you've spoiled him way too much!","makanch hakka, fechechtih bezzaf!"
"He needs to get used to bad weather, we are planning to move to Essaouira after all!","khasso ywellef ljow lkhayb, rah nawyin nre7lo l Swira aSlan!"
"Not at all, you plan to move to Marrakech.","lla, nta nawi tr7el l Merrakch."
"I'm a sensitive and fragile character, just like my little dog.","3ndi chekhSiya morhafa o hchicha, b7al lkliyeb diali."
"In any case the weather in Marrakech is wonderful.","f jami3 l7alat ljow f merrakch zine."
"I like the sun.","kat3jbni chemch."
"I want sun.","bghit chemch."
"Ooh, yeah please!","ooh, ayeh 3afak!"
"That would be great !","ghadi tkon ra2i3a!"
"Ok, I'm going to head out with the dog!","wakha, hani ankhrj m3a lkelb!"
"See you in a bit","nchoufouk men daba chwia"
"Okay.","wakha."
"What can I get you?","achno 7eb lkhaTr?"
"Coffee and orange juice.","9hiwa o 3aSir dial llimoun."
"OK.","wakha."
