"n1","n2","n3","n4","n5","n6","eng"
"7ess","7ass","hass","","","","feel"
"wlla","wella","","","","wlli","become"
"7TT","7aTT","7aT","hatt","","","put"
"3na","y3ni","i3ni","","","3ni","mean"
"bda","ibda","yabda","yebda","","","begin"
"khss","","","","","","should"
"l9a","lga","lqa","i3jb","","","find"
"3jb","3jeb","3jab","ye3jeb","","","like"
"khbr","khber","5br","5ber","","","tell"
"3awn","3awen","aawen","","","","help"
"wjjd","wjjed","wajjad","","","","prepare"
"2amn","aamn","i2amn","i2amen","","","believe"
"7awl","7awel","hawel","i7awel","yhawel","","try"
"jrrb","jarreb","jerreb","ijerrab","ijarrab","","try"
"swwl","swwel","yswwal","sawwel","","","ask"
"tfkkr","tfekker","tfakkar","itfekker","","","remember"
"mcha","ymchi","imchi","","","","leave"
"byyen","ibyyan","beyyen","biyyen","","","show"
"l3b","l3eb","l3ab","yal3eb","il3ab","","play"
"jra","yejri","ijri","","","jri","run"
"9ra","qra","ya9ra","ye9ra","","","read"
"bda","yabda","yebda","ibda","","","start"
"sala","ysali","isali","","","sali","finish"
"9TT3","9aTTe3","i9eTTe3","qattaa","","","cut"
"8Dr","8Der","8Dar","ya8Dar","hDar","","talk"
"chker","chkar","yachkor","chkor","","","thank"
"bddel","bddal","ybeddel","","","","change"
"kmmel","kmmal","ikemmel","","","","continue"
"ftarD","iftarD","","","","","suppose"
"tmnna","tmenna","itmenna","","","","wish"
"tb3","tbe3","tba3","yatba3","itb3","","follow"
"9bl","9bel","9bel","i9bl","","","accept"
"rfD","rfaD","rfeD","irfeD","","","reject"
"w93","w9e3","w9e3","yaw9a3","","","happen"
"gls","gles","glas","yagles","iglas","","sit down"
"rb7","rbe7","rba7","irbe7","","","win"
"zad","yzid","izid","","","zid","add"
"t3llm","t3allam","t3ellem","it3ellem","","","learn"
"tsnna","itsnna","","","","","wait"
"sifT","SifT","isifT","","","","send"
"ba3","ibi3","","","","bi3","sell"
"chra","ichri","","","","chri","buy"
"7ell","7all","","","","","open"
"bna","ibni","","","","bni","build"
"khtar","5tar","ikhtar","","","","choose"
"wSl","wSal","wSel","yoSSel","","","reach"
"9rrer","9arrar","9arrer","i9rrer","","","decide"
"nchT","nchaT","ncheT","incheT","yanchaT","","enjoy"
"tfrrj","itfrrej","tfarraj","","","","watch"
"khsr","khsar","khser","ikhser","5ser","","lose"
"tmchcha","tmecha","itmcha","","","","walk"
"kbbr","kebber","kabber","ikabber","","","raise"
"tkhyyl","tkheyyel","tkhayel","t5ayyal","","","imagine"
"sbbeb","isbbeb","isabbeb","sabbeb","","","cause"
"8rrs","harrass","8arres","i8arres","","","break"
"sme3","smaa","sma3","isma3","","","listen"
"kbr","kber","ikbr","yakber","","","grow"
"mat","imout","ymout","","","","die"
"twffa","tweffa","toueffa","itweffa","","","die"
"zar","izour","","","","zour","visit"
"chjje3","chajja3","ichejje3","","","","encourage"
"7ama","i7ami","hama","ihami","","7ami","protect"
"nchr","ncher","nchar","inchor","","","spread"
"9tl","9tal","9tel","qtel","i9tel","","kill"
"sag","isoug","ysoug","isog","soug","sog","drive"
"kdb","kdeb","kdab","ikdeb","","","lie"
"t9aj7","it9aj7","t9aje7","tqajeh","","","argue"
"7yyed","7ayyad","7ayyed","i7eyyed","","","remove"
"ddabz","iddabz","yddabez","","","","fight"
"3mmr","3emmer","3emmar","","","","fill"
"safr","isafr","isafer","","","","travel"
"7Dr","7Dar","7Der","i7Der","ye7Der","","attend"
"9sse7","9ssa7","i9esse7","","","","hurt"
"3ana","i3ani","","","","3ani","suffer"
"zgl","zguel","zgal","izgl","","","miss"
"l9a","il9a","","","","","discover"
"lga","ilga","","","","","discover"
"3bbr","3bber","3bbar","i3ebber","","","express"
"rkkz","rekkez","rakkaz","irakkez","","","concentrate"
"la7","ilou7","","","","lou7","throw"
"Sawb","iSaweb","Saweb","","","","prepare"
"9ra","qra","i9ra","ya9ra","","","study"
"df3","dfe3","dfaa","idfa3","idfe3","","push"
"wrrk","werrek","iwarrak","","","","press"
"wSl","wSel","wSal","iwSal","iwSel","","arrive"
"Sona","iSoni","Souna","ySouni","","Soni","ring"
"jm3","jme3","jma3","ijme3","","","collect"
"8rb","8reb","8rab","hrab","i8rab","","escape"
"r77b","r77eb","r77ab","ira77eb","rahhab","","welcome"
"3wwl","3owwel","3awwel","3wwel","i3awwal","i3owel","rely"
"ta9","iti9","taq","","","","trust"
"3awd","3awed","3awad","aawd","i3awd","i3awed","repeat"
"khTTeT","khaTTeT","5aTTeT","ikhTTeT","","","plan"
"frch","frech","frach","ifrch","ifrech","","reveal"
"2kkd","2akkad","akked","y2ekked","","","confirm"
"kr8","kre8","ikreh","ikre8","","","hate"
"tjwj","tjwwej","tjawwaj","itjwwej","itjawwaj","","marry"
"9sm","9sam","9sem","i9sm","iqsam","","split"
"tbnna","tbenna","tbanna","itbenna","","","adopt"
"tja8l","tjahl","tja8el","itja8el","","","ignore"
"3rrf","3rref","i3rref","y3arraf","","","define"
"9ddm","9ddem","i9ddem","i9addam","","","introduce"
"ttrina","ittrini","trina","yattrini","","ttrini","exercise"
"br8n","ber8en","bar8an","bar8en","iber8an","ybarhan","demonstrate"
"9n3","9ne3","9na3","i9ne3","i9n3","","persuade"
"9ll3","9elle3","9alle3","i9elle3","","","guess"
"Swwt","Sawwt","Sawwat","Sawwet","iSawwet","","vote"
"nkr","nker","nkar","inker","inkor","yonkir","deny"
"khbba","khebba","khabba","5ebba","ikhabbi","","hide"
"nj7","nje7","nja7","inje3","yanja7","","succeed"
"Tlb","Tleb","Tlab","iTlab","","","demand"
"3tarf","3taref","aataref","i3tarf","ya3tarf","","recognize"
"7sb","7seb","i7sb","hsab","7sab","","count"
"ntama","intami","","","","ntami","belong"
"chekk","chakk","ichekk","ichakk","","","doubt"
"ghnna","ghenna","ghanna","ighanni","ighenni","ghenni","sing"
"nwa","inwi","","","","nwi","intent"
"brrer","berrer","barrar","barrer","ibarrer","","justify"
"daf3","idaf3","","","","","defend"
"z3m","z3em","z3am","iz3em","iz3m","","dare"
"tsara7","itsara7","","","","","rest"
"7km","7kem","7kam","hkem","ihkam","","judge"
"chark","ichark","","","","","participate"
"ghsl","ghsel","ghsal","ighsel","yaghsal","","wash"
"la7D","ila7D","","","","","observe"
"khddm","khddem","5ddem","ikhaddam","","","employ"
"jm3","jme3","jma3","ijme3","","","combine"
"l77","le77","ile77","ila77","","","insist"
"tla7","tlah","itla7","","","","jump"
"Tyyb","Tyyeb","iTayyab","","","","cook"
"bka","ibki","","","","bki","cry"
"n3s","n3es","in3es","in3as","","","sleep"
"fa9","faq","ifi9","","","fi9","wake up"
"jm3","jme3","jma3","ijme3","","","gather"
"nsa7b","insa7b","nsahab","nsa7ab","nsa7eb","","withdraw"
"7ll","7ell","7all","i7ell","","","resolve"
"khbr","khber","ikhber","i5bar","","","inform"
"yastalzim","istlzm","","","","","imply"
"tsllf","tsellef","tsallaf","itsallef","","","borrow"
"swwl","sowwel","swwel","isowwel","","","question"
"khaTr","ikhaTr","5aTer","","","","risk"
"sm7","sme7","ismah","isma7","sma7","","permit"
"sam7","same7","sameh","isameh","","","forgive"
"9tar7","9tare7","9tara7","i9tare7","i9tara7","","propose"
"7tafl","7tafel","7tafal","i7tafal","","","celebrate"
"Dyy3","Dyye3","Dyya3","iDayya3","","","waste"
"ghbr","ghber","ghbar","ighber","","","disappear"
"tw993","twe99a3","twe99e3","itwa99a3","","","predict"
"ngr","ngor","nguer","ingor","inguer","","complain"
"9bT","9baT","9beT","qbaT","i9bT","i9baT","catch"
"gbD","gbeD","gbaD","igbaD","yegbaD","yagbaD","catch"
"naD","inouD","ynouD","","noD","nouD","get up"
"daz","idouz","ydouz","","","","pass"
"7bes","7bas","hbas","hbes","i7bs","","stop"
"9yyd","9ayyad","9eyyed","i9ayad","i9eyed","","note"
"wllf","wellef","wllaf","wallaf","iwellef","","used to"
"khllT","khallaT","khelleT","ikhallaT","ikhellaT","","mix"
"gyyd","gyyed","igyyed","","","","mislead"
"7rg","7reg","7rag","i7rag","i7rg","","burn"
"7r9","7re9","7ra9","i7ra9","i7r9","","burn"
"staghl","istaghl","staghell","staghall","istaghall","","exploit"
"kma","tykmi","taykmi","yakmi","ikmi","kmi","smoke"
"7ddr","7edder","7addar","i7edder","","","warn"
"bass","ibous","ibouss","","","bous","kiss"
"3ln","3len","3lan","i3len","","","announce"
"khtabr","5taber","khtabar","ikhtaber","yakhtabar","","evaluate"
"tnffs","tneffes","tnaffas","itneffes","itneffass","","breathe"
"fat","ifout","yfout","","","fout","exceed"
"Saad9","Saade9","","","","","approve"
"7tell","i7tell","7tall","i7tall","","","occupy"
"7arrar","7errer","7arrer","i7arrar","i7arrer","","free"
"btasm","btasem","ibtassem","btassem","btassam","","smile"
"7fr","7fer","7far","hfer","hfar","","dig"
"7tarm","htarm","7tarem","","","","respect"
"8dded","i8dded","8addad","8added","ihadded","","threaten"
"lgha","ilghi","yelghi","","","lghi","cancel"
"khzn","5zn","khzen","khzan","","","store"
"nDDm","nDDem","ineDDem","naDDam","inaDDam","","organize"
"nwwr","nwwer","inewwer","inawwar","nwwar","","shine"
"7lf","7lef","hlef","","","","swear"
"7lm","7lem","7lam","hlem","","","dream"
"SrT","SreT","SraT","iSreT","yaSraT","","absorb"
"bloka","ibloki","yebloki","yabloki","","bloki","block"
"stab9","istab9","istabe9","stabe9","staba9","","anticipate"
"tta8m","tta8em","itta8em","itta8am","ttahem","","accuse"
"ghwwt","ghwwet","ighwwet","yghowwet","ghowwet","","shout"
"2ttr","2atter","2etter","attar","","","affect"
"rttb","rtteb","ratteb","rattab","iretteb","","arrange"
"3ta9l","3ta9el","3ta9al","i3ta9al","i3ta9el","","arrest"
"nb7","nba7","nbe7","inbe7","","","bark"
"khan","5an","ikhoun","ikhon","","khoun","betray"
"t7aTT","it7aTT","","","","","bet"
"khtalf","ikhtalf","khtalaf","5talef","ikhtalef","","differ"
"7tafD","7tafeD","i7tafeD","y7tafaD","","","keep"
"Tar","iTir","yTir","yTer","iTer","Tir","fly"
"ban","iban","yban","","","","appear"
"jrr","jarr","jerr","","","","pull"
"df3","dfe3","dfa3","","","","push"
"8zz","hezz","8ezz","i8azz","i8ezz","","lift"
"rj3","rje3","rja3","irje3","irja3","","return"
"Ta7","iTi7","iTe7","","","Ti7","fall"
"3rf","3ref","3raf","i3ref","i3raf","","know"
"nsa","insa","yensa","yansa","","","forget"
"wSf","wSef","wSaf","iwSaf","yoSaf","","describe"
"trjm","tarjem","terjem","trjam","itarjam","","translate"
"w3ed","w3ad","w3d","you3ed","yow3ad","","promise"
"9llb","9elleb","9allab","i9alleb","iqalleb","","search"
"7bb","7ebb","i7ebb","","","","love"
"3ach","i3ich","","","","","live"
"skn","sken","skan","iskon","yaskon","","live"
"khllS","khalleS","khallaS","ikhallaS","ikhelleS","","pay"
"sdd","sedd","isedd","isadd","","","close"
"w9f","w9ef","w9af","yo9af","yoqaf","","stand up"
"stkhdm","stekhdem","stakhdam","istakhdam","stakhdem","","use"
"stalm","istalem","stalem","","","","receive"
"fchl","fchel","fchal","ifchel","ifchal","","fail"
"sbb","sebb","sabb","isebb","isabb","","insult"
"chka","ichki","","","","chki","complain"
"fD7","fDa7","fDe7","ifDe7","ifDa7","","expose"
"3tadr","3tader","3tadar","i3tader","i3tadr","","apologize"
"3nng","3nn9","3nneg","3anna9","i3enne9","","hug"
"ndm","ndem","indem","yandam","indam","","regret"
"t3wwd","t3wwed","t3awwad","it3ewwed","t3awwed","","get used"
"3Tas","3Tes","3Tes","i3Tas","","","sneeze"
"k7ob","ik7ob","k7eb","ik7eb","","","cough"
"2ejjel","ajjal","2ajjal","2jjel","","","postpone"
"t3awn","t3awen","t3aawan","t3awan","it3awen","","cooperate"
"tbadl","tbaadel","tbaadl","itbadl","itbadal","","exchange"
"9aaT3","9aaTe3","9aaTa3","i9aaT3","9aT3","","boycott"
"tTwwe3","TTowe3","taTawwa3","TTowwe3","itTww3","","volunteer"
"9oulb","9ouleb","i9oulb","","","","dupe"
"tjnnb","tjannab","tjenneb","tjanneb","itjenneb","","avoid"
"8ml","8mel","8mal","i8mel","i8ml","","neglect"
"tla9a","itla9a","tlaqa","itlaqa","","","meet"
"tjsses","tjassas","itjessas","itjesses","","","spy"
"nta9m","inta9m","","","","","take revenge"
"dfn","dfen","dfan","idfen","idfn","","bury"
"ghlb","ghleb","ghlab","ighleb","ighlb","","defeat"
"","","","","","","be"
"","","","","","","would"
"","","","","","","will"
"","","","","","","can"
"","","","","","","may"
"","","","","","","make"
"","","","","","","must"
"","","","","","","take"
"","","","","","","look"
"","","","","","","set"
"","","","","","","let"
"","","","","","","provide"
"","","","","","","shall"
"","","","","","","seem"
"","","","","","","include"
"","","","","","","move"
"","","","","","","turn"
"","","","","","","consider"
"","","","","","","allow"
"","","","","","","hope"
"","","","","","","produce"
"","","","","","","stay"
"","","","","","","hold"
"","","","","","","expect"
"","","","","","","ensure"
"","","","","","","carry"
"","","","","","","offer"
"","","","","","","support"
"","","","","","","speak"
"","","","","","","lead"
"","","","","","","remain"
"","","","","","","stand"
"","","","","","","suggest"
"","","","","","","develop"
"","","","","","","sit"
"","","","","","","create"
"","","","","","","agree"
"","","","","","","apply"
"","","","","","","form"
"","","","","","","increase"
"","","","","","","voice"
"","","","","","","spend"
"","","","","","","join"
"","","","","","","reduce"
"","","","","","","save"
"","","","","","","require"
"","","","","","","mind"
"","","","","","","achieve"
"","","","","","","prevent"
"","","","","","","deal"
"","","","","","","face"
"","","","","","","cover"
"","","","","","","improve"
"","","","","","","tend"
"","","","","","","draw"
"","","","","","","act"
"","","","","","","pick"
"","","","","","","cost"
"","","","","","","prove"
"","","","","","","occur"
"","","","","","","discuss"
"","","","","","","maintain"
"","","","","","","end"
"","","","","","","exist"
"","","","","","","seek"
"","","","","","","check"
"","","","","","","serve"
"","","","","","","share"
"","","","","","","establish"
"","","","","","","control"
"","","","","","","answer"
"","","","","","","identify"
"","","","","","","care"
"","","","","","","enable"
"","","","","","","claim"
"","","","","","","obtain"
"","","","","","","represent"
"","","","","","","contain"
"","","","","","","beat"
"","","","","","","worry"
"","","","","","","bear"
"","","","","","","shut"
"","","","","","","wonder"
"","","","","","","afford"
"","","","","","","fit"
"","","","","","","regard"
"","","","","","","place"
"","","","","","","involve"
"","","","","","","contact"
"","","","","","","assume"
"","","","","","","indicate"
"","","","","","","operate"
"","","","","","","manage"
"","","","","","","cope"
"","","","","","","determine"
"","","","","","","reflect"
"","","","","","","refer"
"","","","","","","gain"
"","","","","","","examine"
"","","","","","","prefer"
"","","","","","","admit"
"","","","","","","respond"
"","","","","","","depend"
"","","","","","","survive"
"","","","","","","notice"
"","","","","","","result"
"","","","","","","replace"
"","","","","","","complete"
"","","","","","","rise"
"","","","","","","present"
"","","","","","","arise"
"","","","","","","point"
"","","","","","","promote"
"","","","","","","perform"
"","","","","","","extend"
"","","","","","","mention"
"","","","","","","vary"
"","","","","","","benefit"
"","","","","","","treat"
"","","","","","","hang"
"","","","","","","drop"
"","","","","","","report"
"","","","","","","cast"
"","","","","","","sound"
"","","","","","","test"
"","","","","","","secure"
"","","","","","","last"
"","","","","","","match"
"","","","","","","assess"
"","","","","","","contribute"
"","","","","","","supply"
"","","","","","","wan"
"","","","","","","state"
"","","","","","","appreciate"
"","","","","","","relate"
"","","","","","","overcome"
"","","","","","","rid"
"","","","","","","attempt"
"","","","","","","retain"
"","","","","","","handle"
"","","","","","","attract"
"","","","","","","assist"
"","","","","","","influence"
"","","","","","","mark"
"","","","","","","experience"
"","","","","","","recall"
"","","","","","","sign"
"","","","","","","fear"
"","","","","","","stick"
"","","","","","","settle"
"","","","","","","compare"
"","","","","","","account"
"","","","","","","investigate"
"","","","","","","clear"
"","","","","","","record"
"","","","","","","explore"
"","","","","","","blame"
"","","","","","","cross"
"","","","","","","realize"
"","","","","","","focus"
"","","","","","","deliver"
"","","","","","","proceed"
"","","","","","","bother"
"","","","","","","refuse"
"","","","","","","force"
"","","","","","","reckon"
"","","","","","","emerge"
"","","","","","","intend"
"","","","","","","advise"
"","","","","","","acquire"
"","","","","","","recover"
"","","","","","","generate"
"","","","","","","distinguish"
"","","","","","","suspect"
"","","","","","","earn"
"","","","","","","finance"
"","","","","","","destroy"
"","","","","","","pursue"
"","","","","","","comment"
"","","","","","","satisfy"
"","","","","","","compete"
"","","","","","","resist"
"","","","","","","suit"
"","","","","","","address"
"","","","","","","solve"
"","","","","","","alter"
"","","","","","","impose"
"","","","","","","display"
"","","","","","","appeal"
"","","","","","","release"
"","","","","","","sort"
"","","","","","","select"
"","","","","","","measure"
"","","","","","","recommend"
"","","","","","","order"
"","","","","","","transfer"
"","","","","","","attack"
"","","","","","","expand"
"","","","","","","roll"
"","","","","","","burst"
"","","","","","","undertake"
"","","","","","","relax"
"","","","","","","behave"
"","","","","","","strike"
"","","","","","","remind"
"","","","","","","review"
"","","","","","","approach"
"","","","","","","restore"
"","","","","","","issue"
"","","","","","","ride"
"","","","","","","constitute"
"","","","","","","switch"
"","","","","","","train"
"","","","","","","invest"
"","","","","","","step"
"","","","","","","limit"
"","","","","","","illustrate"
"","","","","","","own"
"","","","","","","tackle"
"","","","","","","challenge"
"","","","","","","view"
"","","","","","","possess"
"","","","","","","communicate"
"","","","","","","climb"
"","","","","","","separate"
"","","","","","","preserve"
"","","","","","","implement"
"","","","","","","shift"
"","","","","","","acknowledge"
"","","","","","","conclude"
"","","","","","","shoot"
"","","","","","","guarantee"
"","","","","","","comply"
"","","","","","","enhance"
"","","","","","","monitor"
"","","","","","","purchase"
"","","","","","","charge"
"","","","","","","research"
"","","","","","","aim"
"","","","","","","accommodate"
"","","","","","","phone"
"","","","","","","dance"
"","","","","","","wake"
"","","","","","","pray"
"","","","","","","telephone"
"","","","","","","score"
"","","","","","","slip"
"","","","","","","commit"
"","","","","","","detect"
"","","","","","","exclude"
"","","","","","","excuse"
"","","","","","","interpret"
"","","","","","","publish"
"","","","","","","link"
"","","","","","","negotiate"
"","","","","","","analyze"
"","","","","","","name"
"","","","","","","stretch"
"","","","","","","upset"
"","","","","","","qualify"
"","","","","","","damage"
"","","","","","","launch"
"","","","","","","paint"
"","","","","","","specify"
"","","","","","","grant"
"","","","","","","lend"
"","","","","","","construct"
"","","","","","","react"
"","","","","","","deserve"
"","","","","","","head"
"","","","","","","direct"
"","","","","","","land"
"","","","","","","conduct"
"","","","","","","sustain"
"","","","","","","submit"
"","","","","","","consist"
"","","","","","","blow"
"","","","","","","guide"
"","","","","","","owe"
"","","","","","","convince"
"","","","","","","practice"
"","","","","","","strengthen"
"","","","","","","knock"
"","","","","","","invite"
"","","","","","","abandon"
"","","","","","","reply"
"","","","","","","shake"
"","","","","","","fix"
"","","","","","","pretend"
"","","","","","","consult"
"","","","","","","divide"
"","","","","","","engage"
"","","","","","","fulfill"
"","","","","","","rule"
"","","","","","","process"
"","","","","","","fetch"
"","","","","","","convey"
"","","","","","","shed"
"","","","","","","market"
"","","","","","","fancy"
"","","","","","","thrust"
"","","","","","","incorporate"
"","","","","","","restrict"
"","","","","","","eliminate"
"","","","","","","convert"
"","","","","","","retire"
"","","","","","","adjust"
"","","","","","","ease"
"","","","","","","pour"
"","","","","","","knit"
"","","","","","","back"
"","","","","","","trace"
"","","","","","","register"
"","","","","","","calculate"
"","","","","","","stimulate"
"","","","","","","print"
"","","","","","","stress"
"","","","","","","appoint"
"","","","","","","interfere"
"","","","","","","object"
"","","","","","","boost"
"","","","","","","facilitate"
"","","","","","","lack"
"","","","","","","cease"
"","","","","","","enforce"
"","","","","","","adapt"
"","","","","","","tie"
"","","","","","","quote"
"","","","","","","dominate"
"","","","","","","pop"
"","","","","","","please"
"","","","","","","design"
"","","","","","","intervene"
"","","","","","","yield"
"","","","","","","resign"
"","","","","","","spell"
"","","","","","","stir"
"","","","","","","spare"
"","","","","","","estimate"
"","","","","","","kick"
"","","","","","","offset"
"","","","","","","list"
"","","","","","","dress"
"","","","","","","declare"
"","","","","","","assure"
"","","","","","","derive"
"","","","","","","access"
"","","","","","","delay"
"","","","","","","clarify"
"","","","","","","copy"
"","","","","","","favor"
"","","","","","","hand"
"","","","","","","capture"
"","","","","","","reinforce"
"","","","","","","transform"
"","","","","","","perceive"
"","","","","","","function"
"","","","","","","fuck"
"","","","","","","quit"
"","","","","","","accompany"
"","","","","","","fund"
"","","","","","","pack"
"","","","","","","correct"
"","","","","","","sail"
"","","","","","","compensate"
"","","","","","","steal"
"","","","","","","undermine"
"","","","","","","range"
"","","","","","","feature"
"","","","","","","oppose"
"","","","","","","locate"
"","","","","","","hurry"
"","","","","","","tap"
"","","","","","","broadcast"
"","","","","","","sue"
"","","","","","","trade"
"","","","","","","bid"
"","","","","","","light"
"","","","","","","slow"
"","","","","","","concern"
"","","","","","","dismiss"
"","","","","","","highlight"
"","","","","","","repair"
"","","","","","","conform"
"","","","","","","amount"
"","","","","","","attach"
"","","","","","","rush"
"","","","","","","sink"
"","","","","","","grab"
"","","","","","","calm"
"","","","","","","protest"
"","","","","","","balance"
"","","","","","","beg"
"","","","","","","install"
"","","","","","","advance"
"","","","","","","fire"
"","","","","","","aid"
"","","","","","","flow"
"","","","","","","drag"
"","","","","","","correspond"
"","","","","","","pose"
"","","","","","","admire"
"","","","","","","relieve"
"","","","","","","reverse"
"","","","","","","time"
"","","","","","","combat"
"","","","","","","integrate"
"","","","","","","disagree"
"","","","","","","connect"
"","","","","","","update"
"","","","","","","modify"
"","","","","","","tax"
"","","","","","","opt"
"","","","","","","stare"
"","","","","","","spot"
"","","","","","","command"
"","","","","","","obey"
"","","","","","","house"
"","","","","","","extract"
"","","","","","","slide"
"","","","","","","counter"
"","","","","","","resume"
"","","","","","","grasp"
"","","","","","","swing"
"","","","","","","render"
"","","","","","","speed"
"","","","","","","confront"
"","","","","","","ban"
"","","","","","","wipe"
"","","","","","","double"
"","","","","","","comprise"
"","","","","","","witness"
"","","","","","","plant"
"","","","","","","breed"
"","","","","","","assert"
"","","","","","","disclose"
"","","","","","","squeeze"
"","","","","","","bind"
"","","","","","","harm"
"","","","","","","encounter"
"","","","","","","request"
"","","","","","","struggle"
"","","","","","","hire"
"","","","","","","conceal"
"","","","","","","recruit"
"","","","","","","co-operate"
"","","","","","","wander"
"","","","","","","emphasize"
"","","","","","","weigh"
"","","","","","","coincide"
"","","","","","","bend"
"","","","","","","regulate"
"","","","","","","rescue"
"","","","","","","entertain"
"","","","","","","forecast"
"","","","","","","inspect"
"","","","","","","export"
"","","","","","","urge"
"","","","","","","induce"
"","","","","","","lock"
"","","","","","","exhibit"
"","","","","","","warm"
"","","","","","","confess"
"","","","","","","tolerate"
"","","","","","","mount"
"","","","","","","brush"
"","","","","","","reproduce"
"","","","","","","undergo"
"","","","","","","impress"
"","","","","","","figure"
"","","","","","","decline"
"","","","","","","rub"
"","","","","","","cater"
"","","","","","","tour"
"","","","","","","distribute"
"","","","","","","sense"
"","","","","","","repay"
"","","","","","","regain"
"","","","","","","minimize"
"","","","","","","halt"
"","","","","","","shape"
"","","","","","","cool"
"","","","","","","disturb"
"","","","","","","bite"
"","","","","","","progress"
"","","","","","","devote"
"","","","","","","provoke"
"","","","","","","dispose"
"","","","","","","reassure"
"","","","","","","contemplate"
"","","","","","","alert"
"","","","","","","service"
"","","","","","","interact"
"","","","","","","heat"
"","","","","","","devise"
"","","","","","","govern"
"","","","","","","embrace"
"","","","","","","comfort"
"","","","","","","seize"
"","","","","","","melt"
"","","","","","","supplement"
"","","","","","","lean"
"","","","","","","exert"
"","","","","","","beware"
"","","","","","","resemble"
"","","","","","","abolish"
"","","","","","","wed"
"","","","","","","crack"
"","","","","","","suppress"
"","","","","","","guard"
"","","","","","","surprise"
"","","","","","","hesitate"
"","","","","","","load"
"","","","","","","swallow"
"","","","","","","initiate"
"","","","","","","float"
"","","","","","","effect"
"","","","","","","manipulate"
"","","","","","","deter"
"","","","","","","associate"
"","","","","","","administer"
"","","","","","","murder"
"","","","","","","persist"
"","","","","","","greet"
"","","","","","","tear"
"","","","","","","hunt"
"","","","","","","spoil"
"","","","","","","line"
"","","","","","","bless"
"","","","","","","ascertain"
"","","","","","","penetrate"
"","","","","","","multiply"
"","","","","","","merge"
"","","","","","","coach"
"","","","","","","drain"
"","","","","","","suffice"
"","","","","","","presume"
"","","","","","","fish"
"","","","","","","shop"
"","","","","","","race"
"","","","","","","honor"
"","","","","","","freeze"
"","","","","","","cure"
"","","","","","","revive"
"","","","","","","swap"
"","","","","","","endure"
"","","","","","","chase"
"","","","","","","consume"
"","","","","","","insert"
"","","","","","","await"
"","","","","","","minister"
"","","","","","","drift"
"","","","","","","substitute"
"","","","","","","stem"
"","","","","","","surrender"
"","","","","","","wind"
"","","","","","","contract"
"","","","","","","machine"
"","","","","","","differentiate"
"","","","","","","advertise"
"","","","","","","reconcile"
"","","","","","","project"
"","","","","","","co-ordinate"
"","","","","","","snap"
"","","","","","","damn"
"","","","","","","bake"
"","","","","","","top"
"","","","","","","fold"
"","","","","","","concede"
"","","","","","","renew"
"","","","","","","formulate"
"","","","","","","confuse"
"","","","","","","maximize"
"","","","","","","sweep"
"","","","","","","cheer"
"","","","","","","steer"
"","","","","","","base"
"","","","","","","cf."
"","","","","","","indulge"
"","","","","","","decrease"
"","","","","","","reserve"
"","","","","","","host"
"","","","","","","evolve"
"","","","","","","foster"
"","","","","","","discourage"
