n1,n2,n3,n4,n5,n6,darija_ar,eng
Sona,Souna,,,,,صونا,ring
jm3,jme3,jma3,,,,جمع,collect
8rb,8reb,8rab,hrab,,,هرب,escape
r77b,r77eb,r77ab,rahhab,,,رحّب,welcome
3wwl,3owwel,3awwel,3wwel,,,عوّل,rely
ta9,taq,,,,,تاق,trust
3awd,3awed,3awad,aawd,,,عاود,repeat
khTTeT,khaTTeT,5aTTeT,,,,خطّط,plan
frch,frech,frach,,,,فرش,reveal
2kkd,2akkad,akked,,,,أكّد,confirm
kr8,kre8,,,,,كره,hate
tjwj,tjwwej,tjawwaj,,,,تجوج,marry
9sm,9sam,9sem,,,,قسم,split
tbnna,tbenna,tbanna,,,,تبنّا,adopt
tja8l,tjahl,tja8el,,,,تجاهل,ignore
3rrf,3rref,3erref,3arraf,3arref,3arrf,عرّف,define
9ddm,9ddem,,,,,قدّم,introduce
ttrina,trina,,,,,ترينا,exercise
br8n,ber8en,bar8an,bar8en,,,برهن,demonstrate
9n3,9ne3,9na3,,,,قنع,persuade
9ll3,9elle3,9alle3,,,,قلّع,guess
Swwt,Sawwt,Sawwat,Sawwet,,,صوّت,vote
nkr,nker,nkar,,,,نكر,deny
khbba,khebba,khabba,5ebba,,,خبّا,hide
nj7,nje7,nja7,,,,نجح,succeed
Tlb,Tleb,Tlab,,,,طلب,demand
3tarf,3taref,aataref,,,,عتارف,recognize
7sb,7seb,hseb,,,,حسب,count
ntama,intami,,,,ntami,نتاما,belong
chekk,chakk,,,,,شكّ,doubt
ghnna,ghenna,ghanna,,,,غنّا,sing
nwa,,,,,,نوا,intent
brrer,berrer,barrar,barrer,,,برّر,justify
daf3,daaf3,,,,,دافع,defend
z3m,z3em,z3am,,,,زعم,dare
tsara7,,,,,,تساراح,rest
7km,7kem,7kam,hkem,,,حكم,judge
chark,chaark,,,,,شارك,participate
ghsl,ghsel,ghsal,,,,غسل,wash
la7D,,,,,,لاحض,observe
khddm,khddem,5ddem,,,,خدّم,employ
jm3,jme3,jma3,,,,جمع,combine
l77,le77,,,,,لحّ,insist
tla7,tlah,,,,,تلاح,jump
Tyyb,Tyyeb,,,,,طيّب,cook
bka,,,,,,بكا,cry
n3s,n3es,,,,,نعس,sleep
fa9,faq,,,,,فاق,wake up
jm3,jme3,jma3,,,,جمع,gather
nsa7b,nsahab,nsa7ab,nsa7eb,,,نساحب,withdraw
7ll,7ell,7all,,,,حلّ,resolve
khbr,khber,,,,,خبر,inform
stalzem,,,,,,ستلزم,imply
tsllf,tsellef,tsallaf,,,,تسلّف,borrow
swwl,sowwel,swwel,,,,سوّل,question
khaTr,5aTer,,,,,خاطر,risk
sm7,sme7,sma7,,,,سمح,permit
sam7,same7,sameh,,,,سامح,forgive
9tar7,9tare7,9tara7,,,,قتارح,propose
7tafl,7tafel,7tafal,,,,حتافل,celebrate
Dyy3,Dyye3,Dyya3,,,,ضيّع,waste
ghbr,ghber,ghbar,,,,غبر,disappear
tw993,twe99a3,twe99e3,,,,توقّع,predict
ngr,ngor,nguer,,,,نڭر,complain
9bT,9baT,9beT,qbaT,,,قبط,catch
gbD,gbeD,gbaD,,,,ڭبض,catch
naD,naaD,,,,,ناض,get up
daz,daaz,,,,,داز,pass
7bes,7bas,hbas,hbes,,,حبس,stop
9yyd,9ayyad,9eyyed,,,,قيّد,note
wllf,wellef,wllaf,wallaf,,,ولّف,used to
khllT,khallaT,khelleT,,,,خلّط,mix
gyyd,gyyed,,,,,ڭيّد,mislead
7rg,7reg,7rag,,,,حرڭ,burn
7r9,7re9,7ra9,,,,حرق,burn
staghl,staghell,staghall,,,,ستاغل,exploit
kma,,,,,,كما,smoke
7ddr,7edder,7addar,,,,حدّر,warn
baas,bas,,,,,باس,kiss
3ln,3len,3lan,,,,علن,announce
khtabr,5taber,khtabar,,,,ختابر,evaluate
tnffs,tneffes,tnaffas,,,,تنفّس,breathe
fat,faat,,,,,فات,exceed
Saad9,Saade9,,,,,صادق,approve
7tell,7tall,,,,,حتلّ,occupy
7arrar,7errer,7arrer,,,,حرّر,free
btasm,btasem,btassem,btassam,,,بتاسم,smile
7fr,7fer,7far,hfer,hfar,,حفر,dig
7tarm,htarm,7tarem,,,,حتارم,respect
8dded,i8dded,8addad,8added,,,هدّد,threaten
lgha,,,,,,لغا,cancel
khzn,5zn,khzen,khzan,,,خزن,store
nDDm,nDDem,naDDam,,,,نضّم,organize
nwwr,nwwer,nwwar,,,,نوّر,shine
7lf,7lef,hlef,,,,حلف,swear
7lm,7lem,7lam,hlem,,,حلم,dream
SrT,SreT,SraT,,,,صرط,absorb
bloka,,,,,,بلوكا,block
stab9,stabe9,staba9,,,,ستابق,anticipate
tta8m,tta8em,ttahem,,,,اتهم,accuse
ghwwt,ghwwet,ghowwet,,,,غوّت,shout
2ttr,2atter,2etter,attar,,,أتّر,affect
rttb,rtteb,ratteb,rattab,,,رتّب,arrange
3ta9l,3ta9el,3ta9al,,,,عتاقل,arrest
nb7,nba7,nbe7,,,,نبح,bark
khan,5an,,,,,خان,betray
t7aTT,,,,,,تحاطّ,bet
khtalf,khtalaf,5talef,khtalef,,,ختالف,differ
7tafD,7tafeD,,,,,حتافض,keep
Tar,Taar,,,,,طار,fly
ban,,,,,,بان,appear
jrr,jarr,jerr,,,,جرّ,pull
df3,dfe3,dfa3,,,,دفع,push
8zz,hezz,8ezz,,,,هزّ,lift
rj3,rje3,rja3,,,,رجع,return
Ta7,,,,,,طاح,fall
3rf,3ref,3raf,,,,عرف,know
nsa,,,,,,نسا,forget
wSf,wSef,wSaf,,,,وصف,describe
trjm,tarjem,terjem,trjam,,,ترجم,translate
w3ed,w3ad,w3d,,,,وعد,promise
9llb,9elleb,9allab,,,,قلّب,search
7bb,7ebb,,,,,حبّ,love
3ach,3aach,,,,,عاش,live
skn,sken,skan,,,,سكن,live
khllS,khalleS,khallaS,,,,خلّص,pay
sdd,sedd,,,,,سدّ,close
w9f,w9ef,w9af,,,,وقف,stand up
stkhdm,stekhdem,stakhdam,stakhdem,,,ستخدم,use
stalm,stalem,,,,,ستالم,receive
fchl,fchel,fchal,,,,فشل,fail
sbb,sebb,sabb,,,,سبّ,insult
chka,,,,,,شكا,complain
fD7,fDa7,fDe7,,,,فضح,expose
3tadr,3tader,3tadar,,,,عتادر,apologize
3nng,3nn9,3nneg,3anna9,,,عنّڭ,hug
ndm,ndem,,,,,ندم,regret
t3wwd,t3wwed,t3awwad,t3awwed,,,تعوّد,get used
3Tas,3Tes,3Tes,,,,عطس,sneeze
k7ob,k7eb,,,,,كحب,cough
2ejjel,ajjal,2ajjal,2jjel,,,أجّل,postpone
t3awn,t3awen,t3aawan,t3awan,,,تعاون,cooperate
tbadl,tbaadel,tbaadl,,,,تبادل,exchange
9aaT3,9aaTe3,9aaTa3,9aT3,,,قاطع,boycott
tTwwe3,TTowe3,taTawwa3,TTowwe3,,,تطوّع,volunteer
9oulb,9ouleb,,,,,قولب,dupe
tjnnb,tjannab,tjenneb,tjanneb,,,تجنّب,avoid
8ml,8mel,8mal,,,,همل,neglect
tla9a,tlaqa,,,,,تلاقا,meet
tjsses,tjassas,,,,,تجسّس,spy
nta9m,,,,,,نتاقم,take revenge
dfn,dfen,dfan,,,,دفن,bury
ghlb,ghleb,ghlab,,,,غلب,defeat
kan,,,,,,كان,be
bgha,,,,,,بغا,would
9der,9dr,,,,,قدر,can
gdd,guedd,gedd,,,,ڭدّ,can
imkn,,,,,,إمكن,may
dar,,,,,,دار,make
khsso,khesso,,,,,خسّو,must
khda,5da,,,,,خدا,take
chaf,,,,,,شاف,look
7TT,7eTT,,,,,حطّ,set
khlla,khella,,,,,خلّا,let
3Ta,,,,,,عطا,provide
khsso,khesso,,,,,خسّو,shall
ban,,,,,,بان,seem
tDmmen,tDemmen,,,,,تضمّن,include
t7rrek,t7arrak,,,,,تحرّك,move
Dar,Daar,,,,,دار,turn
3tabr,3taber,,,,,عتابر,consider
khlla,khella,,,,,خلّا,allow
tmenna,tmnna,,,,,تمنّا,hope
ntej,ntj,,,,,نتج,produce
b9a,,,,,,بقا,stay
chdd,chedd,,,,,شدّ,hold
to99e3,twe99e3,twe99a3,,,,توقّع,expect
Dmen,Dmn,Dman,,,,ضمن,ensure
8ezz,hezz,,,,,هزّ,carry
3reD,3rD,3raD,,,,عرض,offer
d3em,d3m,d3am,,,,دعم,support
hDer,hDr,hDar,8Der,,,هضر,speak
dwa,,,,,,دوا,speak
9aad,,,,,,قاد,lead
b9a,,,,,,بقا,remain
w9ef,w9af,w9f,,,,وقف,stand
wgef,wgaf,wgf,,,,وڭف,stand
9tar7,9tare7,,,,,قتارح,suggest
Twwer,Towwer,,,,,طوّر,develop
gles,glas,gls,,,,ڭلس,sit
gadd,,,,,,ڭادّ,create
Sawb,,,,,,صاوب,create
ttaf9,ttafe9,,,,,اتفق,agree
Tbbe9,Tbba9,,,,,طبّق,apply
kowwen,kowwn,kwwn,kwwen,,,كوّن,form
zad,,,,,,زاد,increase
3bber,,,,,,عبّر,voice
Dyye3,,,,,,ضيّع,spend
lta79,,,,,,لتاحق,join
n99eS,n99es,n99s,n99S,n99as,,نقّص,reduce
n9ed,n9d,n9ad,,,,نقد,save
tTelleb,tTallab,tTellab,TTelleb,,,تطلّب,require
799e9,h99e9,hqqeq,,,,799e9,achieve
7bes,,,,,,حبس,prevent
t3amel,t3aml,t3aamel,,,,تعامل,deal
twaj8,twajh,twajeh,twaje8,,,تواجه,face
ghTTa,gheTTa,,,,,غطّا,cover
Twwer,Towwer,,,,,طوّر,improve
maal,mal,,,,,مال,tend
rsem,rsam,,,,,رسم,draw
t7errek,,,,,,تحرّك,act
3zel,3zl,,,,,عزل,pick
khtar,5tar,khtaar,,,,ختار,pick
kllef,,,,,,كلّف,cost
swa,,,,,,سوا,cost
br8en,ber8en,,,,,برهن,prove
w9e3,w93,w9a3,,,,وقع,occur
tna9ch,tna9ech,,,,,تناقش,discuss
gabl,gabel,gaabel,gaabl,,,ڭابل,maintain
sala,,,,,,سالا,end
kmmel,kemmel,kammel,kammal,,,كمّل,end
kayn,kayen,,,,,كاين,exist
9Sed,,,,,,قصد,seek
9lleb,9elleb,,,,,قلّب,check
nfe3,,,,,,نفع,serve
9sem,,,,,,قسم,share
partaja,,,,,,پارتاجا,share
nche2,nch2,,,,,نشء,establish
2esses,2assas,asses,,,,أسّس,establish
t7kkem,t7kkm,t7ekkem,t7akkem,,,تحكّم,control
jawb,jaweb,,,,,جاوب,answer
7edded,7added,7dded,,,,حدّد,identify
3tana,,,,,,عتانا,care
mkken,mekken,makken,,,,مكّن,enable
Taalb,Taaleb,,,,,طالب,claim
kseb,ksb,,,,,كسب,obtain
mttel,mettel,,,,,متّل,represent
tDemmen,,,,,,تضمّن,contain
ghleb,,,,,,غلب,beat
tchTen,techTen,tchTan,,,,تشطن,worry
t7mmel,t7emmel,,,,,تحمّل,bear
sedd,sdd,,,,,سدّ,shut
tsa2el,tsa2l,,,,,تساءل,wonder
naaseb,naasb,,,,,ناسب,fit
t3elle9,t3ll9,,,,,تعلّق,regard
7eTT,7TT,,,,,حطّ,place
chmel,,,,,,شمل,involve
ttaSel,ttaSl,,,,,اتصل,contact
ftarD,ftareD,,,,,فتارض,assume
achaar,,,,,,أشار,indicate
khdem,khdm,,,,,خدم,operate
tSerref,,,,,,تصرّف,manage
t2e9lem,t2a9lam,t29lm,,,,تأقلم,cope
7edded,7dded,,,,,حدّد,determine
3kes,,,,,,عكس,reflect
achaar,,,,,,أشار,refer
rbe7,rb7,,,,,ربح,gain
f7eS,,,,,,فحص,examine
fDDel,,,,,,فضّل,prefer
3tarf,3taref,,,,,عتارف,admit
redd,rdd,,,,,ردّ,respond
jawb,jaweb,,,,,جاوب,respond
3tamd,3tamed,,,,,عتامد,depend
nja,,,,,,نجا,survive
la7D,laa7D,,,,,لاحض,notice
ntej,ntj,,,,,نتج,result
bddel,,,,,,بدّل,replace
kemmel,kmmel,,,,,كمّل,complete
rtaf3,rtafe3,,,,,رتافع,rise
9ddem,9eddem,,,,,قدّم,present
nche2,,,,,,نشء,arise
achaar,,,,,,أشار,point
rowwej,,,,,,روّج,promote
chejje3,chjje3,,,,,شجّع,promote
2edda,2adda,,,,,أدى,perform
medded,madded,mdded,,,,مدّد,extend
achaar,,,,,,أشار,mention
khtalef,khtalf,5talf,,,,ختالف,vary
fad,faad,,,,,فاد,benefit
3aalj,3aalej,,,,,عالج,treat
3elle9,3lle9,3ll9,,,,علّق,hang
Tyye7,,,,,,طيّح,drop
bellegh,bllegh,ballagh,,,,بلّغ,report
Sbb,Sebb,,,,,صبّ,cast
khtaber,khtabr,,,,,ختابر,test
2emmen,2mmen,,,,,أمّن,secure
Towwel,Towwl,,,,,طوّل,last
waaf9,,,,,,وافق,match
9dder,9edder,,,,,قدّر,assess
saa8em,sa8em,saa8m,saahem,sahem,,ساهم,contribute
medd,,,,,,مدّ,supply
3len,,,,,,علن,state
9dder,9edder,,,,,قدّر,appreciate
rtabeT,rtabT,,,,,رتابط,relate
tghelleb,,,,,,تغلّب,overcome
tkhelleS,,,,,,تخلّص,rid
7awel,7aawel,7awl,,,,حاول,attempt
7tafD,,,,,,حتافض,retain
tkellef,,,,,,تكلّف,handle
jdeb,,,,,,جدب,attract
saa3d,sa3d,,,,,ساعد,assist
3awen,3aawen,3awn,,,,عاون,assist
2etter,2tter,,,,,أتّر,influence
7edded,,,,,,حدّد,mark
fkker,,,,,,فكّر,recall
sina,,,,,,سينا,sign
khaf,,,,,,خاف,fear
lSe9,lse9,,,,,لصق,stick
swwa,,,,,,سوّا,settle
rigl,,,,,,ريڭل,settle
9aaren,9aren,,,,,قارن,compare
7seb,7sb,,,,,حسب,account
7e99e9,,,,,,حقّق,investigate
n99a,,,,,,نقّا,clear
sjjel,sejjel,,,,,سجّل,record
chjjel,chjjl,,,,,شجّل,record
ktachf,ktachef,,,,,كتاشف,explore
laam,lam,,,,,لام,blame
3ber,,,,,,عبر,cross
3a9,,,,,,عاق,realize
rkkez,rekkez,,,,,ركّز,focus
wSSel,wSSl,,,,,وصّل,deliver
chre3,,,,,,شرع,proceed
z3ej,,,,,,زعج,bother
brzeT,berzeT,,,,,برزط,bother
rfeD,rfaD,,,,,رفض,refuse
freD,fraD,,,,,فرض,force
3ta9ed,3ta9d,,,,,عتاقد,reckon
ban,,,,,,بان,emerge
3zem,,,,,,عزم,intend
nSe7,nS7,,,,,نصح,advise
ktaseb,ktasb,,,,,كتاسب,acquire
strje3,sterje3,,,,,سترجع,recover
nche2,,,,,,نشء,generate
tmiyyez,,,,,,تميّز,distinguish
chtabe8,chtab8,,,,,شتابه,suspect
kseb,ksb,,,,,كسب,earn
mowwel,,,,,,موّل,finance
8dem,8dm,,,,,هدم,destroy
tbe3,tb3,,,,,تبع,pursue
3elle9,,,,,,علّق,comment
rDa,,,,,,رضا,satisfy
tnafs,tnaafs,tnafes,,,,تنافس,compete
9aawem,9aawm,9awm,,,,قاوم,resist
laa2em,la2em,,,,,لاءم,suit
khaaTeb,,,,,,خاطب,address
7ell,,,,,,حلّ,solve
bddel,,,,,,بدّل,alter
freD,frD,,,,,فرض,impose
3reD,,,,,,عرض,display
naachd,,,,,,ناشد,appeal
Tle9,,,,,,طلق,release
frez,,,,,,فرز,sort
rtteb,retteb,,,,,رتّب,sort
khtar,,,,,,ختار,select
3ber,,,,,,عبر,measure
wSSa,weSSa,,,,,وصّا,recommend
Tleb,,,,,,طلب,order
2amer,,,,,,أمر,order
n9el,,,,,,نقل,transfer
8jem,hjem,,,,,هجم,attack
twesse3,ttosse3,,,,,توسّع,expand
tkerkeb,tkrkb,,,,,تكركب,roll
nfajer,nfajr,,,,,نفاجر,burst
t3e88ed,,,,,,تعهّد,undertake
tsara7,,,,,,تساراح,relax
tSerref,,,,,,تصرّف,behave
dkker,,,,,,دكّر,remind
fekker,fkker,,,,,فكّر,remind
raaj3,,,,,,راجع,review
n8ej,,,,,,نهج,approach
rejje3,rjje3,,,,,رجّع,restore
Sder,,,,,,صدر,issue
Sag,,,,,,صاڭ,ride
chkkel,chekkel,,,,,شكّل,constitute
gleb,,,,,,ڭلب,switch
derreb,drreb,,,,,درّب,train
stetmer,,,,,,ستتمر,invest
khTa,,,,,,خطا,step
7edd,,,,,,حدّ,limit
weDDe7,,,,,,وضّح,illustrate
mlek,,,,,,ملك,own
3aalj,3alj,3alej,,,,عالج,tackle
t7edda,,,,,,تحدّا,challenge
chaf,,,,,,شاف,view
mlek,,,,,,ملك,possess
7aawer,7awr,7awer,,,,حاور,communicate
tselle9,tsll9,,,,,تسلّق,climb
fSel,,,,,,فصل,separate
7aafD,,,,,,حافض,preserve
nffed,neffed,,,,,نفّد,implement
7wwel,7owwel,,,,,حوّل,shift
a9arr,,,,,,أقرّ,acknowledge
stentej,stntj,,,,,ستنتج,conclude
tira,,,,,,تيرا,shoot
mtatel,mtatl,,,,,متاتل,comply
7essen,,,,,,حسّن,enhance
ra9b,raa9b,,,,,راقب,monitor
gabl,gaabl,gabel,gaabel,,,ڭابل,monitor
chra,,,,,,شرا,purchase
charja,,,,,,شارجا,charge
b7et,,,,,,بحت,research
bgha,,,,,,بغا,aim
stow3eb,sto3eb,sto3b,,,,ستوعب,accommodate
chTe7,chT7,,,,,شطح,dance
fa9,,,,,,فاق,wake
Slla,Sella,,,,,صلّا,pray
dowwer,,,,,,دوّر,telephone
marka,,,,,,ماركا,score
zle9,zl9,,,,,زلق,slip
rtakb,rtakeb,,,,,رتاكب,commit
kchef,,,,,,كشف,detect
steb3ed,stb3ed,steb3ad,,,,ستبعد,exclude
3der,,,,,,عدر,excuse
fsser,,,,,,فسّر,interpret
ncher,,,,,,نشر,publish
laa9a,la9a,,,,,لاقا,link
tfawD,,,,,,تفاوض,negotiate
7ellel,,,,,,حلّل,analyze
smma,semma,,,,,سمّا,name
mtedd,,,,,,متدّ,stretch
t9elle9,t9lle9,t9alle9,,,,تقلّق,upset
2e88el,,,,,,أهّل,qualify
khsser,khesser,5esser,,,,خسّر,damage
Tle9,,,,,,طلق,launch
bda,,,,,,بدا,launch
Sbegh,Sbgh,Sbagh,,,,صبغ,paint
7edded,,,,,,حدّد,specify
mne7,,,,,,منح,grant
sellef,,,,,,سلّف,lend
bna,,,,,,بنا,construct
tfa3l,tfaa3l,tfa3el,,,,تفاعل,react
sta7e99,sta799,,,,,ستاحق,deserve
sta8el,stahel,stahal,sta8al,,,ستاهل,deserve
tre22es,tr22s,tre22s,tr22es,,,ترأس,head
wjje8,,,,,,وجّه,direct
8beT,,,,,,هبط,land
9aad,,,,,,قاد,conduct
tkebbed,,,,,,تكبّد,sustain
sifT,,,,,,سيفط,submit
tkowwen,,,,,,تكوّن,consist
3Sef,,,,,,عصف,blow
rched,,,,,,رشد,guide
9ne3,,,,,,قنع,convince
maars,mares,maares,,,,مارس,practice
9wwa,,,,,,قوّا,strengthen
do99,d99,,,,,دقّ,knock
3reD,,,,,,عرض,invite
tkhella,tkhlla,,,,,تخلّا,abandon
jaweb,,,,,,جاوب,reply
7errek,7rrek,7rrk,,,,حرّك,shake
Sle7,,,,,,صلح,fix
tDaa8er,,,,,,تضاهر,pretend
chawer,,,,,,شاور,consult
9sem,,,,,,قسم,divide
nkhareT,nkharT,,,,,نخارط,engage
7e99e9,,,,,,حقّق,fulfill
7kem,,,,,,حكم,rule
3aalj,3alj,3aalej,,,,عالج,process
jab,,,,,,جاب,fetch
n9el,,,,,,نقل,convey
dfe3,,,,,,دفع,thrust
jessed,jssd,jssed,,,,جسّد,incorporate
7Ser,,,,,,حصر,restrict
steb3ed,stb3ed,,,,,ستبعد,eliminate
zowwel,zwwel,,,,,زوّل,eliminate
lgha,,,,,,لغا,eliminate
7owwel,7wwel,,,,,حوّل,convert
t9a3d,t9a3ed,,,,,تقاعد,retire
DbeT,,,,,,ضبط,adjust
3ddel,,,,,,عدّل,adjust
s88el,,,,,,سهّل,ease
kobb,,,,,,كبّ,pour
Sebb,,,,,,صبّ,pour
nsej,,,,,,نسج,knit
d3em,,,,,,دعم,back
Trassa,,,,,,طراسا,trace
sejjel,sjjel,,,,,سجّل,register
7seb,7sb,hseb,hsb,,,حسب,calculate
7ffez,7affez,7effez,,,,حفّز,stimulate
Tbe3,,,,,,طبع,print
imprima,,,,,,إمپريما,print
twetter,totter,twatter,,,,توتّر,stress
3yyen,3iyyen,,,,,عيّن,appoint
tdkhkhel,tdekhel,tdkhl,tdekhkhel,tde55el,td55l,تدخّل,interfere
3tarD,3tareD,,,,,عتارض,object
9wwa,9owwa,,,,,قوّا,boost
dfe3,,,,,,دفع,boost
ysser,yesser,,,,,يسّر,facilitate
s88el,se88el,sehhel,,,,سهّل,facilitate
7taj,,,,,,حتاج,lack
7bes,,,,,,حبس,cease
nffed,neffed,,,,,نفّد,enforce
t2e9lem,t2a9lam,t29lm,t2e9lm,,,تأقلم,adapt
3god,3gd,3ged,3gued,,,عڭد,tie
9tabs,,,,,,قتابس,quote
syTer,siyTer,syTr,,,,سيطر,dominate
frg3,ferge3,,,,,فرڭع,pop
3jeb,,,,,,عجب,please
Semmem,Sammem,Smmem,,,,صمّم,design
tdkhkhel,tdekhel,tdkhl,tdekhkhel,tde55el,td55l,تدخّل,intervene
Tlle3,Tll3,Telle3,,,,طلّع,yield
sta9al,sta9aal,,,,,ستاقل,resign
t8ejja,,,,,,تهجّا,spell
7errek,7rrk,7rrek,,,,حرّك,stir
khSSeS,kheSSeS,,,,,خصّص,spare
9dder,9edder,,,,,قدّر,estimate
Dreb,Drb,,,,,ضرب,kick
rkel,rkl,,,,,ركل,kick
3dded,3edded,,,,,عدّد,list
lbes,lbs,,,,,لبس,dress
3len,3ln,,,,,علن,declare
diklara,,,,,,ديكلارا,declare
2ekked,2kked,akked,,,,أكّد,assure
stamdd,,,,,,ستامدّ,derive
dkhel,,,,,,دخل,access
2ejjel,2jjel,ajjel,,,,أجّل,delay
wDDe7,weDDe7,wDD7,,,,وضّح,clarify
n9el,n9l,n9ol,,,,نقل,copy
nsekh,nskh,nse5,,,,نسخ,copy
