"root_darija","nta","nti","ntoma"
"nchT","nchT","nchTi","nchTo"
"tfrrj","tfrrj","tfrrji","tfrrjo"
"khsr","khsr","khsri","khsro"
"tmchcha","tmchcha","tmchchay","tmchchaw"
"kbbr","kbbr","kbbri","kbbro"
"tkhyyl","tkhyyl","tkhyyli","tkhyylo"
"sbbeb","sbbeb","sbbebi","sbbebo"
"8rrs","8rrs","8rrsi","8rrso"
"sme3","sme3","sm3i","sm3o"
"kbr","kbr","kbri","kbro"
"mat","mout","mouti","mouto"
"twffa","twffa","twffay","twffaw"
"zar","zour","zouri","zouro"
"chjje3","chjje3","chjj3i","chjj3o"
"7ama","7ami","7ami","7amiw"
"nchr","nchr","nchri","nchro"
"9tl","9tl","9tli","9tlo"
"sag","soug","sougi","sougo"
"kdb","kdb","kdbi","kdbo"
"t9aj7","t9aj7","t9aj7i","t9aj7o"
"7yyed","7yyed","7yydi","7yydo"
"ddabz","ddabz","ddabzi","ddabzo"
"3mmr","3mmr","3mmri","3mmro"
"safr","safr","safri","safro"
"7Dr","7Dr","7Dri","7Dro"
"9sse7","9sse7","9ss7i","9ss7o"
"3ana","3ani","3ani","3aniw"
"zgl","zgl","zgli","zglo"
"3bbr","3bbr","3bbri","3bbro"
"rkkz","rkkz","rkkzi","rkkzo"
"la7","lou7","lou7i","lou7o"
"Sawb","Sawb","Sawbi","Sawbo"
"9ra","9ra","9ray","9raw"
"df3","df3","df3i","df3o"
"wrrk","wrrk","wrrki","wrrko"
"wSl","wSl","wSli","wSlo"
"Sona","Soni","Soni","Soniw"
"jm3","jm3","jm3i","jm3o"
"8rb","8rb","8rbi","8rbo"
"r77b","r77b","r77bi","r77bo"
"3wwl","3wwl","3wwli","3wwlo"
"ta9","ti9","ti9i","ti9o"
"3awd","3awd","3awdi","3awdo"
"khTTeT","khTTeT","khTTeTi","khTTeTo"
"frch","frch","frchi","frcho"
"2kkd","2kkd","2kkdi","2kkdo"
"kr8","kr8","kr8i","kr8o"
"tjwwj","tjwwj","tjwwji","tjwwjo"
"9sm","9sm","9smi","9smo"
"tbnna","tbnna","tbnnay","tbnnaw"
"tja8l","tja8l","tja8li","tja8lo"
"3rrf","3rrf","3rrfi","3rrfo"
"9ddm","9ddm","9ddmi","9ddmo"
"trina","trini","trini","triniw"
"br8n","br8n","br8ni","br8no"
"9n3","9n3","9n3i","9n3o"
"9ll3","9ll3","9ll3i","9ll3o"
"Swwt","Swwt","Swwti","Swwto"
"nkr","nkr","nkri","nkro"
"khbba","khbbi","khbbi","khbbiw"
"nj7","nj7","nj7i","nj7o"
"Tlb","Tlb","Tlbi","Tlbo"
"3tarf","3tarf","3tarfi","3tarfo"
"7sb","7sb","7sbi","7sbo"
"ntama","ntami","ntami","ntamiw"
"chekk","chekk","chekki","chekko"
"ghnna","ghnni","ghnni","ghnniw"
"nwa","nwi","nwi","nwiw"
"brrer","brrer","brreri","brrero"
"daf3","daf3","daf3i","daf3o"
"z3m","z3m","z3mi","z3mo"
"tsara7","tsara7","tsara7i","tsara7o"
"7km","7km","7kmi","7kmo"
"chark","chark","charki","charko"
"ghsl","ghsl","ghsli","ghslo"
"la7D","la7D","la7Di","la7Do"
"khddm","khddm","khddmi","khddmo"
"jm3","jm3","jm3i","jm3o"
"l77","l77","l77i","l77o"
"tla7","tla7","tla7i","tla7o"
"Tyyb","Tyyb","Tyybi","Tyybo"
"bka","bki","bki","bkiw"
"n3s","n3s","n3si","n3so"
"fa9","fi9","fi9i","fi9o"
"jm3","jm3","jm3i","jm3o"
"nsa7b","nsa7b","nsa7bi","nsa7bo"
"7ll","7ll","7lli","7llo"
"khbr","khbr","khbri","khbro"
"stalzem","stalzem","stalzmi","stalzmo"
"tsllf","tsllf","tsllfi","tsllfo"
"swwl","swwl","swwli","swwlo"
"khaTr","khaTr","khaTri","khaTro"
"sm7","sm7","sm7i","sm7o"
"sam7","sam7","sam7i","sam7o"
"9tar7","9tar7","9tar7i","9tar7o"
"7tafl","7tafl","7tafli","7taflo"
"Dyy3","Dyy3","Dyy3i","Dyy3o"
"ghbr","ghbr","ghbri","ghbro"
"tw993","tw993","tw993i","tw993o"
"ngr","ngr","ngri","ngro"
"9bT","9bT","9bTi","9bTo"
"gbD","gbD","gbDi","gbDo"
"naD","nouD","nouDi","nouDo"
"daz","douz","douzi","douzo"
"7bes","7bes","7bsi","7bso"
"9yyd","9yyd","9yydi","9yydo"
"wllf","wllf","wllfi","wllfo"
"khllT","khllT","khllTi","khllTo"
"gyyd","gyyd","gyydi","gyydo"
"7rg","7rg","7rgi","7rgo"
"7r9","7r9","7r9i","7r9o"
"staghll","staghll","staghlli","staghllo"
"kma","kmi","kmi","kmiw"
"7ddr","7ddr","7ddri","7ddro"
"baas","bous","bousi","bouso"
"3ln","3ln","3lni","3lno"
"khtabr","khtabr","khtabri","khtabro"
"tnffs","tnffs","tnffsi","tnffso"
"fat","fout","fouti","fouto"
"Saad9","Saad9","Saad9i","Saad9o"
"7tell","7tell","7telli","7tello"
"7arrar","7arrar","7arrari","7arraro"
"btasm","btasm","btasmi","btasmo"
"7fr","7fr","7fri","7fro"
"7tarm","7tarm","7tarmi","7tarmo"
"8dded","8dded","8ddedi","8ddedo"
"lgha","lghi","lghi","lghiw"
"khzn","khzn","khzni","khzno"
"nDDm","nDDm","nDDmi","nDDmo"
"nwwr","nwwr","nwwri","nwwro"
"7lf","7lf","7lfi","7lfo"
"7lm","7lm","7lmi","7lmo"
"SrT","SrT","SrTi","SrTo"
"bloka","bloki","bloki","blokiw"
"stab9","stab9","stab9i","stab9o"
"tta8m","tta8m","tta8mi","tta8mo"
"ghwwt","ghwwt","ghwwti","ghwwto"
"2ttr","2ttr","2ttri","2ttro"
"rttb","rttb","rttbi","rttbo"
"3ta9l","3ta9l","3ta9li","3ta9lo"
"nb7","nb7","nb7i","nb7o"
"khan","khoun","khouni","khouno"
"t7aTT","t7aTT","t7aTTi","t7aTTo"
"khtalf","khtalf","khtalfi","khtalfo"
"7tafD","7tafD","7tafDi","7tafDo"
"Tar","Tir","Tiri","Tiro"
"jrr","jrr","jrri","jrro"
"jrra","jrri","jrri","jrriw"
"df3","df3","df3i","df3o"
"8zz","8zz","8zzi","8zzo"
"rj3","rj3","rj3i","rj3o"
"Ta7","Ti7","Ti7i","Ti7o"
"3rf","3rf","3rfi","3rfo"
"nsa","nsa","nsay","nsaw"
"wSf","wSf","wSfi","wSfo"
"trjm","trjm","trjmi","trjmo"
"w3ed","w3ed","w3di","w3do"
"9llb","9llb","9llbi","9llbo"
"7bb","7bb","7bbi","7bbo"
"3ach","3ich","3ichi","3icho"
"skn","skn","skni","skno"
"khllS","khllS","khllSi","khllSo"
"sdd","sdd","sddi","sddo"
"w9f","w9f","w9fi","w9fo"
"stkhdm","stkhdm","stkhdmi","stkhdmo"
"stalm","stalm","stalmi","stalmo"
"fchl","fchl","fchli","fchlo"
"sbb","sbb","sbbi","sbbo"
"chka","chki","chki","chkiw"
"fD7","fD7","fD7i","fD7o"
"3tadr","3tadr","3tadri","3tadro"
"3nng","3nng","3nngi","3nngo"
"ndm","ndm","ndmi","ndmo"
"t3wwd","t3wwd","t3wwdi","t3wwdo"
"3Tas","3Tas","3Tsi","3Tso"
"k7ob","k7ob","k7bi","k7bo"
"2ejjel","2ejjel","2ejjli","2ejjlo"
"t3awn","t3awn","t3awni","t3awno"
"tbadl","tbadl","tbadli","tbadlo"
"9aaT3","9aaT3","9aaT3i","9aaT3o"
"tTwwe3","tTwwe3","tTww3i","tTww3o"
"9oulb","9oulb","9oulbi","9oulbo"
"tjnnb","tjnnb","tjnnbi","tjnnbo"
"8ml","8ml","8mli","8mlo"
"tla9a","tla9a","tla9ay","tla9aw"
"tjsses","tjsses","tjssesi","tjsseso"
"nta9m","nta9m","nta9mi","nta9mo"
"dfn","dfn","dfni","dfno"
"ghlb","ghlb","ghlbi","ghlbo"
"kan","koun","kouni","kouno"
"9der","9der","9dri","9dro"
"khda","khoud","khoudi","khoudo"
"7TT","7TT","7TTi","7TTo"
"khlla","khlli","khlli","khlliw"
"ban","ban","bani","bano"
"tDmmen","tDmmen","tDmmni","tDmmno"
"t7rrek","t7rrek","t7rrki","t7rrko"
"Dar","Dour","Douri","Douro"
"3tabr","3tabr","3tabri","3tabro"
"khlla","khlli","khlli","khlliw"
"tmenna","tmenna","tmennay","tmennaw"
"ntej","ntej","ntji","ntjo"
"b9a","b9a","b9ay","b9aw"
"chdd","chdd","chddi","chddo"
"to99e3","to99e3","to993i","to993o"
"Dmen","Dmen","Dmni","Dmno"
"8ezz","8ezz","8ezzi","8ezzo"
"3reD","3reD","3rDi","3rDo"
"d3em","d3em","d3mi","d3mo"
"hDer","hDer","hDri","hDro"
"9aad","9oud","9oudi","9oudo"
"b9a","b9a","b9ay","b9aw"
"w9ef","w9ef","w9fi","w9fo"
"wgef","wgef","wgfi","wgfo"
"9tar7","9tar7","9tar7i","9tar7o"
"Twwer","Twwer","Twwri","Twwro"
"gles","gles","glsi","glso"
"gadd","gadd","gaddi","gaddo"
"Sawb","Sawb","Sawbi","Sawbo"
"ttaf9","ttaf9","ttaf9i","ttaf9o"
"Tbbe9","Tbbe9","Tbb9i","Tbb9o"
"kowwen","kowwen","kowwni","kowwno"
"3bber","3bber","3bbri","3bbro"
"Dyye3","Dyye3","Dyy3i","Dyy3o"
"lta79","lta79","lta79i","lta79o"
"n99eS","n99eS","n99Si","n99So"
"n9ed","n9ed","n9di","n9do"
"tTelleb","tTelleb","tTellbi","tTellbo"
"799e9","799e9","799e9i","799e9o"
"t3amel","t3amel","t3amli","t3amlo"
"twaj8","twaj8","twaj8i","twaj8o"
"ghTTa","ghTTi","ghTTi","ghTTiw"
"Twwer","Twwer","Twwri","Twwro"
"maal","miil","miili","miilo"
"rsem","rsem","rsmi","rsmo"
"t7errek","t7errek","t7errki","t7errko"
"3zel","3zel","3zli","3zlo"
"kllef","kllef","kllfi","kllfo"
"br8en","br8en","br8ni","br8no"
"w9e3","w9e3","w93i","w93o"
"tna9ch","tna9ch","tna9chi","tna9cho"
"gabl","gabl","gabli","gablo"
"sala","sali","sali","saliw"
"9Sed","9Sed","9Sdi","9Sdo"
"9lleb","9lleb","9llbi","9llbo"
"nfe3","nfe3","nf3i","nf3o"
"9sem","9sem","9smi","9smo"
"partaja","partaji","partaji","partajiw"
"nche2","nche2","nch2i","nch2o"
"2esses","2esses","2essesi","2esseso"
"t7kkem","t7kkem","t7kkmi","t7kkmo"
"jawb","jawb","jawbi","jawbo"
"7edded","7edded","7eddedi","7eddedo"
"3tana","3tani","3tani","3taniw"
"mkken","mkken","mkkni","mkkno"
"Taalb","Taalb","Taalbi","Taalbo"
"kseb","kseb","ksbi","ksbo"
"mttel","mttel","mttli","mttlo"
"tDemmen","tDemmen","tDemmni","tDemmno"
"ghleb","ghleb","ghlbi","ghlbo"
"tchTen","tchTen","tchTni","tchTno"
"t7mmel","t7mmel","t7mmli","t7mmlo"
"sedd","sedd","seddi","seddo"
"tsa2el","tsa2el","tsa2li","tsa2lo"
"naaseb","naaseb","naasbi","naasbo"
"t3elle9","t3elle9","t3ell9i","t3ell9o"
"7eTT","7eTT","7eTTi","7eTTo"
"chmel","chmel","chmli","chmlo"
"ttaSel","ttaSel","ttaSli","ttaSlo"
"achaar","chiir","chiiri","chiiro"
"khdem","khdem","khdmi","khdmo"
"tSerref","tSerref","tSerrfi","tSerrfo"
"t2e9lem","t2e9lem","t2e9lmi","t2e9lmo"
"rbe7","rbe7","rb7i","rb7o"
"f7eS","f7eS","f7Si","f7So"
"redd","redd","reddi","reddo"
"3tamd","3tamd","3tamdi","3tamdo"
"njja","njji","njji","njjiw"
"kemmel","kemmel","kemmli","kemmlo"
"rtaf3","rtaf3","rtaf3i","rtaf3o"
"9ddem","9ddem","9ddmi","9ddmo"
"rowwej","rowwej","rowwji","rowwjo"
"chejje3","chejje3","chejj3i","chejj3o"
"2edda","2eddi","2eddi","2eddiw"
"medded","medded","meddedi","meddedo"
"khtalef","khtalef","khtalfi","khtalfo"
"fad","fid","fidi","fido"
"3elle9","3elle9","3ell9i","3ell9o"
"Tyye7","Tyye7","Tyy7i","Tyy7o"
"bellegh","bellegh","bellghi","bellgho"
"Sbb","Sbb","Sbbi","Sbbo"
"khtaber","khtaber","khtabri","khtabro"
"2emmen","2emmen","2emmni","2emmno"
"Towwel","Towwel","Towwli","Towwlo"
"waaf9","waaf9","waaf9i","waaf9o"
"saa8em","saa8em","saa8mi","saa8mo"
"medd","medd","meddi","meddo"
"rtabeT","rtabeT","rtabTi","rtabTo"
"tghelleb","tghelleb","tghellbi","tghellbo"
"tkhelleS","tkhelleS","tkhellSi","tkhellSo"
"7awel","7awel","7awli","7awlo"
"tkellef","tkellef","tkellfi","tkellfo"
"jdeb","jdeb","jdbi","jdbo"
"saa3d","saa3d","saa3di","saa3do"
"3awen","3awen","3awni","3awno"
"2etter","2etter","2ettri","2ettro"
"jerreb","jerreb","jerrbi","jerrbo"
"fkker","fkker","fkkri","fkkro"
"sina","sini","sini","siniw"
"khaf","khaf","khafi","khafo"
"lSe9","lSe9","lS9i","lS9o"
"swwa","swwa","swway","swwaw"
"rigl","rigl","rigli","riglo"
"9aaren","9aaren","9aarni","9aarno"
"7seb","7seb","7sbi","7sbo"
"7e99e9","7e99e9","7e99e9i","7e99e9o"
"n99a","n99i","n99i","n99iw"
"sjjel","sjjel","sjjli","sjjlo"
"chjjel","chjjel","chjjli","chjjlo"
"ktachf","ktachf","ktachfi","ktachfo"
"laam","loum","loumi","loumo"
"3a9","3i9","3i9i","3i9o"
"wSSel","wSSel","wSSli","wSSlo"
"chre3","chre3","chr3i","chr3o"
"brzeT","brzeT","brzTi","brzTo"
"freD","freD","frDi","frDo"
"3ta9ed","3ta9ed","3ta9di","3ta9do"
"3zem","3zem","3zmi","3zmo"
"nSe7","nSe7","nS7i","nS7o"
"ktaseb","ktaseb","ktasbi","ktasbo"
"strje3","strje3","strj3i","strj3o"
"tmiyyez","tmiyyez","tmiyyzi","tmiyyzo"
"chtabe8","chtabe8","chtab8i","chtab8o"
"mowwel","mowwel","mowwli","mowwlo"
"8dem","8dem","8dmi","8dmo"
"rDa","rDa","rDay","rDaw"
"tnafs","tnafs","tnafsi","tnafso"
"9aawem","9aawem","9aawmi","9aawmo"
"laa2em","laa2em","laa2mi","laa2mo"
"khaaTeb","khaaTeb","khaaTbi","khaaTbo"
"naachd","naachd","naachdi","naachdo"
"Tle9","Tle9","Tl9i","Tl9o"
"frez","frez","frzi","frzo"
"wSSa","wSSi","wSSi","wSSiw"
"2amer","2amer","2amri","2amro"
"8jem","8jem","8jmi","8jmo"
"twesse3","twesse3","twess3i","twess3o"
"tkerkeb","tkerkeb","tkerkbi","tkerkbo"
"nfajer","nfajer","nfajri","nfajro"
"t3e88ed","t3e88ed","t3e88di","t3e88do"
"dkker","dkker","dkkri","dkkro"
"fekker","fekker","fekkri","fekkro"
"n8ej","n8ej","n8ji","n8jo"
"rejje3","rejje3","rejj3i","rejj3o"
"Sder","Sder","Sdri","Sdro"
"Sag","Soug","Sougi","Sougo"
"gleb","gleb","glbi","glbo"
"stetmer","stetmer","stetmri","stetmro"
"weDDe7","weDDe7","weDD7i","weDD7o"
"mlek","mlek","mlki","mlko"
"t7edda","t7edda","t7edday","t7eddaw"
"7aawer","7aawer","7aawri","7aawro"
"tselle9","tselle9","tsell9i","tsell9o"
"fSel","fSel","fSli","fSlo"
"7aafD","7aafD","7aafDi","7aafDo"
"7wwel","7wwel","7wwli","7wwlo"
"stentej","stentej","stentji","stentjo"
"tira","tiri","tiri","tiriw"
"7essen","7essen","7essni","7essno"
"ra9b","ra9b","ra9bi","ra9bo"
"charja","charji","charji","charjiw"
"b7et","b7et","b7ti","b7to"
"stow3eb","stow3eb","stow3bi","stow3bo"
"chTe7","chTe7","chT7i","chT7o"
"Slla","Slli","Slli","Slliw"
"marka","marki","marki","markiw"
"zle9","zle9","zl9i","zl9o"
"rtakb","rtakb","rtakbi","rtakbo"
"steb3ed","steb3ed","steb3di","steb3do"
"3der","3der","3dri","3dro"
"fsser","fsser","fssri","fssro"
"laa9a","laa9i","laa9i","laa9iw"
"tfawD","tfawD","tfawDi","tfawDo"
"7ellel","7ellel","7elleli","7ellelo"
"smma","smmi","smmi","smmiw"
"mtedd","mtedd","mteddi","mteddo"
"t9elle9","t9elle9","t9ell9i","t9ell9o"
"2e88el","2e88el","2e88li","2e88lo"
"khsser","khsser","khssri","khssro"
"Sbegh","Sbegh","Sbghi","Sbgho"
"mne7","mne7","mn7i","mn7o"
"sellef","sellef","sellfi","sellfo"
"tfa3l","tfa3l","tfa3li","tfa3lo"
"sta7e99","sta7e99","sta799i","sta799o"
"tre22es","tre22es","tre22si","tre22so"
"wjje8","wjje8","wjj8i","wjj8o"
"8beT","8beT","8bTi","8bTo"
"tkebbed","tkebbed","tkebbdi","tkebbdo"
"tkowwen","tkowwen","tkowwni","tkowwno"
"3Sef","3Sef","3Sfi","3Sfo"
"rched","rched","rchdi","rchdo"
"9ne3","9ne3","9n3i","9n3o"
"maars","maars","maarsi","maarso"
"do99","do99","do99i","do99o"
"tkhella","tkhella","tkhellay","tkhellaw"
"jaweb","jaweb","jawbi","jawbo"
"tDaa8er","tDaa8er","tDaa8ri","tDaa8ro"
"chawer","chawer","chawri","chawro"
"nkhareT","nkhareT","nkharTi","nkharTo"
"7kem","7kem","7kmi","7kmo"
"3aalj","3aalj","3aalji","3aaljo"
"jessed","jessed","jessdi","jessdo"
"7Ser","7Ser","7Sri","7Sro"
"zowwel","zowwel","zowwli","zowwlo"
"7owwel","7owwel","7owwli","7owwlo"
"t9a3d","t9a3d","t9a3di","t9a3do"
"DbeT","DbeT","DbTi","DbTo"
"s88el","s88el","s88li","s88lo"
"kobb","kobb","kobbi","kobbo"
"Sebb","Sebb","Sebbi","Sebbo"
"nsej","nsej","nsji","nsjo"
"Trassa","TrassI","Trassi","Trassiw"
"sejjel","sejjel","sejjli","sejjlo"
"7ffez","7ffez","7ffzi","7ffzo"
"Tbe3","Tbe3","Tb3i","Tb3o"
"imprima","imprimi","imprimi","imprimiw"
"twetter","twetter","twettri","twettro"
"3yyen","3yyen","3yyni","3yyno"
"tdkhkhel","tdkhkhel","tdkhkhli","tdkhkhlo"
"3tarD","3tarD","3tarDi","3tarDo"
"9wwa","9wwi","9wwi","9wwiw"
"dfe3","dfe3","df3i","df3o"
"ysser","ysser","yssri","yssro"
"7taj","7taj","7taji","7tajo"
"3god","3god","3gdi","3gdo"
"9tabs","9tabs","9tabsi","9tabso"
"syTer","syTer","syTri","syTro"
"3jeb","3jeb","3jbi","3jbo"
"Semmem","Semmem","Semmemi","Semmemo"
"Tlle3","Tlle3","Tll3i","Tll3o"
"sta9al","sta9l","sta9li","sta9lo"
"t8ejja","t8ejja","t8ejjay","t8ejjaw"
"7errek","7errek","7errki","7errko"
"9dder","9dder","9ddri","9ddro"
"Dreb","Dreb","Drbi","Drbo"
"rkel","rkel","rkli","rklo"
"3dded","3dded","3ddedi","3ddedo"
"lbes","lbes","lbsi","lbso"
"diklara","diklari","diklari","diklariw"
"2ekked","2ekked","2ekkdi","2ekkdo"
"stamdd","stamdd","stamddi","stamddo"
"wDDe7","wDDe7","wDD7i","wDD7o"
"nsekh","nsekh","nskhi","nskho"
"fDDel","fDDel","fDDli","fDDlo"
"9beT","9beT","9bTi","9bTo"
"3zzez","3zzez","3zzezi","3zzezo"
"fhem","fhem","fhmi","fhmo"
"ghaader","ghaader","ghaadri","ghaadro"
"raaf9","raaf9","raaf9i","raaf9o"
"S77e7","S77e7","S77e7i","S77e7o"
"3owweD","3owweD","3owwDi","3owwDo"
"sre9","sre9","sr9i","sr9o"
"chfer","chfer","chfri","chfro"
"9owweD","9owweD","9owwDi","9owwDo"
"3aareD","3aareD","3aarDi","3aarDo"
"zreb","zreb","zrbi","zrbo"
"ncher","ncher","nchri","nchro"
"9aaDaa","9aaDi","9aaDi","9aaDiw"
"miza","mizi","mizi","miziw"
"Dowwa","Dowwi","Dowwi","Dowwiw"
"tbaT2","tbaT2","tbaT2i","tbaT2o"
"8emm","8emm","8emmi","8emmo"
"rfeD","rfeD","rfDi","rfDo"
"rkkez","rkkez","rkkzi","rkkzo"
"Taabe9","Taabe9","Taab9i","Taab9o"
"zrreb","zrreb","zrrbi","zrrbo"
"ghre9","ghre9","ghr9i","ghr9o"
"ntaz3","ntaz3","ntaz3i","ntaz3o"
"kalma","kalmi","kalmi","kalmiw"
"7tejj","7tejj","7tejji","7tejjo"
"waazen","waazen","waazni","waazno"
"tbbet","tbbet","tbbti","tbbto"
"Towwer","Towwer","Towwri","Towwro"
"Tred","Tred","Trdi","Trdo"
"tdffe9","tdffe9","tdff9i","tdff9o"
"tdffeg","tdffeg","tdffgi","tdffgo"
"jerr","jerr","jerri","jerro"
"jerra","jerri","jerri","jerriw"
"tTaab9","tTaab9","tTaab9i","tTaab9o"
"chkkel","chkkel","chkkli","chkklo"
"tt3jeb","tt3jeb","tt3jbi","tt3jbo"
"khffef","khffef","khffefi","khffefo"
"3kes","3kes","3ksi","3kso"
"ndamj","ndamj","ndamji","ndamjo"
"7iyyen","7iyyen","7iyyni","7iyyno"
"ghiyyer","ghiyyer","ghiyyri","ghiyyro"
"amer","amer","amri","amro"
"mtatel","mtatel","mtatli","mtatlo"
"stkhrej","stkhrej","stkhrji","stkhrjo"
"3aarD","3aarD","3aarDi","3aarDo"
"ste2nef","ste2nef","ste2nfi","ste2nfo"
"tze3lel","tze3lel","tze3leli","tze3lelo"
"sllem","sllem","sllmi","sllmo"
"waaj8","waaj8","waaj8i","waaj8o"
"Doubl","Doubl","Doubli","Doublo"
"chtamel","chtamel","chtamli","chtamlo"
"ch8ed","ch8ed","ch8di","ch8do"
"ghres","ghres","ghrsi","ghrso"
"jzem","jzem","jzmi","jzmo"
"kchef","kchef","kchfi","kchfo"
"3Ser","3Ser","3Sri","3Sro"
"bjegh","bjegh","bjghi","bjgho"
"rbeT","rbeT","rbTi","rbTo"
"Derr","Derr","Derri","Derro"
"2aada","2aadi","2aadi","2aadiw"
"Tleb","Tleb","Tlbi","Tlbo"
"3aana","3aani","3aani","3aaniw"
"khddem","khddem","khddmi","khddmo"
"t3awen","t3awen","t3awni","t3awno"
"sre7","sre7","sr7i","sr7o"
"chdded","chdded","chddedi","chddedo"
"3ber","3ber","3bri","3bro"
"wzen","wzen","wzni","wzno"
"tzaamn","tzaamn","tzaamni","tzaamno"
"7na","7ni","7ni","7niw"
"nDDem","nDDem","nDDmi","nDDmo"
"rffe8","rffe8","rff8i","rff8o"
"twe99e3","twe99e3","twe993i","twe993o"
"Sdder","Sdder","Sddri","Sddro"
"le77","le77","le77i","le77o"
"skhkhen","skhkhen","skhkhni","skhkhno"
"dffa","dffi","dffi","dffiw"
"sme7","sme7","sm7i","sm7o"
"Tmmer","Tmmer","Tmmri","Tmmro"
"khDe3","khDe3","khD3i","khD3o"
"b8er","b8er","b8ri","b8ro"
"nkhafD","nkhafD","nkhafDi","nkhafDo"
"frek","frek","frki","frko"
"wkkel","wkkel","wkkli","wkklo"
"wzze3","wzze3","wzz3i","wzz3o"
"khlleS","khlleS","khllSi","khllSo"
"rjje3","rjje3","rjj3i","rjj3o"
"sta3aad","sta3d","sta3di","sta3do"
"9ellel","9ellel","9elleli","9ellelo"
"w99ef","w99ef","w99fi","w99fo"
"wggef","wggef","wggfi","wggfo"
"z3ej","z3ej","z3ji","z3jo"
"3eDD","3eDD","3DDi","3DDo"
"t9ddem","t9ddem","t9ddmi","t9ddmo"
"kerres","kerres","kerrsi","kerrso"
"stafzz","stafzz","stafzzi","stafzzo"
"Tem2en","Tem2en","Tem2ni","Tem2no"
"t2emmel","t2emmel","t2emmli","t2emmlo"
"7dder","7dder","7ddri","7ddro"
"tfa3el","tfa3el","tfa3li","tfa3lo"
"btaker","btaker","btakri","btakro"
"3aan9","3aan9","3aan9i","3aan9o"
"3zza","3zzi","3zzi","3zziw"
"dowweb","dowweb","dowwbi","dowwbo"
"ttekka","ttekka","ttekkay","ttekkaw"
"7tars","7tars","7tarsi","7tarso"
"tchab8","tchab8","tchab8i","tchab8o"
"tjowwej","tjowwej","tjowwji","tjowwjo"
"8rres","8rres","8rrsi","8rrso"
