n1,n2,n3,n4,darija_ar,eng
kalm,calm,,,كالم,calm
wa7id,wa7yd,wahid,,وحيد,lonely
mnba8er,mnba8ar,mnba8r,menba8ar,منباهر,amazed
mstghrb,msteghreb,mstaghreb,mestaghreb,مستغرب,astonished
mchoki,,,,مشوكي,shocked
mrwwn,mrewwen,mrawwen,,مروّن,confused
mtredded,mtradded,mtraddad,,متردّد,hesitant
3yyan,3eyyan,msekhsekh,mot3ab,عيّان,tired
Tmma3,Tamma3,Temma3,,طمّاع,greedy
anani,anaani,,,أناني,selfish
skhi,s5i,,,سخي,generous
s9ram,se9ram,,,سقرام,stingy
bakhil,ba5il,,,بخيل,stingy
Drief,Drayaf,Drayef,Dryef,ضريف,kind
Sbbar,Sabbar,,,صبّار,patient
m2ddb,m2ddeb,m2eddeb,m2addeb,مأدب,polite
m3gaz,me3gaz,ma3gaz,,معڭاز,lazy
mojta8id,mojtahid,moujta8id,,مجتهد,hardworking
choja3,chojaa3,,,شجاع,brave
za3em,zaa3em,za3m,,زاعم,brave
fDoli,fDouli,,,فضولي,curious
mghrour,mghror,,,مغرور,arrogant
mtwaD3,metwaDe3,mtwaDa3,,متواضع,humble
ja8il,jaa8il,jahil,,جاهل,ignorant
3abiT,,,,عبيط,silly
dki,,,,دكي,smart
7akim,hakim,,,حكيم,wise
nabigha,naabigha,,,نابغة,genius
amine,,,,أمين,trustworthy
kddab,keddab,kaddab,,كدّاب,liar
ghddar,gheddar,ghaddar,,غدّار,betrayer
nSSab,neSSab,naSSab,,نصّاب,swindler
nyya,nia,nya,,نيّة,naive
mtfa2l,mtfa2el,motafa2il,,متفاءل,optimistic
mtcha2m,mtcha2em,motacha2im,,متشاءم,pessimistic
komik,comic,,,كوميك,funny
ytim,yatim,itym,ytym,يتيم,orphan
7amla,hamla,,,حاملة,pregnant
ijabi,,,,إجابي,positive
silbi,,,,سلبي,negative
waa9i3i,wa9i3i,,,واقعي,realistic
tay3yyef,tay3yyf,kay3iyyef,kay3yyaf,تايعيّف,disgusting
tay3adi,kay3adi,,,تايعادي,contagious
3ma,,,,عمى,blind
Smk,Smek,Smak,,صمك,deaf
zizoun,zizon,,,زيزون,mute
mchllel,mchallal,mchellal,mchallel,مشلّل,paralyzed
mo3wwa9,mo3a9,mo3aa9,,معوّق,handicapped
3agr,3ager,3agar,,عاڭر,sterile
mj8oul,mj8ol,mjhoul,,مجهول,unknown
m9boul,ma9boul,m9bol,,مقبول,acceptable
m39ol,m39oul,,,معقول,reasonable
mn7az,men7az,ma7az,mn7aaz,منحاز,biased
mo7ayid,mo7aayid,,,محايد,neutral
waaD7,waaDe7,,,واضح,clear
mojrim,moujrim,,,مجرم,criminal
9ttal,9ettal,,,قتّال,murderer
ghali,,,,غالي,expensive
rkhiS,,,,رخيص,cheap
ga3,,,,ڭاع,all
lkhrin,khrin,,,لخرين,other
zwin,,,,زوين,good
lkher,,,,لخر,last
b7al,,,,بحال,same
sghir,,,,صغير,little
mghyyer,,,,مغيّر,different
lli mora,,,,اللي مورا,next
3aDim,,,,عضيم,great
ma7lli,ma7alli,,,محلّي,local
jtima3i,jtimaa3i,,,جتماعي,social
mo8im,mohim,mohimm,,مهم,important
waTani,,,,وطني,national
3aali,3ali,,,عالي,high
Twil,,,,طويل,long
ttani,tani,,,التاني,second
waas3,was3,,,واسع,large
3aamm,3amm,,,عامّ,general
momkin,moumkin,,,ممكن,possible
chaabb,,,,شابّ,young
syasi,siasi,siyasi,,سياسي,political
3omoumi,3omomi,,,عمومي,public
mo7ddad,,,,محدّد,particular
mojoud,mojod,,,موجود,available
bkri,bekri,,,بكري,early
asaasi,asasi,,,أساسي,main
ra2isi,,,,رئيسي,major
9tiSadi,i9tiSadi,,,قتصادي,economic
mo2kkad,,,,مؤكد,sure
ghaliban,ghaaliban,,,غالبا,likely
wa7id,wa7iid,,,وحيد,only
dawli,,,,دولي,international
m2kked,mo2kkad,,,مؤكد,certain
mo3yyan,,,,معيّن,assigned
mo3yyan,,,,معيّن,certain
momyyaz,,,,مميّز,special
S3ib,,,,صعيب,difficult
m7loul,,,,محلول,open
kollchi,,,,كولّشي,whole
neSS,,,,نصّ,half
7orr,,,,حرّ,free
markazi,,,,مركزي,central
mochtarak,,,,مشترك,common
cha2i3,chaa2i3,,,شائع,common
mtchab8,,,,متشابه,similar
Darouri,Darori,,,ضروري,necessary
S7i7,,,,صحيح,true
3aazib,3azib,,,عازب,single
wa7id,,,,وحيد,single
khaSS,khaaSS,,,خاصّ,private
chkhSi,chekhSi,chakhSi,,شخصي,personal
maali,,,,مالي,financial
ajnabi,,,,أجنبي,foreign
chdid,,,,شديد,strong
naa9S,,,,ناقص,low
mtnwwe3,mtnowwe3,,,متنوّع,various
7aaDir,7aDir,,,حاضر,present
malaki,,,,ملكي,royal
khaT2,khaTi2,khaaT2,,خاطئ,wrong
bo7do,,,,بوحدو,individual
7aali,7ali,,,حالي,current
9aanouni,9anouni,9anoni,,قانوني,legal
7adit,,,,حديت,modern
lkher,llekher,,,لخر,final
zwin,,,,زوين,nice
mzyan,mzian,mezian,,مزيان,fine
9rib,,,,قريب,close
m39ol,m39oul,,,معقول,serious
saabi9,sabi9,,,سابق,previous
mo3tabar,,,,معتبر,significant
ra2is,,,,رئيس,prime
Sinaa3i,Sina3i,,,صناعي,industrial
mo7ddad,,,,محدّد,specific
monaasib,monasib,,,مناسب,appropriate
3aali,,,,عالي,top
myyet,,,,ميّت,dead
mt2ssef,,,,متأسّف,sorry
naaj7,naj7,,,ناجح,successful
7rbi,7arbi,7erbi,,حربي,military
asaasi,asasi,,,أساسي,basic
wa3i,waa3i,,,واعي,aware
mch8our,mch8or,,,مشهور,popular
mi8ani,,,,مهني,professional
mobachir,mobaachir,,,مباشر,direct
mofid,,,,مفيد,useful
f33al,f33aal,,,فعّال,effective
wajd,,,,واجد,ready
mDllem,mDellem,mDallem,,مضلّم,dark
mosta9ill,,,,مستقل,independent
t9lidi,,,,تقليدي,traditional
ghrbi,gherbi,gharbi,,غربي,western
mo3tabar,,,,معتبر,considerable
bard,baard,,,بارد,cold
ms2oul,ms2ol,,,مسؤول,responsible
kaml,kaaml,,,كامل,complete
Tibbi,,,,طبّي,medical
skhoun,skhon,,,سخون,hot
mo8imm,mohimm,,,مهم,essential
dakari,,,,دكري,male
awwali,,,,أوّلي,primary
madani,,,,مدني,civil
most9bali,,,,مستقبلي,future
by2i,bi2i,,,بيئة,environmental
waD7,,,,واضح,obvious
lkbir,,,,لكبير,senior
nawawi,,,,نووي,nuclear
sanawi,,,,سنوي,annual
jihawi,ji8awi,,,جهوي,regional
tijari,tijaari,,,تجاري,commercial
llekher,,,,اللخر,latter
taTbi9i,,,,تطبيقي,practical
3amali,,,,عملي,practical
3ami9,,,,عميق,deep
rsmi,rasmi,resmi,,رسمي,official
ra2isi,,,,رئيسي,chief
montaDim,,,,منتضم,regular
m2louf,m2lof,,,مألوف,usual
zayd,,,,زايد,additional
nachT,,,,ناشط,active
standar,,,,ستاندار,standard
9wi,,,,قوي,powerful
wasaT,wsT,,,وسط,middle
gddami,,,,ڭدّامي,front
mosta7il,,,,مستحيل,impossible
mnzili,,,,منزلي,domestic
fi3li,,,,فعلي,actual
ti9ni,,,,تقني,technical
3adi,3aadi,,,عادي,ordinary
dakhili,daakhili,,,داخلي,internal
momtaz,momtaaz,,,ممتاز,excellent
Tri,,,,طري,fresh
b3id,,,,بعيد,far
mo7tamal,,,,محتمل,potential
chamali,,,,شمالي,northern
dini,dyni,diini,,ديني,religious
ta9afi,ta9aafi,,,تقافي,cultural
mochtarak,,,,مشترك,joint
bo7do,,,,بوحدو,alone
aamin,2aamin,,,امن,safe
mo7afiD,mo7aafiD,,,محافض,conservative
chkli,,,,شكلي,formal
monasib,,,,مناسب,proper
bzzaf,,,,بزّاف,very
9arawi,,,,قروي,rural
mbda2i,,,,مبدئي,initial
magaddch,,,,ماقادش,unable
mo3ddal,,,,معدّل,average
dafi,daafi,,,دافي,warm
ghrib,gharib,,,غريب,strange
mola2im,molaa2im,,,ملائم,suitable
m7bob,m7boub,,,محبوب,lovely
fawri,,,,فوري,immediate
ijmali,ijmaali,,,إجمالي,overall
msawi,,,,مساوي,equal
kafi,,,,كافي,sufficient
dimo9raTi,dimou9raaTi,,,ديموقراطي,democratic
chr9i,cher9i,char9i,,شرقي,eastern
8adi2,8aadi2,,,هاديء,quiet
t3limi,t3liimi,,,تعليمي,educational
S7i7,,,,صحيح,correct
3ilmi,,,,علمي,scientific
ontawi,,,,أُنتوي,female
39li,,,,عقلي,mental
khaTir,,,,خطير,dangerous
7arij,,,,حرج,critical
mDobl,mDoubl,,,مضوبل,double
sri3,,,,سريع,quick
mamo7tamalch,,,,مموحتمالش,unlikely
m2lof,m2louf,,,مألوف,familiar
tarikhi,taarikhi,,,تاريخي,historical
janoubi,janobi,,,جنوبي,southern
mitaali,mitali,,,متالي,perfect
mSro3,mSrou3,,,مصروع,perfect
yawmi,,,,يومي,daily
mota7rrir,,,,متحرّر,liberal
liberali,,,,ليبرالي,liberal
7aDari,,,,حضاري,urban
fogani,fo9ani,,,فوڭاني,upper
bayn,bayen,,,باين,apparent
khaD3,khaaD3,,,خاضع,subject
sghiwwer,sghiwwr,,,صغيوّر,tiny
mDwwi,mDoowi,,,مضوّي,bright
akhla9i,akhlaa9i,,,أخلاقي,moral
badil,badiil,,,بديل,alternative
jddab,,,,جدّاب,attractive
radd lbal,,,,رادّ لبال,careful
7ayawi,,,,حيوي,vital
8amaji,,,,همجي,wild
khawi,,,,خاوي,empty
damawi,,,,دموي,bloody
khariji,,,,خارجي,external
charf,,,,شارف,elderly
nisbi,,,,نسبي,relative
9dim,,,,قديم,ancient
mkhtaSr,mkhtaSer,,,مختاصر,brief
gadd,9add,,,ڭادّ,capable
namoudaji,,,,نمودجي,typical
mtisse3,mtiss3,,,متيسّع,broad
mDyye9,,,,مضيّق,narrow
kollo,,,,كولّو,entire
ra2i3,raa2i3,,,رائع,wonderful
tabt,,,,تابت,constant
mitali,mitaali,,,متالي,ideal
akadimi,,,,أكاديمي,academic
9aaser,9aaSir,,,قاصر,minor
mamo8immch,,,,ماموهيمّش,minor
was3,,,,واسع,vast
naadir,nadir,,,نادر,rare
7aadd,,,,حادّ,severe
asaasi,asasi,,,أساسي,fundamental
daym,,,,دايم,permanent
ra8ib,ra8iib,,,رهيب,terrible
mriD,,,,مريض,ill
ghliD,,,,غليض,thick
maSiri,maSiiri,,,مصيري,crucial
daakhili,dakhili,,,داخلي,inner
taab3,,,,تابع,subsequent
mo3aSir,mo3aaSir,,,معاصر,contemporary
kbir,,,,كبير,grand
sab9,,,,سابق,prior
taanawi,tanawi,,,تانوي,secondary
fchkel,fchkl,fchkal,,فشكل,odd
8a2il,8aa2il,haa2il,,هائل,massive
bo7do,,,,بوحدو,unique
7aadd,,,,حادّ,sharp
mriD,,,,مريض,sick
choyou3i,,,,شيوعي,communist
Saafi,,,,صافي,net
mTwwel,,,,مطوّل,long-term
modnib,,,,مدنب,guilty
chaamil,chamil,,,شامل,extensive
Dakhm,,,,ضخم,enormous
7yy,7eyy,7ayy,,حيّ,alive
zira3i,ziraa3i,,,زراعي,agricultural
ra2isi,,,,رئيسي,principal
f33al,f33aal,,,فعّال,efficient
mz8ar,mz8aar,,,مزهار,lucky
3orfi,,,,عرفي,conventional
taTwwo3i,taTawwo3i,,,تطوّعي,voluntary
dramatiki,,,,دراماتيكي,dramatic
mo299at,mow99at,,,مؤقّت,temporary
da8abi,,,,دهبي,golden
7ibbi,,,,حبّي,friendly
m3tamd,,,,معتامد,dependent
tanafosi,tanaafosi,,,تنافسي,competitive
jdri,jedri,jadri,,جدري,radical
7ssas,7essas,,,حسّاس,sensitive
kharj,khaarij,khaarj,5arj,خارج,outside
msTT7,mseTTa7,msaTTe7,msaTTa7,مسطّح,flat
3aaTifi,3aTifi,,,عاطفي,emotional
khaT2,khaaTe2,,,خاطئ,false
monasib,monaasib,,,مناسب,adequate
Si77i,,,,صحّي,healthy
chaamil,chamil,,,شامل,global
sri3,,,,سريع,rapid
idaari,idari,,,إداري,administrative
skkouti,skkoti,,,سكّوتي,silent
l7dd,l7edd,,,لحدّ,maximum
D3if,,,,ضعيف,weak
ml7ouD,,,,ملحوض,remarkable
sirri,,,,سرّي,secret
3ziz,,,,عزيز,dear
jama3i,,,,جماعي,mass
fazg,faazg,,,فازڭ,wet
9as7,9ase7,,,قاسح,solid
mota2lli9,mt2elle9,mt2alla9,,متألق,brilliant
electroni,iliktroni,elektroni,,إلكتروني,electronic
moTla9,,,,مطلق,absolute
kaytchaf,,,,كايتشاف,visual
tlkhcheb,tlkhchab,,,تلخشب,wooden
Saarim,Sarim,,,صارم,firm
tDDo,,,,تضّو,electric
kimya2i,,,,كيميائي,chemical
saami,sami,,,سامي,supreme
adabi,,,,أدبي,literary
khaaliS,,,,خالص,pure
9as7,9aas7,,,قاسح,rough
mojrrad,,,,مجرّد,mere
aSiil,,,,أصيل,genuine
a9Saa,a9Sa,,,أقصى,extreme
ba8t,,,,باهت,pale
mntachr,mentacher,mntacher,,منتاشر,widespread
katoliki,catoliki,,,كاتوليكي,catholic
klasiki,classiki,,,كلاسيكي,classical
mofDDal,,,,مفضّل,favorite
chtiraki,,,,شتراكي,socialist
3rram,,,,عرّام,numerous
7lo,7low,7lou,,حلو,sweet
mkhtalf,mkhtalef,,,مختالف,distinct
tay9,,,,تايق,confident
Dedd,,,,ضدّ,opposite
mofid,,,,مفيد,helpful
S3ib,,,,صعيب,tough
mtnas9,mtnase9,,,متناسق,consistent
sri3,,,,سريع,fast
msta9err,msta9arr,,,مستاقرّ,stable
goud,,,,ڭود,straight
kaykhle3,,,,كايخلع,awful
stratiji,,,,ستراتيجي,strategic
momtaz,,,,ممتاز,outstanding
kliniki,,,,كلينيكي,clinical
a9all haja,a9all 7aja,,,أقلّ حاجة,minimum
wa3i,waa3i,,,واعي,conscious
msyTer,msiTer,,,مسيطر,dominant
bard,,,,بارد,cool
dostouri,dostori,,,دستوري,constitutional
ghDban,gheDban,ghaDban,,غضبان,mad
naDari,,,,نضري,theoretical
m8moum,mhmoum,m8mom,,مهموم,anxious
mo9ddas,,,,مقدّس,holy
sakani,,,,سكني,residential
monasib,monaasib,,,مناسب,fit
7eyy,7ayy,,,حيّ,live
las9,,,,لاسق,accurate
mousi9i,mosi9i,,,موسيقي,musical
fo9 l3ada,faw9 l3ada,fo9 l3aada,,فوق العادة,extraordinary
khari9 lil3ada,khar9 ll3ada,,,خارق للعادة,extraordinary
nazih,nazi8,,,نزيه,honest
d9i9,,,,دقيق,precise
bayn,,,,باين,visible
9lil,,,,قليل,slight
dyal lflous,,,,ديال لفلوس,monetary
3an bo3d,,,,عن بعد,remote
Sari7,Sarii7,,,صريح,plain
b3id,,,,بعيد,distant
chomour,chomor,,,شومور,unemployed
mchomer,mchomr,,,مشومر,unemployed
wagf,,,,واڭف,still
Drief,Driyef,,,ضريف,gentle
nefsi,nfsi,,,نفسي,psychological
SSghir,,,,الصغير,junior
mles,,,,ملس,smooth
3anif,3aniif,,,عنيف,violent
haykali,8aykali,,,هيكلي,structural
mdwwer,mdowwer,mdowwar,,مدوّر,round
7ssas,,,,حسّاس,sensible
mol99ab,,,,ملقّب,so-called
mttaSel,,,,متّاصل,continuous
9rib,,,,قريب,near
momtann,,,,ممتنّ,grateful
zwin,,,,زوين,pretty
waD7,,,,واضح,evident
mawsimi,,,,موسمي,occasional
momti3,,,,ممتع,pleasant
kawni,,,,كوني,universal
zamil,,,,زميل,fellow
klasiki,,,,كلاسيكي,classic
mossekh,mmossekh,,,موسّخ,dirty
kaykaafe2,,,,كايكافء,equivalent
mrkhi,,,,مرخي,loose
mobdi3,,,,مبدع,creative
ni8aa2i,,,,نهائي,ultimate
loghawi,,,,لغوي,linguistic
taabt,tabt,,,تابت,steady
fikri,,,,فكري,intellectual
fa9d l2amal,,,,فاقد لأمل,desperate
9aDaa2i,,,,قضائي,judicial
tawri,,,,توري,revolutionary
imbraTouri,,,,إمبراطوري,imperial
ghayr 9anoni,ghayr 9aanouni,ghayr 9aanoni,,غير قانوني,illegal
khaam,,,,خام,raw
khaariji,khariji,,,خارجي,outer
ghayr rsmi,,,,غير رسمي,informal
morr,marr,,,مرّ,bitter
tjribi,,,,تجريبي,experimental
jama3i,,,,جماعي,collective
kayt3awd,,,,كايتعاود,frequent
rou7i,,,,روحي,spiritual
mcharji,,,,مشارجي,intense
taarikhi,tarikhi,,,تاريخي,historic
m39oul,m39ol,,,معقول,rational
mamnasbch,mamnasebch,,,مامناسبش,inadequate
7add,,,,حادّ,acute
mnTi9i,,,,منطقي,logical
m9bol,,,,مقبول,valid
osbou3i,,,,أُسبوعي,weekly
3chwa2i,,,,عشوائي,random
mtwaD3,,,,متواضع,modest
mzyyer,mzayyar,mzeyyer,,مزيّر,tight
automatic,,,,أتوماتيك,automatic
na3s,na3es,,,ناعس,asleep
dki,dky,,,دكي,clever
ms2oul,mes2oul,,,مسؤول,liable
motabaadal,motabadal,,,متبادل,mutual
moDa3af,,,,مضاعف,multiple
ti9a,,,,ثقة,reliable
bo7do,,,,بوحدو,sole
nnawa7i,,,,النواحي,nearby
8aamichi,8amichi,,,هامشي,marginal
mTab9,,,,مطابق,identical
bDDbT,bDDebT,bDDabT,,بضّبط,exact
ntikhabi,,,,نتخابي,electoral
momyyiz,,,,مميّز,distinctive
chafawi,,,,شفوي,oral
3ryan,,,,عريان,bare
ri2aasi,ri2asi,,,رئاسي,presidential
3oDwi,,,,عضوي,organic
bl7sab,,,,بلحساب,statistical
3ajil,3aajil,,,عاجل,urgent
mrghoub,,,,مرغوب,desirable
7Sri,7eSri,,,حصري,exclusive
yawmi,,,,يومي,everyday
ra2i3,,,,رائع,superb
Saarim,,,,صارم,strict
mamtwe99e3ch,mamto99e3ch,,,مامتوقّعش,unexpected
barii2,bari2,,,بريء,innocent
b7ri,be7ri,,,بحري,marine
romansi,,,,رومانسي,romantic
mSTane3,,,,مصطانع,artificial
mo2ssasati,,,,مؤسساتي,institutional
ra2i3,,,,رائع,magnificent
bioloji,biologi,,,بيولوجي,biological
diplomasi,,,,ديپلوماسي,diplomatic
monaasib,monasib,,,مناسب,convenient
8a2il,8aa2il,,,هائل,tremendous
ra2smali,ra2smaali,,,رأسمالي,capitalist
khddam,,,,خدّام,functional
mikaniki,,,,ميكانيكي,mechanical
mobaachir,,,,مباشر,straightforward
mami99ench,mamty99ench,,,ماميقّنش,uncertain
r9mi,,,,رقمي,digital
mod8il,,,,مدهل,spectacular
3odwani,,,,عدواني,aggressive
3ryan,,,,عريان,naked
machi 3aadil,,,,ماشي عادل,unfair
mtfowwe9,,,,متفوّق,superior
kolla ch8er,,,,كولّا شهر,monthly
tchri3i,,,,تشريعي,legislative
iDafi,,,,إضافي,spare
Sarii7,Sari7,,,صريح,explicit
mo2lim,,,,مؤلم,painful
mtab3,,,,متابع,successive
dki,,,,دكي,intelligent
m9lle9,m9alla9,m9ll9,,مقلّق,unhappy
jiini,,,,جيني,genetic
maDarorich,,,,ماضاروريش,unnecessary
mo2ttir,,,,مؤثر,influential
ghir,,,,غير,just
hir,8ir,,,هير,just
just,,,,جيست,just
ji3an,,,,جيعان,hungry
mokttaf,,,,مكتّف,intensive
stiwa2i,,,,استوائي,tropical
mowazi,mwazi,,,موازي,parallel
mabaynch,,,,ماباينش,subtle
2aamin,aamin,,,آمن,secure
lt7tani,,,,لتحتاني,bottom
ra2i3,,,,رائع,marvelous
ftitaa7i,iftitat7i,,,فتيتاحي,preliminary
joz2i,,,,جزء,partial
a9all,,,,أقلّ,lesser
mosa3id,,,,مساعد,assistant
3amoudi,3amodi,,,عمودي,vertical
tdriiji,tdriji,,,تدريجي,progressive
9aarri,,,,قارّي,continental
kay3yyef,kay3yyf,,,كايعيّف,nasty
raa9i,,,,راقي,elegant
mlmous,melmous,mlmos,,ملموس,concrete
mo299at,,,,مؤقت,interim
ilzami,ilzaami,,,إلزامي,compulsory
mozmin,,,,مزمن,chronic
kaytkhlleS,,,,كايتخلّص,payable
mn8aji,mnhaji,man8aji,,منهاجي,systematic
mawDou3i,moDo3i,mowDo3i,,موضوعي,objective
momyyiz,,,,مميّز,characteristic
fazg,,,,فازڭ,damp
7ssas,,,,حسّاس,delicate
momill,,,,مملّ,dull
si7ri,,,,سحري,magic
mnirvi,,,,منيرڤي,upset
awwal,,,,أوّل,premier
kayD77ek,,,,كايضحّك,fun
ra2i3,,,,رائع,splendid
khddam,,,,خدّام,operational
stichaari,stichari,,,ستشاري,advisory
bida2i,bidaa2i,,,بدائي,primitive
idioloji,idyoloji,,,إديولوجي,ideological
tiknoloji,,,,تيكنولوجي,technological
ani9,,,,أنيق,neat
mo3akis,,,,معاكس,contrary
mlas9,,,,ملاسق,adjacent
3odwani,,,,عدواني,hostile
mitli,,,,متلي,gay
2aamn,,,,امن,peaceful
kaykhle3,,,,كايخلع,horrible
joghrafi,,,,جغرافي,geographical
dinamiki,,,,ديناميكي,dynamic
mota7rrik,,,,متحرّك,dynamic
momtaz,,,,ممتاز,super
ghayr mobachir,,,,غير مباشر,indirect
tamiin,tamin,,,تمين,precious
ghali,ghaali,,,غالي,precious
ml7ouD,,,,ملحوض,notable
mo7ddad,,,,محدّد,definite
mo2sif,,,,مؤسف,unfortunate
fnni,fenni,fanni,,فنّي,artistic
mighnaTisi,mighnaaTisi,,,ميغناطيسي,magnetic
makayt9adach,,,,ماكايتقاداش,endless
charis,,,,شرس,fierce
khfif,,,,خفيف,mild
mj88d,mje88ed,,,مجهّد,loud
Tamou7,,,,طموح,ambitious
bl8Dra,,,,بلهضرا,verbal
naDj,naaDj,,,ناضج,mature
chr3i,char3i,cher3i,,شرعي,legitimate
m3rouf,m3rof,,,معروف,well-known
mo7rij,,,,محرج,awkward
raDi,,,,راضي,content
tjribi,,,,تجريبي,empirical
S3ib,,,,صعيب,harsh
9as7,,,,قاسح,harsh
mt3aaTf,mt3aTef,,,متعاطف,sympathetic
sti3mari,,,,ستعماري,colonial
khbit,,,,خبيت,evil
chirrir,,,,شرّير,evil
b7ri,be7ri,,,بحري,naval
mlaa2em,mla2m,,,ملائم,favorable
wsT,wesT,wasT,,وسط,mid
ghayb,,,,غايب,absent
was3,waas3,,,واسع,vague
3ir9i,,,,عرقي,racial
tmtiili,tmtili,temtiili,,تمتيلي,representative
ba8t,,,,باهت,faint
7ayawi,,,,حيوي,lively
saa7ili,sa7ili,,,ساحلي,coastal
mt7mmes,met7emmes,met7ammes,met7ammas,متحمّس,enthusiastic
feminist,,,,فمينيست,feminist
Solb,,,,صلب,rigid
3ami9,,,,عميق,profound
8aa2il,,,,هائل,immense
nisbi,,,,نسبي,comparative
gharib,,,,غريب,peculiar
mofid,,,,مفيد,beneficial
motan99il,,,,متنقل,mobile
montij,,,,منتج,productive
sT7i,,,,سطحي,shallow
7ariiS,7ariS,,,حريص,eager
remzi,ramzi,,,رمزي,symbolic
m3tadl,,,,معتادل,moderate
9aatil,,,,قاتل,fatal
mjmou3,,,,مجموع,compact
morbi7,,,,مربح,profitable
monafis,,,,منافس,rival
jozay2i,,,,جزيئي,molecular
idaari,,,,إداري,managerial
ddakhili,,,,الداخلي,interior
khTTi,,,,خطّي,linear
makafich,,,,ماكافيش,insufficient
mo288al,,,,مؤهّل,eligible
m3nfj,,,,معنفج,uncomfortable
mamori7ch,,,,ماموريحش,uncomfortable
mokhliS,,,,مخلص,loyal
morta9ab,,,,مرتقب,prospective
tlwalidin,,,,تلواليدين,parental
maali,,,,مالي,fiscal
tlflous,,,,تلفلوس,fiscal
khawi,,,,خاوي,blank
9aasi,,,,قاسي,cruel
w7chi,we7chi,,,وحشي,cruel
mtnww3,mtnowwe3,,,متنوّع,diverse
nabil,,,,نبيل,noble
motaghyyir,,,,متغيّر,variable
mt2aSSel,mt2SSal,,,متأصّل,inherent
kham,,,,خام,crude
mchbou8,mchbo8,,,مشبوه,suspicious
nti9a2i,nti9aa2i,,,نتقائي,selective
mfSSl,,,,مفصّل,elaborate
mtwsseT,mtwesseT,,,متوسّط,intermediate
ghaamiD,ghamiD,,,غامض,mysterious
flsafi,falsafi,felsafi,,فلسفي,philosophical
mt3mmed,,,,متعمّد,deliberate
7anoun,,,,حنون,tender
m7DouD,m7DoD,,,محضوض,fortunate
m7mi,,,,محمي,protective
mo9ddas,,,,مقدّس,sacred
sa2il,saa2il,,,سائل,liquid
chmsi,chmsy,chemsi,,شمسي,solar
mamofri7ch,,,,ماموفريحش,unpleasant
ryaDyati,ryaDyaati,,,رياضياتي,mathematical
difaa3i,difa3i,,,دفاعي,defensive
mi3maari,mi3mari,,,معماري,architectural
ghayr monaasib,ghayr monasib,,,غير مناسب,inappropriate
yadawi,,,,يدوي,manual
