n1,n2,n3,n4,darija_ar,eng
syyda,syda,,,سيّدا,lady
swa,,,,سوا,whether
smo7at,ssmo7at,ssmou7at,,سموحات,i am sorry
chokran,,,,شوكران,thank you
lhajj,l7ajj,,,لهاجّ,Mr.
lhajja,l7ajja,,,لهاجّا,Mrs.
m3llm,m3allam,m3llem,,معلّم,Mr.
chrif,chchrif,,,شريف,Mr.
chrifa,chchrifa,,,شريفا,Mrs.
n3amasidi,,,,نعاماسيدي,Mr.
n3amalalla,,,,نعامالالّا,Mrs.
bS77a,bSe77a,bSa77a,bS7a,بصحّا,cheers
srbi,serbi,sarbi,,سربي,hurry
mazal,,,,مازال,not yet
7bes,7bs,,,حبس,stop
gollia,,,,ڭولّيا,tell me
hahoa,hahowa,8a8oa,,هاهوا,here it is
hahia,hahya,8a8ya,,هاهيا,here she is
hahoma,ha homa,8a8oma,,هاهوما,here they are
ewa mohim,ewa lmohim,,,إوا موهيم,anyway
yallah,,,,يالّاه,just
b7ra,be7ra,ba7ra,,بحرا,just
yallah,,,,يالّاه,let us go
mchina,,,,مشينا,let us go
ya salam,yasalam,,,يا سالام,impressive
3la brra,3la berra,berra,brra,علا برّا,outside
ssfli,ssefli,,,السفلي,ground floor
machi mochkil,,,,ماشي موشكيل,no worries
3Tini,,,,عطيني,give me
ach glti,,,,أش ڭلتي,what did you say
akid,2akid,,,أكيد,sure
wakha,wa5a,,,واخا,ok
mamsalich,,,,مامساليش,busy
ahlan,a8lan,2a8lan,,أهلان,hello
salam,,,,سالام,Hi
salamo3alaykom,salamo3laikom,,,سالاموعالايكوم,Hello
mr7ba,mer7ba,mar7ba,merhba,مرحبا,welcome
bikhir,bi5ir,,,بيخير,fine
bslama,beslama,,,بسلاما,goodbye
3afak,afak,eafak,,عافاك,please
idan,,,,إدان,so
blmonasaba,bl monasaba,belmounasaba,blmonaasaba,بلموناسابا,by the way
b Tabi3t l7al,bTabi3t l7al,b Tabi3at l7al,mn Tabi3t l7al,ب طابيعت لحال,of course
fhemt,f8emt,fhmt,f8mt,فهمت,I get it
b7al b7al,bhal bhal,b7alb7al,,بحال بحال,either way
ti99en,ty99en,,,تيقّن,make sure
3la 9bli,3la 9ebli,3la 9abli,,علا قبلي,for me
Thella,T8ella,Thela,Thalla,طهلّا,take care
bsse7!,bSSa7!,beSSe7!,,بسّح!,really!
jat m3ak,ja m3ak,,,جات معاك,it suits you
jatk hia hadik,jak hoa hadak,,,جاتك هيا هاديك,it suits you
3ll a9all,3la9all,3ell a9all,3ella9ell,علّ أقالّ,at least
7tta fikra,,,,حتّا فيكرا,no idea
adna fikra,,,,أدنا فيكرا,no idea
ila akhirih,,,,إلا أخيريه,etc
bss7,bssa7,bssah,bsse7,بسّح,really
wah,wa8,wayli,waili,واه,really
moul dar,mouldar,,,مول دار,husband
moulat dar,moulatdar,,,مولات دار,wife
7ass brasou,7ass braso,,,حاسّ براسو,arrogant
ch7al hada,ch7al hadi,,,شحال هادا,a while ago
Sba7 lkhir,Sba7lkhir,,,صباح لخير,good morning
3la ghfla,3la ghefla,3la ghafla,,علا غفلا,suddenly
msa lkhir,msalkhir,,,مسا لخير,good evening
tSb7 3la khir,tSbe7 3la khir,tSba7 3la khir,,تصبح علا خير,good night
hamdolah,hamdolilah,lhamdolah,,هامدولاه,thank god
mtchrrfin,metcherrfin,mtcharrfin,mtcherrfin,متشرّفين,nice to meet you
Tri9 ssalama,Tri9 salama,,,طريق السالاما,have a nice trip
afin akhona,afen akhona,afen akhouna,,أفين أخونا,how are you brother
allah iktter khirk,lah iktter khirek,,,الله إكتّر خيرك,thank you
la chokra 3ala wajib,,,,لا شوكرا عالا واجيب,you are welcome
l3afw,l3afow,,,لعافو,you are welcome
sm7 lia,sme7 lia,sma7 lia,,سمح ليا,sorry
maykon bas,mykon bas,maykon bass,,مايكون باس,good recovery
allah iyesser,lah iyesser,layesser,,الله إيسّر,good luck
mbrouk,mebrouk,mabrouk,mbrok,مبروك,congratulations
bS77a,bSS7a,,,بصحّا,your good health
39balik,3o9balik,,,عقباليك,I wish the same for you
ajarakom allah,ajarakoum lah,ajarakom lah,,أجاراكوم الله,my condolences
allah ir7mo,lah ire7mo,allah ire7mo,,الله إرحمو,god have mercy on him
rdd lbal,redd lbal,redlbal,,ردّ لبال,be careful
hadchi fchkel,,,,هادشي فشكل,this is weird
hania,,,,هانيا,do not worry
safi nsa,,,,سافي نسا,never mind
mrra khra,merra khra,,,مرّا خرا,next time
8Dra khawya,hdra khawya,,,هضرا خاويا,nonsense
wach bSS7,wach bSSe7,,,واش بصّح,really
nchoufouk,,,,نشوفوك,see you
hani jay,8ani jay,,,هاني جاي,I will be back
ch7al f ssa3a,ch7al fsa3a,,,شحال ف الساعا,what time is it
3lach lla,3lach la,,,علاش اللا,why not
wach nta,,,,واش نتا,are you
wach t9dr,,,,واش تقدر,can you
fkkrni,fekkerni,fakkerni,,فكّرني,remind me
ch7al dayra hadi,ch7al dayr hada,,,شحال دايرا هادي,how much is this
tfDDl,tfDDel,tfeDDel,tfaDDal,تفضّل,please come in
ach kayn,ach kayen,,,أش كاين,what is wrong
kolla nhar,kolla n8ar,,,كولّا نهار,every day
fink,finek,,,فينك,where are you
lli fat,,,,اللي فات,past
ghayr 3adi,,,,غاير عادي,unusual
3ndo 9ima,3endo 9ima,3ndo 9yma,,عندو قيما,valuable
3la ghfla,3la ghefla,3la ghafla,,علا غفلا,sudden
dyal DDo,,,,ديال الضو,electric
makaytSenne3ch,,,,ماكايتصنّعش,cool
Tal3 lih demm,,,,طالع ليه دمّ,mad
w9t kaml,we9t kaml,wa9t kaml,,وقت كامل,full-time
dyal lm3da,dyal lme3da,dyal lma3da,,ديال لمعدا,gastric
momkin it9arn,momkin it9aren,,,مومكين إتقارن,comparable
fayt l9yas,fayet l9yas,,,فايت لقياس,excessive
3llmada l9aSir,3la lmada l9aSir,,,علّمادا لقاصير,short-term
sa8l toSl lih,sahl toSl lih,,,ساهل توصل ليه,accessible
a9all 7edd,a9all 7add,,,أقالّ حدّ,minimal
ma3ndo a8ammia,ma3ndoch a8ammia,,,ماعندو أهامّيا,irrelevant
3ndo a8ammia,3ando a8ammia,,,عندو أهامّيا,relevant
ma3ndo 9ima,ma3ndoch 9ima,ma3ndouch 9ima,,ماعندو قيما,useless
3ndo 9ima,3endo 9ima,,,عندو قيما,worthy
3ndo zz8er,3endo zzher,3ndo zzhar,,عندو الزهر,lucky
9aDi lgharad,,,,قاضي لغاراد,satisfactory
n8ar 3la n8ar,nhar 3la nhar,,,نهار علا نهار,day-to-day
mchkok fih,mchkouk fih,,,مشكوك فيه,doubtful
maymknch tyye98a,maymknch tyye9ha,,,مايمكنش تيّقها,incredible
dayr ttaman,,,,داير التامان,costly
mntachr bzzaf,mntacher bzzaf,,,منتاشر بزّاف,large-scale
t7t larD,te7t larD,ta7t larD,,تحت لارض,underground
3ndo m3na,3endo ma3na,3ando ma3na,3endo me3na,عندو معنا,meaningful
fih SSda3,fih Sda3,,,فيه الصداع,noisy
fih DDajij,fih Dajij,fih ddajij,,فيه الضاجيج,noisy
3ndo lmana3a,3endo lmana3a,,,عندو لماناعا,immune
ma3ndo m3na,ma3endo me3na,,,ماعندو معنا,absurd
ma3ndo tta m3na,ma3ndo ta ma3na,,,ماعندو التا معنا,absurd
ghayr msbou9,ghayr masbou9,,,غاير مسبوق,unprecedented
ma3ndo taman,ma3ando taman,,,ماعندو تامان,invaluable
9bl lwe9t,9bel lwe9t,9bel lwa9t,,قبل لوقت,premature
mabghah 7dd,mabghah 7edd,,,مابغاه حدّ,unwanted
mabghah tta 7dd,mabghah tta 7edd,,,مابغاه التا حدّ,unwanted
khda b3in l i3tibar,khda b3in l3tibar,khda b 3in l3tibar,,خدا بعين ل إعتيبار,consider
ba3 o chra,,,,باع أُ شرا,trade
makayn bas,,,,ماكاين باس,no worries
ma3ndi mangol,ma3nedi mangol,ma3ndi mangoul,,ماعندي مانڭول,perfect
dakchi 3lach,,,,داكشي علاش,that's why
kolla ch8r,kolla ch8er,kolla ch8ar,,كولّا شهر,monthly
kolla nhar,kola nhar,,,كولّا نهار,daily
kolla 3am,kola 3am,,,كولّا عام,yearly
kolla simana,kola simana,,,كولّا سيمانا,weekly
kolla sa3a,kola sa3a,,,كولّا ساعا,hourly
kolla mrra,kola mrra,,,كولّا مرّا,each time
mn daba chwia,men daba chwia,,,من دابا شويا,soon
Trofa sghar,,,,طروفا سغار,smithereens
ila l 2abad,ila l2abad,ila l 2abad,,إلا ل أباد,forever
aji,,,,أجي,hey
moul,mol,,,مول,possessor of
fhad tawakhir,,,,فهاد تاواخير,lately
l,el,al,,ل,the
wa7d,wahd,,,واحد,a
wa7d,wahd,,,واحد,an
ayy,,,,أيّ,any
akhor,a5or,,,أخور,another
