n1,n2,n3,n4,darija_ar,eng
9l3a tsraghna,9el3a t sraghna,9al3a tsraghna,kalaa tsraghna,قلعا تسراغنا,kalaa sraghna
sidi sliman,sidi slimane,,,سيدي سليمان,sidi slimane
rrachidia,errachidia,,,الراشيديا,errachidia
grsif,guersif,garsif,guarsif,ڭرسيف,guercif
wlad tayma,oulad teima,ouled teima,oulad taima,ولاد تايما,oulad teima
ben grir,bngrir,bengrir,ben guerir,بن ڭرير,ben guerir
tiflt,tifelt,,,تيفلت,tifelt
l9li3a,lqli3a,la9li3a,,لقليعا,lqliaa
taroudant,,,,تارودانت,taroudant
Sfro,sfrou,sefrou,,صفرو,sefrou
Swira,SSwira,souira,essawira,صويرا,essaouira
fnide9,lfnide9,fnid9,lfnid9,فنيدق,fnideq
sidi 9assem,sidi 9asm,sidi 9asem,,سيدي قاسّم,sidi kacem
tiznit,,,,تيزنيت,tiznit
TanTan,Tan Tan,,,طانطان,tantan
warzazat,ouarzazat,ouerzazat,,وارزازات,ouarzazate
sou9larb3a,sou9 lab3a,,,سوقلاربعا,souk el arbaa
youssoufia,yousoufia,yosofia,lyousoufia,يوسّوفيا,youssoufia
l8rawiyin,lahraouiyine,la8rawiyin,,لهراوييين,lahraouyine
martil,,,,مارتيل,martil
3in 7rrouda,3in 7arouda,3ayn 7errouda,,عين حرّودا,ain harrouda
Skhirat,SSkhirat,,,صخيرات,Skhirat
wazzan,ouazzan,,,وازّان,ouazzane
bnsliman,bensliman,benslimane,ben sliman,بنسليمان,benslimane
l7ouceima,lhouceima,l7ousayma,l7oucima,لحوسيما,al houceima
bni nsar,beni ansar,beni nsar,bni ansar,بني نسار,beni ansar
mdye9,lmDye9,lmdyeq,mdyeq,مديق,mdiq
sidi bennour,sidibnnour,sidi benour,sidi benor,سيدي بنّور,sidi bennour
midelt,midlt,,,ميدلت,midelt
azro,azrou,,,أزرو,azrou
blasa,,,,بلاسا,place
jam3lfna,jam3 lafna,,,جامعلفنا,Jemaa el-Fnaa square
khariTa,5ariTa,,,خاريطا,map
l3alam,3alam,,,لعالام,world
sbiTar,,,,سبيطار,hospital
boSTa,bouSTa,lboSTa,,بوصطا,post office
lkharij,l5arij,,,لخاريج,abroad
maTar,,,,ماطار,airport
faDa2,,,,فاضاء,space
mrrikh,lmrrikh,marrikh,,مرّيخ,mars
9amar,l9amar,qamar,,قامار,moon
3onwan,,,,عونوان,address
finmma,finemma,finamma,,فينمّا,anywhere
llor,llour,,,اللور,back
gddam,goddam,,,ڭدّام,front
mkhbaza,makhbaza,,,مخبازا,bakery
t7t,ta7t,te7t,,تحت,below
7odoud,,,,حودود,borders
frmasian,frmacian,frmasyan,,فرماسيان,pharmacy
firma,,,,فيرما,farm
chr9,cher9,char9,,شرق,east
ghrb,gherb,gharb,,غرب,west
chamal,,,,شامال,north
janoub,janob,,,جانوب,south
mnTa9a,manTa9a,menTa9a,,منطاقا,region
ma7TTa,ma7aTTa,ma7eTTa,mahtta,ماحطّا,station
7anout,7anot,,,حانوت,shop
chari3,chaari3,,,شاريع,street
Tri9,Tre9,,,طريق,road
lotorot,lotorout,,,لوتوروت,highway
sikteur,siktour,,,سيكتور,neighborhood
saa7a,sa7a,saaha,,ساحا,square
9hwa,9ahwa,9ehwa,9a8wa,قهوا,coffee shop
borj,,,,بورج,tower
mktaba,mektaba,maktaba,,مكتابا,library
otil,hotel,otel,,أُتيل,hotel
klinik,clinique,,,كلينيك,clinic
pisin,picin,piscine,,پيسين,swimming pool
tritwar,trotwar,tritouar,trotouar,تريتوار,sidewalk
ttija8,ittija8,ttijah,ittijah,التيجاه,direction
limn,limen,liman,,ليمن,right
lisr,lisser,lissar,,ليسر,left
masafa,massafa,,,ماسافا,distance
misa7a,misaa7a,misaha,,ميساحا,area
sifara,,,,سيفارا,embassy
