o ch7al hada bach nta mkellef?,and how long have you been in charge?,و شحال هادا باش نتا مكلّف?
"glt lik lkrafs, wach matatsme3ch","I said celery, can't you listen","ڭلت ليك لكرافس, واش ماتاتسمعش"
wakha nzid chi bou3wid tahoa?,"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?
"layskher, ana m3ak","Okay, I'm with you","لايسخر, أنا معاك"
wa rah 3chr snin hadi,It's been ten years,وا راه عشر سنين هادي
ach bghiti m3ah?,What do you want with it?,أش بغيتي معاه?
3afak wakha tsedd chrjem m3ak,please could you just close the window,عافاك واخا تسدّ شرجم معاك
wa hir tl9na o baraka mn l8Dra,just get on and don't talk so much,وا غير طلقنا و باراكا من لهضرة
wach matatfkkerch?,Don't you think?,واش ماتاتفكّرش?
rah ghatjowwej simana jjayya.,she is getting married next week.,راه غاتجوّج السيمانة الجاية.
tjowwjo Sghar bzzaf,They got married very young,تجوّجو صغار بزّاف
hoa mjowwej b mo7amia mn Tanja,He is married to a lawyer in Tangier.,هو موّج ب محامية من طنجة
matgolch,Do not say,ماتڭولش
daba kaydowwez bzzaf tlwe9t fddar,Now he spends a lot of time home,دابا كايدوّز بزّاف تلوقت فدّار
ala kan hadchi lli kat9Sed,if that is what you mean,ألا كان هادشي لي كاتقصد
3aadatan ghaytghlaw wit7eTTo m3a lkhell,they would traditionally be boiled and served with vinegar,عادة غايتغلاو ويتحطّو معا لخلّ
gddach?,how big is it?,ڭدّاش?
wach kbir?,is it big?,واش كبير?
maghanTyyboch makla Talyania,we are not preparing an italian meal,ماغانطيّبوش ماكلة طاليانية
hada ghaykon Taba9 mghribi 7orr,this will be a proper moroccan meal,هادا غايكون طبق مغربي حرّ
"lbarba zwina, walakin t9dr t3Tik wa7d lmada9 7lou","Beets are good, but it might give you a sweet taste.","لباربا زوينة, و لكن تقدر تعطيك واحد المذاق حلو"
TTwal b Tabi3t l7al,long ones of course,الطوال ب طبيعة الحال
"bghiti bTaTa frit m3ahom, ta8ia?","Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?"
o ach ballik nmchiw l cinema?,how about going to the cinema?,و أش بالّيك نمشيو ل سينما?
ma3ada ala 3ndk chi haja khra bghiti tzid8a,Unless you have anything else you would like to add,ما عدا ألا عندك شي حاجة خرا بغيتي تزيدها
tberre3 lia m3a rask!,enjoy!,تبرّع ليا معا راسك!
matreddedch trje3 3ndi,do not hesitate to come back to me,ماتردّدش ترجع عندي
daba tayballia 3ndi ga3 dakchi lli tan7taj bach n7ell had lmochkil,"Now, I think I've got everything we need to solve this problem",دابا تايبالّيا عندي ڭاع داكشي لي تانحتاج باش نحلّ هاد لمشكيل
knt ghan9tare7 hadchi ta8owa,I was going to suggest that too,كنت غانقتارح هادشي تاهوا
khllini ngollik wa7d l7aja,let me tell you something,خلّيني نڭولّيك واحد لحاجة
b3d lmrrat tanD7ko b3d lmrrat tanbkiw,sometimes we laugh sometimes we cry,بعد لمرّات تانضحكو بعد لمرّات تانبكيو
"ghangollik wahd lhaja, kat3jbni!","I'll tell you one thing, I like it!","غانڭولّيك واحد لحاجة, كاتعجبني!"
"wayeh, ghandir hadchi tahoa","Yeah, I'm gonna do that, too.","وايه, غاندير هادشي تاهوا"
hi 9bl manmchi nn3ess,just before going to bed,هي قبل مانمشي نعس
3afak 7tarem l9awa3id,please respect the rules,عافاك حتارم القواعد
ana mt2ekked ghat7essen 9ariban,I'm sure it'll be better soon.,أنا متأكد غاتحسّن قريبا
kimma 9tar7ti,As you suggested,كيمّا قتارحتي
asaasan nta t7t DDaghT daba,basically you are under stress now,أساسا نتا تحت الضغط دابا
hadchi tayo93 l 3adaad mn nnas had lyamat,which happens to many people theses days,هادشي تايوقع ل عدد من الناس هاد ليامات
fnfs lwe9t ma3ndkch mochkil fdmaghk,Meanwhile you don't have a problem with your brain,فنفس لوقت ماعندكش موشكيل فدماغك
kimma katgoul,as you say,كيمّا كاتڭول
"ah, chokran bzzaf 3la nnaSi7a dyalk.","Yes, thank you very much for your advice.","أه, شكرا بزّاف على النصيحة ديالك."
tanDenn anna hadchi i9dr ikon 7ell,I do think that could be a solution,تانضنّ أن هادشي إقدر إكون حلّ
olla 3ll a9all khTwa fl ittija8 SSa7i7,or at least a step in the right direction,ولّا علّ أقلّ خطوة فل إتجاه الصحيح
kan3tader,I'm sorry,كانعتادر
makan3rfoch 3lihom bzzaf,we don't know much about them,ماكانعرفوش عليهوم بزّاف
wach kaynin modirat khrin fnfs lmostawa dyal8a,Are there any other managers on her level,واش كاينين مديرات خرين فنفس المستوى ديالها
wach kat3rfi nas imkn t8Dri m3ahom bso8oula,do you know people you can talk to easily?,واش كاتعرفي ناس إمكن تهضري معاهوم بسهولة
kangoul ah,I'd say yes,كانڭول أه
"wayeeh, bzzaf dyal nnas","Ah yes, that is a lot of people","وايه, بزّاف ديال الناس"
7na chi 50,We're about 50.,حنا شي 50
knna chi 3chrin wa7d,we were about twenty people,كنّا شي عشرين واحد
imken chi wahd fihoum,maybe one of them,إمكن شي واحد فيهوم
m39oula,I see!,معقولة
walakin ana ma3ndi tta 7aja n7tafl biha,but I don't have anything to celebrate,و لكن أنا ماعندي تا حاجا نحتافل بيها
ana rah ghir wa7d mn lkhddama,I'm just an employee among others,أنا راه غير واحد من لخدّامة
mttaf9 m3ak,I agree with you,متّافق معاك
ala kan chi wahd mn lfr9a 3ndo chi haja maygoul,if one of the team-members has something to say,ألا كان شي واحد من لفرقة عندو شي حاجة مايڭول
imkn lik t9tar7ha f w9itt lghda,you could suggest it at lunchtime,إمكن ليك تقتارحها ف وقيتّ لغدا
hadi Tari9a ra2i3a bach t7ssen l3ala9at tlkhdma,this is an excellent way to improve work relationships,هادي طريقة رائعة باش تحسّن العلاقات ت الخدمة
"walakin hia matatchrebch l98wa, o matatkmich, dakchi 3lach katgles fl biro.","But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.","و لكن هيا ماتاتشربش لقهوة, و ماتاتكميش, داكشي علاش كاتڭلس فل بيرو."
7chouma,It's a shame,حشومة
"ala 3ndna sabab m39oul bach n8Dro m3aha, hia rah dima msta3dda t8Der.","if we have a good reason to talk to her, she's always ready to talk.","ألا عندنا سبب معقول باش نهضرو معاها, هيا راه ديما مستعدّة تهضر."
"7rfyyan, lbab dyalo msdoud","Literally, his door is locked.","حرفيّا, لباب ديالو مسدود"
ach ballik?,what do you think?,أش بالّيك?
wa7d olla joj mnnkom i9dr ina9ch m3aha had lms2ala,one or two of you could discuss this situation with her,واحد ولّا جوج منّكوم إقدر إناقش معاها هاد المسألة
ma3ndhach ti9a kafia fl fer9a,she does not have enough confidence in the team,ماعندهاش ثقة كافية فل فرقة
"Safi, daba n7awel nna9ch8a bla man3yye9","All right, I'll try to discuss it discreetly","صافي, دابا نحاول ناقشها بلا مانعيّق"
tayban lik khess nchedd 3oTla?,Do you think I should take a vacation?,تايبان ليك خص نشدّ عطلة?
momkin n9tar7 3lik t8Der m3a nnas lli khddamin m3ak,May I suggest you speak to you colleagues,ممكن نقتارح عليك تهضر معا الناس لي خدّامين معاك
ach ghandir?,What do I do?,أش غاندير?
hadchi 3adi w tta haja makat9elle9,This is very common and nothing to worry about.,هادشي عادي و تا حاجة ماكاتقلّق
DDaghT blfi3l 2etter 3la l7ala l3aTifia l3amma dyalk,the pressure has indeed affected your general emotional state,الضغط بالفعل أثر على الحالة لعاطفية لعامّة ديالك
"Safi, fhmtek.","ok, I get it.","صافي, فهمتك."
"ah, ghaaliban","Yeah, probably.","أه, غالبا"
ah walakin tterjama kant ghalTa,Yes but the translation was wrong,أه و لكن الترجمة كانت غالطة
wach kayballik anna8a hia t7t DDaghT mn lmoudir dyalha?,Do you feel she herself is under pressure from her director?,واش كايبالّيك أنّها هيا تحت الضغط من المدير ديالها?
kay3jbni bzzaf.,I admire him very much.,كايعجبني بزّاف.
imkn hia dima khayfa mat7e99e9ch l a8daf dyalha.,Maybe she is constantly worried about not meeting her targets.,إمكن هيا ديما خايفة ماتحقّقش ل أهداف ديالها.
wach nnas lli khddamin m3ak tay7sso bttawttor b7alek?,Do you have colleagues who feel stressed like you?,واش الناس لي خدّامين معاك تايحسّو بتّوتّر بحالك?
chef dyalk mra olla rajl?,Is your boss a lady or a man?,الشاف ديالك مرا ولّا راجل?
tayballia 7na kollna mstressyin w fnfs lw9t kollna tat3jebna.,I think we're all stressed and at the same time all admire her.,تايبالّيا حنا كلّنا مسترسّين و فنفس لوقت كولّنا تاتعجبنا.
"mra, tayballia","A lady, I think.","مرا, تايبالّيا"
"gltha lik, rah mra.","I told you, it's a woman.","ڭلتها ليك, راه مرا."
zwina bzzaf,Very beautiful,زوينة بزّاف
walakin lmola7aDat dyalo dima mberrerin.,But his reviews are always justified.,و لكن لملاحضات ديالو ديما مبرّرين.
fach tankon m3TTel chwia olla matandirch chi haja bghat8a,when I'm running a little late or I don't do whatever she wants,فاش تانكون معطّل شوية ولّا ماتانديرش شي حاجة بغاتها
799e9t l a8daf dyali.,I hit my targets.,حقّقت ل أهداف ديالي.
"tankhdm bzzaf, dakchi lli taykhllini ndir khdmti mzyan.","I work a lot, which allows me to do my job properly.","تانخدم بزّاف, داكشي لي تايخلّيني ندير خدمتي مزيان."
"gollia, wach nta 9add tdir khdmtk bkoll ti9a?","Tell me, are you able to do your work with confidence?","ڭولّيا, واش نتا قادّ تدير خدمتك بكلّ تقة?"
wach kat7ess brask ma9addch tossel l a8daf lli 3wwlti 3liha?,do you feel unable to reach the expected targets?,واش كاتحسّ براسك ماقادّش توصل ل أهداف لي عوّلتي عليها?
tan8Der 3la lmoudir dyal lmSla7a dyali,I'm talking about the manager of my department,تانهضر على المدير ديال لمصلحة ديالي
"ah, kayna.","Yes, it is.","أه, كاينا."
makattsame7ch m3a lbsala,She doesn't tolerate mediocrity.,ماكاتّسامحش معا البسالة
ayeh amoulay,"Yes, sir.",أيه أمولاي
wach kaynin chi 3yalat dayrin bik lli S3ib 3lik tt3aml m3ahom?,Are there any women around you that you find difficult to deal with?,واش كاينين شي عيالات ضايرين بيك لي صعيب عليك التعامل معاهوم?
flkhdma dyalk olla 3la brra,in your work or elsewhere,فلخدمة ديالك ولّا على برّا
"ah, fhemtek.","Yes, I understand.","أه, فهمتك."
"lla, tta haja maghriba, fnaDari.","No, nothing special, I think.","لا, تا حاجة ماغريبة, فنضري."
wach dwwzti chi tajarib ma3adyyach olla fchkel mo2kharan?,Have you had any unusual or unpleasant experiences recently?,واش دوّزتي شي تجارب ماعاديّاش ولّا فشكل مؤخرا?
chi 7wayj lli kat7ess i9dr ikono bsbab chi haja drtiha,things that you feel may have been caused by something you did,شي حوايج لي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها
Tab3an lla.,Of course not.,طبعا لا.
kayballik ana kan7ma9?,You think I'm going crazy?,كايبالّيك أنا كانحماق?
"lla, tta wahd makan3arfo.","No, no one I recognize.","لا, تا واحد ماكانعارفو."
"khtek, lwalida dyalk, chi Sadi9?","Your sister, your mother, a friend?","ختك, لواليدة ديالك, شي صديق?"
t9der tjbed chi wahd kat3arfo?,Can you recognize anybody you know?,تقدر تجبد شي واحد كاتعارفو?
dima nefs SSout?,Is it always the same voice?,ديما نفس الصوت?
"ghaliban, bach inta9doni","Often, it's to criticize me.","غالبا, باش إنتاقدوني"
Sout dyal l3yalat hoa li mrra mrra kay3elle9 3la dakchi lli kandir.,A female voice who sometimes comment on what I'm doing.,صوت ديال لعيالات هو لي مرة مرة كايعلّق على داكشي لي كاندير.
"chi ch8oura hado, b3d lmrrat kan7ess b7al ala kansme3 chi Sout kayhder fost rasi","For a few months, sometimes I feel like I hear a voice talking in my head.","شي شهورا هادو, بعض لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهضر فوسط راسي"
ana 8na bach nchoufk 7it makanf8emch ach kayo93 lia,I'm here to see you because I don't understand what's happening to me,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا
kifach n9der n3awnek?,How may I assist you?,كيفاش نقدر نعاونك?
kanDenn hadi awwal mrra kantla9aw.,I believe this is the first time we have met.,كانضنّ هادي أوّل مرة كانتلاقاو.
bslama,Good-bye,بسلاما
3awd douz ala ba9i 3ndk chi as2ila.,Feel free to come back if you still have questions.,عاود دوز ألا باقي عندك شي أسئلة.
mr7ba.,You're welcome.,مرحبا.
daba nSiftha lik o9tmma kmlat.,I'll send it over to you as soon as it's finished.,دابا نصيفتها ليك وقتمّا كملات.
Layesser.,Good luck.,الله إيسر.
naDi.,Perfect.,ناضي.
kanwa3dek.,I promise.,كانواعدك.
walakin khssk t7tarm had lw9t jjdid,But you must respect that new deadline,ولاكين خسّك تحتارم هاد لوقت الجديد
"wach momkin lik tzidni chwia tlwe9t, goul chi joj simanat hakkak?","Would it be possible for you to give me an extension to the deadline, say another two weeks?","واش ممكن ليك تزيدني شوية تلوقت, ڭول شي جوج سيمانات هاكّاك?"
2000 klma,2000 words,2000 كلمة
ch7al mn klma fchi f9ra Sghira?,How many words is a short paragraph?,شحال من كلمة فشي فقرة صغيرة?
"hadchi SSara7a kay3awnni nfkker f ach khssni nkteb, lay7fdek","This is really helping me think through what I need to write, thank you.","هادشي الصراحة كايعاونّي نفكّر ف أش خسّني نكتب, لايحفضك"
ach w9e3 fdak lwe9t?,What happened back then?,أش وقع فداك لوقت?
wach n9ddem lma9al 3la annaho waa9i3i olla nakhod wij8at naDar siyasia?,Do I present the essay as factual or do I take a political view point?,واش نقدّم لمقال على أنّه واقعي ولّا ناخد وجهة نضر سياسية?
hadchi tayban mo8imm.,That could be interesting.,هادشي تايبان موهيمّ.
yallah cheft ttarikh f Google,I've just checked that date on Google,يالّاه شفت التاريخ ف ڭوڭل
"ah, wakha.","Ah, ok.","أه, واخا."
idan awwal haja ddirha hia tkhtar,So the first thing you do is choose.,إدن أوّل حاجة ديرها هيا تختار
hadi t9dr tkon taarikhia,This one may be historic,هادي تقدر تكون تاريخية
tansm3o 3lih bzzaf daba,we're hearing a lot about it right now,تانسمعو عليه بزّاف دابا
walakin rah kaynin 3rram tlkhtyarat lli tkhtar mnnhom.,But there are so many options to choose from.,ولكن راه كاينين عرّام تلختيارات لي تختار منّهوم.
khssk tbda b3da tsowwel 3lih,you have to start by asking about it,خسّك تبدا بعدا تسوّل عليه
fsser o 3erref lmaydan,explain and define the field,فسّر و عرّف لميدان
nta li khssek t3errfo.,it's up to you to define it.,نتا لي خسّك تعرّفو.
wach tan8Dro 3la ssyasa lbriTania ola lfransawia?,Are we talking about British or French politics?,واش تانهضرو على السياسة لبريطانية ولا لفرنساوية?
ttgal lia nkteb wahd lma9al 3la ssyasa walakin ma3rftch mnin nbda,I've been asked to write an essay on politics but I don't know where to start,تڭال ليا نكتب واحد لمقال على السياسة و لكن ماعرفتش منين نبدا
momkin tchre7 chno lli mafhemtich?,Can you explain what you don't understand?,ممكن تشرح شنو لي مافهمتيش?
ttgal lia annaho maymknch nSoug,I've been told that I can't drive,تقال ليا أنّه مايمكنش نصوڭ
ghankhdmo mjmou3in,We're going back to work together,غانخدمو مجموعين
"Safi, chi bas makayn","Well, that's okay","صافي, شي باس ماكاين"
wa tkerfeSt blm39oul bach nfhem ach khssni ndir,I've really struggled to understand what it is I have to do,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير
"salam, sme7 lia 3TTelt tamarin dyali","Hi, I'm sorry my homework is late","سلام, سمح ليا عطّلت التمارين ديالي"
kmmel khessni nmchi daba.,Carry on I have to go now.,كمّل خسّني نمشي دابا.
ba9i l7al!,It's early!,باقي لحال!
"Oh, tayballia DDyaf llowlin jayyin","Oh, I think the first guests are coming","أأوه, تايبالّيا الضياف اللولين جايّين"
ayeh amoulay.,"Yes, sir.",أيه أمولاي.
"kon hani, walakin ti99en annak 3arf chno kayn ghedda","Don't worry, but make sure you know what's what tomorrow","كون هاني, و لكن تيقّن أنّك عارف شنو كاين غدّا"
"ah, ssmou7at.","Yes, sorry.","أه, سموحات."
ghaykhssek t3ref lkouzina mzyan olla ghat3TTlna kamlin,You will have to get to know the kitchen better or you will slow us all down,غايخسّك تعرف الكوزينة مزيان ولّا غاتعطّلنا كاملين
kayballia hadi hia lmerra llowla li khddmna fiha had ll3iba,I believe this is the first time we've used this thing,كايبالّيا هادي هيا لمرة اللولة لي خدّمنا فيها هاد اللعيبة
ana ma3arefch lblasa dyal ga3 lma9adir 7ttal daba,I don't know the location of all the ingredients yet,أنا ماعارفش البلاصة ديال ڭاع لمقادير حتّال دابا
"a7, smou7at","Oh, sorry","أح, سموحات"
ma9dertch nl9ah!,I can't find it!,ماقدرتش نلقاه!
"wakha amoulay, makaynch lmouchkil.","Yes, sir, no problem.","واخا أمولاي, ماكاينش لمشكل."
S7ablik salina,you thought it was over,صحابليك سالينا
n9der n9echcher bTaTa.,I can peel the potatoes.,نقدر نقشّر بطاطا.
kayjib lia jjou3!,It makes me hungry!,كايجيب ليا الجوع!
ra2i3.,Excellent.,رائع.
ghanmchi l Tanja,I'll go to Tangier,غانمشي ل طنجة
ach ballik flakhor?,What about the other one?,أش بالّيك فلاخور?
hadchi kayban mzyan.,That should be good.,هادشي كايبان مزيان.
3afak matnsach tn99i lblaSa mora matsali,Please remember to clear away after you have finished,عافاك ماتنساش تنقّي لبلاصة مورا ماتسالي
makayn bas,That's fine,ماكاين باس
"ghanbda bl bsbas, kayakhod lwe9t","I'll start with the fennel, it takes longer","غانبدا بل بسباس, كاياخود لوقت"
allah ir7m lik lwalidin,may God have mercy on your parents,الله إرحم ليك لواليدين
lah ikhelli lik ma3zz 3lik,may God protect your loved ones,الله إخلّي ليك ماعزّ عليك
llah i3awnek,God help you,الله إعاونك
"ah, makayn tta mochkil.","Yeah, no problem.","أه, ماكاين تا موشكيل."
wakha tbda t9TTe3 lkhDra 3afak,Could you start chopping the vegetables please,واخا تبدا تقطّع لخضرة عافاك
ana bikhir.,I'm fine.,أنا بيخير.
homa mkhtalfin fl9edd o flloun o flmada9,"They're different sizes, colors and flavor",هوما مختالفين فلقدّ و فلّون و فالمذاق
jbt had maTicha lli l9it f ssou9 had Sba7,I came with these tomatoes that I found at the market this morning,جبت هاد ماطيشة لي لقيت ف السوق هاد صباح
kidayr had llila?,How are you tonight?,كيداير هاد ليلة?
Lah is3d SSaba7 a chrif.,"Good morning, sir.",الله إسعد الصباح أ شريف.
yalah nn9zo on7taflo b rrbe7 dyalna,let's jump and celebrate our victory,يالاه نقزو ونحتافلو ب الربح ديالنا
ala b9ina 3aychin imkn nrj3o lddar bkri,If we survive maybe we can get back home early,ألا بقينا عايشين إمكن نرجعو لدّار بكري
Safi 9ne3tini,"Okay, you convinced me",صافي قنعتيني
hezz l9er3a flidd lokhra,Grab the bottle in your other hand,هزّ لقرعة فليدّ لوخرا
nsa 3lik ddrari rah mcha 3lihoum l7al,Forget about the children it is too late for them,نسا عليك الدراري راه مشا عليهوم لحال
l7aja lwa7ida li kanTlb mnnek tdirha hia tchedd l9r3a t rrouj,The only thing I'm asking you to do is keep the bottle of red,لحاجا لوحيدة لي كانطلب منّك تديرها هيا تشدّ لقرعة ت الروج
"sir, ddi m3ak joj bra8ch, n99ez, ana ghanb9a 8na","Go, take two young children with you, jump, I stay here","سير, دي معاك جوج براهش, نقّز, أنا غانبقا هنا"
hadchi taykhle3,It's terrifying,هادشي تايخلع
kan7ess brasi biikhir,I feel very good,كانحسّ براسي بخير
chnahoa?,What?,شناهوا?
wach kat7ess bih?,Can you feel that?,واش كاتحسّ بيه?
3ad zid ana mt2ekked kaynin nas kaysta799o kter mnni annahom maymoutouch,"Besides, I'm sure there are people who deserve more than me not to die",عاد زيد أنا متأكد كاينين ناس كايستاحقّو كتر منّي أنّهم مايموتوش
bllati n9lleb l parachute wach gadd i8ezz joj tnnas,Let me check the parachute to see if it is capable to hold two people,بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس
"w Sara7atan, wach katDenn ghay7ello lbiban t Tyyara wikhlliwna nne99zo?","And frankly, do you think they'll open the plane doors and let us jump?","و صراحة, واش كاتضنّ غايحلّو لبيبان ت الطيارة ويخلّيونا نقّزو?"
daba machi lwe9t dyal b7al had l as2ila,Now isn't the time for such questions,دابا ماشي لوقت ديال بحال هاد ل أسئلة
ghannzlo f Pakistan,We're gonna land in Pakistan,غانّزلو ف پاكستان
"walakin, bllati!","But, wait!","و لكن, بلّاتي!"
wach imken i8ezz joj tnnas?,Can it carry two people?,واش إمكن إهزّ جوج تالناس?
wach mti99en?,Are you sure?,واش متيقّن?
walakin malk katmechcha o labs l parachute?,But why are you walking around with a parachute on you?,و لكن مالك كاتمشّا و لابس ل پاراشوت?
3nne9ni mzyan o rah ghan8bTo bisalam mjmou3in,Hug me close and we can land safely together,عنّقني مزيان و راه غانهبطو بسلام مجموعين
kant 3ndna forSa kon T7na flb7er,We did have a chance if we crashed into the ocean,كانت عندنا فرصة كون طحنا فلبحر
ahya ach hadchi,oh what is this,أهيا أش هادشي
"3rfti chno, mn lblaSa mnach T7na, makaynch chi fr9 kbir","You know, from where we fall, it doesn't make much difference","عرفتي شنو, من لبلاصة مناش طحنا, ماكاينش شي فرق كبير"
"makayn tta b7er t7t mnna, hir Pakistan","There is no ocean below us, only Pakistan","ماكاين تا بحر تحت منّا, غير پاكستان"
ghan8Dro 3la lksida dyalna fl jara2id,We'll talk about our crash in the newspapers,غانهضرو على لكسيدة ديالنا فل الجرائد
yak?,right?,ياك?
"walakin 3rfti ma3ndach chi forSa, yak?","But you know we don't have a chance, right?","و لكن عرفتي ماعنداش شي فرصة, ياك?"
ala njina ghadi ndir chikaya l charika t Tayaran,If we survive I'm going to make a complaint to the airline,ألا نجينا غادي ندير شكاية ل شركة ت الطيران
ala kenna ghanmoutou,If we are going to die,ألا كنّا غانموتو
walakin chchrab imken fikra mzyana,But drinking is probably a good idea,و لكن الشراب إمكن فكرة مزيانا
"ana b7al bzzaf tnnas, makan2amen b Lah illa khmsa tdd9ay9 9bl nni8aya","I'm like most people, I don't believe in God except five minutes from the end","أنا بحال بزّاف تنّاس, ماكانأمن ب الله إلّا خمسة ت دقايق قبل النهاية"
wach nSelliw mjmou3in,Shall we pray together,واش نصلّيو مجموعين
wach kat2amen b Lah,Do you believe in god?,واش كاتأمن ب الله
"3ell a9all ghatkon blkheff, bla Sda3, safi?","At least it'll probably be instant, no pain, right?","علّ أقلّ غاتكون بلخفّ, بلا صداع, صافي?"
ghan3awd nch3el tilifoni 3awtani,I'm gonna turn my phone back on,غانعاود نشعل تيليفوني عاوتاني
ghangollihom rah tan7bb8om,I will tell them I love them,غانڭولّيهوم راه تانحبّهوم
olla tatgoul dakchi hir bach tD7ek 3lia?,Or are you just saying that to make fun of me?,ولّا تاتڭول داكشي غير باش تضحك عليا?
wach bSSe7 katfkker hakka?,You really think so?,واش بصّح كاتفكّر هاكّا?
nari hadchi kaykhle3,"Oh, my God, that's horrible",ناري هادشي كايخلع
mabghitch khl3kom walakin tayballia 7na imkn ghadyin ll8awia,I don't want to scare you but I think we may be about to plummet to our death,مابغيتش خلعكوم و لكن تايبالّيا حنا إمكن غادين للهاوية
"ssmou7at tanbrzTk, walakin ana rah mkhlou3 bSS7","I'm sorry to bother you with this, but I'm really scared","سموحات تانبرزطك, و لكن أنا راه مخلوع بصّح"
matanfhem tta zfta f TTyyarat walakin kantkhl3 kolla mrra tanTir f ssma,"I don't know anything about airplanes, but I'm terrified every time I fly",ماتانفهم تا زفتة ف الطيارةت و لكن كانتخلع كلّا مرة تانطير ف السما
"wayeeh, fchkel, tayban b7ala lmoTour khasr","Yes, it is weird, it sounds like the engine is failing","وايه, فشكل, تايبان بحالا لموطور خاسر"
tansm3 7tta chi mra katghowwet,I can also hear a lady screaming,تانسمع حتّا شي مرا كاتغوّت
"fchkeel, awlla?","It's weird, isn't it?","فشكل, أولّا?"
"sm7 lia, wach katsm3 had SSda3?","Excuse me, do you hear that noise?","سمح ليا, واش كاتسمع هاد الصداع?"
ana fr7an chwia bi annaho dyali lli jay machi dyalk,I'm quite glad it's mine coming and not yours,أنا فرحان شوية بأنّه ديالي لي جاي ماشي ديالك
7na f 2aman!,We're safe!,حنا ف أمان!
hahoa jay iddina daba.,He's coming to get us now.,هاهوا جاي إدّينا دابا.
"oh, hadchi zine","Oh, that's cool","أوه, هادشي زين"
hahoa kaySoni....,It's ringing....,هاهوا كايصوني....
